companyName,profileUrl,location,logoUrl,companyType,revenue,establishedYear,description,isVerified,api_enrichment_status,api_error_message,is_qualified,qualification_reason,api_raw_response_preview,api_confidence_score,api_notes,api_findings,api_company_linkedin,api_website,api_num_employees,api_industry,api_short_summary,api_has_div8_estimators,api_icp_match,api_logic,api_lead_linkedin_profiles,api_decision_makers,api_estimator_leads,api_lead_count,api_relevant_lead_count
Pacific Pre-Hung Doors Ltd.,https://www.thomasnet.com/company/pacific-pre-hung-doors-ltd-30689666/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=43,"Coquitlam, BC V3J6Z9",,Distributor*,$5 - 9.9 Mil Revenue,1971.0,,No,Failed or No Data,Unexpected error for Pacific Pre-Hung Doors Ltd.: ValueError('Out of range float values are not JSON compliant'),False,Unexpected error for Pacific Pre-Hung Doors Ltd.: ValueError('Out of range float values are not JSON compliant'),,,,,,,,,,,,,,,,,
L. Martin (1984) Inc.,https://www.thomasnet.com/company/l-martin-1984-inc-30684232/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=44,"Riviere-du-Loup, QC G5R4L9",,Manufacturer*,$1 - 4.9 Mil Revenue,1964.0,,No,Failed or No Data,Unexpected error for L. Martin (1984) Inc.: ValueError('Out of range float values are not JSON compliant'),False,Unexpected error for L. Martin (1984) Inc.: ValueError('Out of range float values are not JSON compliant'),,,,,,,,,,,,,,,,,
Les Fenetres Mirabel (1997) Inc.,https://www.thomasnet.com/company/les-fenetres-mirabel-1997-inc-30684445/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=44,"Saint-Jerome, QC J7Z7L3",,Manufacturer*,$1 - 4.9 Mil Revenue,1975.0,,No,Failed or No Data,Unexpected error for Les Fenetres Mirabel (1997) Inc.: ValueError('Out of range float values are not JSON compliant'),False,Unexpected error for Les Fenetres Mirabel (1997) Inc.: ValueError('Out of range float values are not JSON compliant'),,,,,,,,,,,,,,,,,
Door and Window Man,https://www.thomasnet.com/company/door-and-window-man-30693445/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=44,"Toronto, ON M6M2W1",,Distributor*,$1 - 4.9 Mil Revenue,1980.0,,No,Failed or No Data,Unexpected error for Door and Window Man: ValueError('Out of range float values are not JSON compliant'),False,Unexpected error for Door and Window Man: ValueError('Out of range float values are not JSON compliant'),,,,,,,,,,,,,,,,,
Custom Architectural Millwork,https://www.thomasnet.com/company/custom-architectural-millwork-10099195/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=44,,,"Custom Manufacturer* , Manufacturer, Service Company",$1 - 4.9 Mil Revenue,1997.0,,No,Failed or No Data,Unexpected error for Custom Architectural Millwork: ValueError('Out of range float values are not JSON compliant'),False,Unexpected error for Custom Architectural Millwork: ValueError('Out of range float values are not JSON compliant'),,,,,,,,,,,,,,,,,
Norwood Doors &  Windows - Div. of Westwood Industries,https://www.thomasnet.com/company/norwood-doors-windows-div-of-westwood-industries-30704173/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=44,"Scoudouc, NB E4P3P8",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fritekit%2Fnorwoodwindows.ca.png&w=256&q=75,Manufacturer*,$25 - 49.9 Mil Revenue,1996.0,,No,Failed or No Data,Unexpected error for Norwood Doors &  Windows - Div. of Westwood Industries: ValueError('Out of range float values are not JSON compliant'),False,Unexpected error for Norwood Doors &  Windows - Div. of Westwood Industries: ValueError('Out of range float values are not JSON compliant'),,,,,,,,,,,,,,,,,
Slocomb Windows & Doors,https://www.thomasnet.com/company/slocomb-windows-doors-30808108/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=43,"Wilkes Barre, PA 18702",,Manufacturer*,$25 - 49.9 Mil Revenue,,"Manufacturer of storm windows and doors. Products include mulled, hung, vinyl and bow windows, sliding patio doors, and sliders.",No,Success,,False,Confidence score 7.5 >= 7.0; Employee count 50 (from '50-100 (estimated)') >= 10; No estimator detected: No estimators found in titles or company details; ICP match: yes. the company is similar to other door suppliers and manufacturers such as overly door co. and ac; No decision makers found,"{""notes"": ""Slocomb Windows & Doors is a US-based manufacturer specializing in vinyl windows and doors, including storm windows, double hung, slider, casement, picture, bay/bow, garden, and awning wind",7.5,"Slocomb Windows & Doors is a longstanding company providing a comprehensive range of vinyl windows and doors with strong attention to energy efficiency and quality. It serves multiple states primarily in the eastern and mid-southern US and does not publicly list leadership or DIV 8 estimating staff. Its absence of a LinkedIn company profile limits detailed internal insights, but its website and public contact info provide solid background on products and company longevity.","No direct mention found of DIV 8 estimators on the website.|Official website is https://www.slocombwindows.com/ providing product and contact information|Emphasizes energy-efficient and technologically advanced window products with various styles, colors, and hardware options.|Company founded in 1961 by Leon Slocomb, experienced in vinyl window and door manufacturing|Slocomb Windows & Doors is a US-based manufacturer specializing in vinyl windows and doors, including storm windows, double hung, slider, casement, picture, bay/bow, garden, and awning windows.|No leadership or decision-maker profiles publicly listed on the company's official site.|No LinkedIn company profile found yet; LinkedIn search required for company and key staff|Main phone number is 800-248-5494, with a contact page available.|Company has operated for over 60 years and serves customers in over 20 states, mostly along the East Coast and mid-South regions of the US.|Located in Hanover Township, PA, phone: 570-825-3675, email: customerservice@slocombwindows.com|All products are 100% made in the USA, supporting quality assurance.|Website includes extensive product information, installation instructions, warranty, testing, and support sections.|Product line includes vinyl storm windows and doors, mulled, hung, bow windows and sliding patio doors|Industry likely manufacturing of windows and doors; similar in product scope but specific emphasis on vinyl and storm windows distinguishes it from some competitors|Focus on remodeling and replacement market with energy-efficient, technologically advanced window systems|No explicit evidence found yet of DIV 8 estimators on staff|Next best step is to search LinkedIn for the company to find key people and confirm company size, industry, and leadership information.",,https://www.slocombwindows.com/,50-100 (estimated),Manufacturing - Windows and Doors,"Slocomb Windows & Doors is a US-based manufacturer specializing in vinyl windows and doors, including storm windows, double hung, slider, casement, picture, bay/bow, garden, and awning windows. The company has operated for over 60 years, focusing on energy-efficient, technologically advanced, 100% USA-made products serving customers mainly along the East Coast and mid-South of the US.",No explicit evidence of DIV 8 estimators employed on staff.,"Yes. The company is similar to other door suppliers and manufacturers such as Overly Door Co. and Acudor Products, Inc., as it manufactures door and window products with a focus on quality and customization, although it has a distinct emphasis on vinyl and storm windows which may differ in product scope.","Slocomb Windows & Doors differentiates itself by focusing on energy-efficient vinyl storm windows and doors with various styles, colors, and hardware options, targeting remodeling and replacement markets. Unlike some door manufacturers, it emphasizes vinyl window products over metal or other materials, and all products are made in the USA. While it shares the core manufacturing of door and window components, its product diversity and regional market focus set it apart.",,,,0.0,0.0
"Acme Dock Specialists, Inc.",https://www.thomasnet.com/company/acme-dock-specialists-inc-30082235/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=44,"Kansas City, MO 64108",,Distributor*,$10 - 24.9 Mil Revenue,1959.0,"Distributor of loading dock equipment, doors, & in-plant products.",No,Failed or No Data,"HTTP error for Acme Dock Specialists, Inc.: 502 -  - Exception: HTTPStatusError(""Server error '502 Bad Gateway' for url 'https://api.sixtyfour.ai/enrich-company'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/502"")",False,"HTTP error for Acme Dock Specialists, Inc.: 502 -  - Exception: HTTPStatusError(""Server error '502 Bad Gateway' for url 'https://api.sixtyfour.ai/enrich-company'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/502"")",,,,,,,,,,,,,,,,,
Doormart USA - Commercial Doors,https://www.thomasnet.com/company/doormart-usa-commercial-doors-30652708/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=44,"Brooklyn, NY 11222",,Distributor*,,,"Distributor of wooden doors, hollow metal doors.",No,Failed or No Data,"HTTP error for Doormart USA - Commercial Doors: 502 -  - Exception: HTTPStatusError(""Server error '502 Bad Gateway' for url 'https://api.sixtyfour.ai/enrich-company'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/502"")",False,"HTTP error for Doormart USA - Commercial Doors: 502 -  - Exception: HTTPStatusError(""Server error '502 Bad Gateway' for url 'https://api.sixtyfour.ai/enrich-company'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/502"")",,,,,,,,,,,,,,,,,
Eliot Iron Works,https://www.thomasnet.com/company/eliot-iron-works-1098197/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=43,"Roxbury, MA 02119",,"Custom Manufacturer* , Manufacturer",,,"Custom manufacturer of ornamental iron works for industrial, commercial and academic institutions. Products include fire escapes, gates, fencing, inspections, interior and exterior railings, balconies, barriers, security doors, window grates, decks and grilles.",No,Failed or No Data,"HTTP error for Eliot Iron Works: 502 -  - Exception: HTTPStatusError(""Server error '502 Bad Gateway' for url 'https://api.sixtyfour.ai/enrich-company'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/502"")",False,"HTTP error for Eliot Iron Works: 502 -  - Exception: HTTPStatusError(""Server error '502 Bad Gateway' for url 'https://api.sixtyfour.ai/enrich-company'\nFor more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/502"")",,,,,,,,,,,,,,,,,
