companyName,profileUrl,location,logoUrl,companyType,revenue,establishedYear,description,isVerified,api_enrichment_status,api_error_message,is_qualified,qualification_reason,api_raw_response_preview,api_confidence_score,api_notes,api_findings,api_company_linkedin,api_website,api_num_employees,api_industry,api_short_summary,api_has_div8_estimators,api_icp_match,api_logic,api_lead_linkedin_profiles,api_decision_makers,api_estimator_leads,api_lead_count,api_relevant_lead_count
Thomas Caya (1982) Inc.,https://www.thomasnet.com/company/thomas-caya-1982-inc-30683171/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=84,"Bon-Conseil, QC J0C1A0",,Manufacturer*,$1 - 4.9 Mil Revenue,1909.0,,No,Failed or No Data,Unexpected error for Thomas Caya (1982) Inc.: ValueError('Out of range float values are not JSON compliant'),False,Unexpected error for Thomas Caya (1982) Inc.: ValueError('Out of range float values are not JSON compliant'),,,,,,,,,,,,,,,,,
Les Gouttieres Fidele Arsenault Inc,https://www.thomasnet.com/company/les-gouttieres-fidele-arsenault-inc-30693012/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=85,"Roxboro, QC H8Y1W4",,Distributor*,$5 - 9.9 Mil Revenue,1961.0,,No,Failed or No Data,Unexpected error for Les Gouttieres Fidele Arsenault Inc: ValueError('Out of range float values are not JSON compliant'),False,Unexpected error for Les Gouttieres Fidele Arsenault Inc: ValueError('Out of range float values are not JSON compliant'),,,,,,,,,,,,,,,,,
Byrcon Wood Products Ltd.,https://www.thomasnet.com/company/byrcon-wood-products-ltd-30698746/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=85,"St. Catharines, ON L2M6S3",,Manufacturer*,$1 Mil Revenue,1994.0,,No,Failed or No Data,Unexpected error for Byrcon Wood Products Ltd.: ValueError('Out of range float values are not JSON compliant'),False,Unexpected error for Byrcon Wood Products Ltd.: ValueError('Out of range float values are not JSON compliant'),,,,,,,,,,,,,,,,,
JSL Contract Hardware Inc.,https://www.thomasnet.com/company/jsl-contract-hardware-inc-30706168/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=85,"Woodbridge, ON L4L8M6",,Distributor*,$1 - 4.9 Mil Revenue,,,No,Failed or No Data,Unexpected error for JSL Contract Hardware Inc.: ValueError('Out of range float values are not JSON compliant'),False,Unexpected error for JSL Contract Hardware Inc.: ValueError('Out of range float values are not JSON compliant'),,,,,,,,,,,,,,,,,
Les Portes Marly Inc.,https://www.thomasnet.com/company/les-portes-marly-inc-30693970/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=85,"Beauceville, QC G5X3A7",,Manufacturer*,$1 - 4.9 Mil Revenue,1994.0,,No,Failed or No Data,Unexpected error for Les Portes Marly Inc.: ValueError('Out of range float values are not JSON compliant'),False,Unexpected error for Les Portes Marly Inc.: ValueError('Out of range float values are not JSON compliant'),,,,,,,,,,,,,,,,,
Hydroswing,https://www.thomasnet.com/company/hydroswing-30478568/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=84,"Cottonwood, MN 56229",,"Manufacturer* , Custom Manufacturer",$5 - 9.9 Mil Revenue,1999.0,Products are engineered utilizing full Finite Element Analysis (FEA).,No,Success,,False,"Confidence score 9.0 >= 7.0; Employee count 0 (from 'Estimated small to medium-sized company') < 10; No estimator detected: No estimators found in titles or company details; ICP match: no, hydroswing is not similar to typical door suppliers/manufacturers like overly door co., acudor p; No decision makers found","{""notes"": ""Hydroswing is a specialized company engineering and manufacturing hydraulic moving wall and door systems primarily for architectural applications. Their products are uniquely engineered usi",9.0,"Hydroswing operates distinctively within the door industry, focusing on hydraulically operated architectural doors using advanced engineering techniques. It does not employ DIV 8 estimators and is not considered similar to regular door/frame/hardware manufacturers.","LinkedIn company profile URL found: https://uk.linkedin.com/company/hydroswing|Company industry: Architectural door systems with hydraulic technology, not typical door hardware supply.|LinkedIn profiles provide credible contact points and company information.|Hydroswing differs from traditional door suppliers like Overly Door Co. by specializing in hydraulic-powered door systems, not standard door/frame/hardware components.|No employee estimate or company details found in initial search results.|Key people identified include Marshal Parker (Founder) and Greg Wilson, both involved in hydraulic door systems.|No confirmation yet of presence of DIV 8 estimators on staff.|No indication that Hydroswing is a door supplier or employs DIV 8 estimators from available data.|No specific executives or key personnel identified from results.|Company operates in hydraulic door systems niche, distinct from typical door/frame/hardware manufacturers.|No evidence of employing DIV 8 estimators; focus on engineering rather than cost estimation.|Uses full Finite Element Analysis (FEA) in product engineering, indicating advanced product development.|Hydroswing's use of Finite Element Analysis is not further detailed in the search results.|Hydroswing's official website is http://hydroswing.com/, featuring hydraulic moving wall and door systems.|Estimated employee count and detailed company data pending LinkedIn page scrape.|No direct website or LinkedIn URL for Hydroswing identified from the FEA-specific search.|Key personnel identified include Marshal Parker (Founder), Greg Wilson (Technical Sales Manager), and Dave Tarpey (Executive Sales Manager), all with LinkedIn profiles.|No successful scraping of LinkedIn member profiles from Hydroswing LinkedIn page.|Hydroswing is distinct from typical door suppliers like Overly Door Co., Acudor, or voestalpine due to product and market focus.|LinkedIn company page exists but scraping is limited, necessitating individual profile searches for leads.|Hydroswing engineers hydraulic moving wall and door systems using full Finite Element Analysis (FEA).|Relevant decision-makers to be identified through company LinkedIn employee listings with roles like CEO, COO, VP, director, manager, sales, operations, purchasing.|Need to confirm similarity or differentiation from other door suppliers/manufacturers based on product and market focus.|No direct evidence of DIV 8 estimators employed; focus is on hydraulic door manufacturing and innovation.|Hydroswing products are engineered utilizing full Finite Element Analysis (FEA).|No direct evidence Hydroswing employs DIV 8 estimators; specialized roles likely focused on hydraulic systems engineering and sales.|Key executives identified: Marshal Parker (Founder), Greg Wilson (Technical Sales Manager), Dave Tarpey (Executive Sales Manager).|Company focuses on high-end architectural hydraulic door systems, different from standard door manufacturers.|Key decision-maker information and contact details are missing and require targeted searches.|Company website: http://hydroswing.com|Hydroswing products are engineered utilizing full Finite Element Analysis (FEA), confirming advanced engineering focus.|Company phone contact found: (858) 461-4519.|Hydroswing likely operates in a niche hydraulic door system or specialized door engineering sector.|Hydroswing is a global leader in hydraulic door and moving wall systems.|No verified number of employees; likely a small to medium-sized firm.|Hydroswing is globally positioned and recognized for hydraulic access systems with over 7,000 installations.|Company differs from door suppliers like Overly Door Co. by offering hydraulically powered specialized doors rather than conventional door products.|Current lack of data on company size, website, industry, and key personnel.",https://uk.linkedin.com/company/hydroswing,http://hydroswing.com,Estimated small to medium-sized company,Hydraulic Architectural Door Systems,"Hydroswing engineers and manufactures hydraulic moving wall and door systems for architectural applications, uniquely utilizing full Finite Element Analysis (FEA) for advanced product development and integration within high-end architectural and industrial markets globally.",No,"No, Hydroswing is not similar to typical door suppliers/manufacturers like Overly Door Co., Acudor Products, or voestalpine because it specializes in hydraulic-powered door systems rather than conventional door/frame/hardware components.","Hydroswing differentiates from other door suppliers by focusing on hydraulic engineering for architectural door systems using advanced FEA technology, serving niche high-end architecture and industrial markets rather than traditional door hardware sectors.",,,,3.0,0.0
"Texas IIC Product Sales, LLC dba FAME Enterprises",https://www.thomasnet.com/company/texas-iic-product-sales-llc-dba-fame-enterprises-98046/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=84,"Sherman, TX 75090",,Custom Manufacturer*,$1 Mil Revenue,1985.0,"Manufacturer of food service and safety equipment. Products include doors, welding screens, air curtains and loading dock accessories.",No,Success,,False,"Confidence score 9.5 >= 7.0; Employee count 0 (from '0 (company ceased operations in 2019)') < 10; No estimator detected: No estimators found in titles or company details; ICP match: no. while historically somewhat similar to door manufacturers like overly door co., acudor products,; No decision makers found","{""notes"": ""Texas IIC Product Sales, LLC dba FAME Enterprises officially ceased operations as of March 31, 2019. Its previously active website fametx.com is now inactive and non-responsive. Searches fo",9.5,"This company is a closed and defunct entity with no operational activity since 2019. There is no active digital presence or personnel, making it irrelevant for current business development or partnerships in the door supply or manufacturing industry.","Estimated Revenue: Under $1 million|No sales, operations, or purchasing leaders found currently associated with the company.|Historically product offerings aligned with door suppliers and manufacturers, but company is no longer active, making ICP match currently irrelevant.|Listed on Thomasnet as supplier of air curtains and related products.|Founded: 1985|Website: http://www.fametx.com/ (verified on Thomasnet)|Products: Doors, welding screens, air curtains, loading dock accessories|No active LinkedIn company profile or employee profiles are available due to closure.|The company was located in Sherman, Denison, and North Texas area.|Company Name: Texas IIC Product Sales, LLC dba FAME Enterprises|Texas IIC Product Sales LLC dba FAME Enterprises is based in Sherman, TX.|No direct website or LinkedIn profile identified yet.|Company Type: Custom Manufacturer|No active LinkedIn company profile or employee profiles found.|Products included doors, welding screens, air curtains, and loading dock accessories primarily for food service and safety equipment markets.|Location: Sherman, TX 75090|Historically similar to Overly Door Co., Acudor Products, Inc., and voestalpine Roll Forming Corporation, but not currently active.|Company manufactures food service and safety equipment: doors, welding screens, air curtains, loading dock accessories.|LinkedIn Company Profile: Not found yet|No engagement opportunities with the company exist due to closure.|No current data confirming employment of Div 8 estimators.|DIV 8 Estimators: Not identified in current sources|Key Contacts: Not found yet, needs targeted LinkedIn searches|The company's official website (fametx.com) is inactive and not updated.|Company appears to serve specialized markets related to safety equipment manufacturing.|ICP Match: Appears smaller and more niche than larger door manufacturers, possibly partially similar due to product overlap|The official website is http://www.fametx.com but appears inactive for current operations.|The company specialized in manufacturing and supplying doors, welding screens, air curtains, and loading dock accessories primarily in North Texas.|Texas IIC Product Sales, LLC dba FAME Enterprises ceased business operations as of March 31, 2019.|No Div 8 estimators on staff or contactable personnel with relevant door manufacturing or estimating expertise.|Industry: Manufacturer of food service and safety equipment|Further research needed to identify key executives and specific company details.|Texas IIC Product Sales, LLC dba FAME Enterprises ceased operations as of March 31, 2019.|No current employees or key decision-makers found; therefore, no Div 8 estimators on staff.|No current executives or key personnel identified via LinkedIn or web searches.|Employee count: Unknown",,http://www.fametx.com,0 (company ceased operations in 2019),Manufacturer of food service and safety equipment,"Historically, Texas IIC Product Sales, LLC dba FAME Enterprises was a manufacturer of food service and safety equipment including doors, welding screens, air curtains, and loading dock accessories, but the company ceased operations as of March 31, 2019 and is no longer active.",No,"No. While historically somewhat similar to door manufacturers like Overly Door Co., Acudor Products, Inc., and voestalpine Roll Forming Corporation based on product overlaps, Texas IIC Product Sales, LLC dba FAME Enterprises is now defunct and no longer comparable in current market terms.","The company offered similar products such as doors and related components to other door manufacturers, serving niche markets in safety equipment manufacturing. However, its closure in 2019 sets it apart from active competitors as it has no current market presence, personnel, or operational activity.",,,,0.0,0.0
"Jem Door Co., Ltd.",https://www.thomasnet.com/company/jem-door-co-ltd-30356275/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=85,"Fordwich, ON N0G1V0",,Manufacturer*,$1 - 4.9 Mil Revenue,,"Manufacturer Of Doors Including Translucent Overhead Doors For Commercial, Industrial & Institutional Buildings.",No,Success,,False,"Confidence score 5.5 < 7.0; Employee count 0 (from '') < 10; No estimator detected: No estimators found in titles or company details; ICP match: yes, jem door co., ltd. shares a market focus with companies like overly door co., acudor products, ; No decision makers found","{""notes"": ""Jem Door Co., Ltd. is a Thailand-based manufacturer specializing in translucent overhead doors for commercial, industrial, and institutional buildings. The company reportedly uses lightweig",5.5,"Jem Door Co., Ltd. appears to be a small or niche door manufacturer based in Chonburi, Thailand, with a limited digital footprint and no confirmed website or LinkedIn profile. No leadership or employee data are identified, and no evidence of Division 8 estimators is found. The company is relevant within the door manufacturing industry for its focus on translucent overhead doors but lacks comprehensive public data.","No key decision-makers have been identified to date from the current results.|No confirmed C-suite or senior sales leadership found on LinkedIn linked to Jem Door Co., Ltd.|Jem Door Co., Ltd. manufactures lightweight, weatherproof aluminum alloy overhead doors for commercial and industrial markets.|Jem Door Co., Ltd. manufactures commercial, industrial, and institutional doors, including translucent overhead doors.|Employee count, key executives, and contact details remain unknown due to limited online presence.|No Division 8 estimators identified as employees of the company.|LinkedIn company profile for Jem Door Co., Ltd. Thailand not identified; similar named companies found but unrelated or in different regions.|No individual executives or key decision-makers identified yet for Jem Door Co., Ltd. in Thailand.|Two relevant URLs found: polydoor.com product details and ARCAT company profile page|No key decision-maker or executive personnel identified at this stage.|Previous LinkedIn results for 'Jem' generally correspond to unrelated companies, not the door manufacturer in question.|No official Thai company website found; Canadian company website polydoor.com may be related but is different location.|No official company website or verified LinkedIn company profile found yet associated with Jem Door Co., Ltd. in Thailand.|No details found on estimated employee count, industry beyond manufacturing, or DIV 8 estimator employment.|Digital footprint is limited, making it hard to identify key company personnel and detailed company data.|No DIV 8 estimators found on LinkedIn associated with the company.|Jem Door Co., Ltd. is a niche door manufacturer in Thailand specializing in translucent overhead doors with aluminum alloy frames.|Based in Thailand, but no official website or LinkedIn company profile located yet.|No official company website or comprehensive LinkedIn company profile found yet for Jem Door Co., Ltd.|Company matches other door manufacturers by product type (doors for commercial and industrial use), but further distinction on market or services is pending.|No official website or LinkedIn company profile has been definitively found for Jem Door Co., Ltd. Thailand.|Searches for CEO, Sales Manager, and Estimator roles linked to the company produced results unrelated to Jem Door Co., Ltd. in Thailand.|No identified DIV 8 estimator roles found in initial data.|Company aligns in industry focus with Overly Door Co. and Acudor Products but has a unique product niche.|Jem Door Co., Ltd. aligns closely with other overhead door manufacturers like Overly Door Co. and Acudor Products in products and market focus.|No evidence yet of DIV 8 estimators on staff.|Jem Door Co., Ltd. is not affiliated with Japan Electronic Materials Corporation, a semiconductor parts manufacturer; names are similar but are separate entities.|Jem Door Co., Ltd. is a Thai door manufacturer specializing in translucent overhead doors for commercial, industrial, and institutional buildings.|Product construction involves lightweight and weatherproof aluminum alloy frames (6063T6).|Company presence in Thailand indicated by external source listing location in Chonburi, Thailand.|Estimated number of employees and detailed company size remain unknown.|Company appears to be niche with a focus on aluminum alloy doors, distinct from other door manufacturers like Overly Door Co. or Acudor Products.|Jem Door Co., Ltd. is a door manufacturer for commercial, industrial, and institutional markets in Thailand.",,,,Manufacturing - Doors and Related Products,"Jem Door Co., Ltd. is a niche door manufacturer in Thailand specializing in translucent overhead doors with aluminum alloy frames for commercial, industrial, and institutional buildings.",No,"Yes, Jem Door Co., Ltd. shares a market focus with companies like Overly Door Co., Acudor Products, and voestalpine Roll Forming Corporation since they all manufacture doors for commercial and industrial applications. However, Jem Door is differentiated by its specialization in translucent overhead doors and use of lightweight weatherproof aluminum alloy frames.","Jem Door Co., Ltd. is similar to other door manufacturers in that it targets commercial and industrial building markets and produces overhead doors. However, it is distinct in its product niche focusing on translucent overhead doors made with 6063T6 aluminum alloy, indicating a specialized product line and lightweight, weatherproof construction. The company also has a limited digital footprint, which contrasts with other manufacturers that have broader online presence and identified leadership.",,,,0.0,0.0
Woodard Welding,https://www.thomasnet.com/company/woodard-welding-30827895/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=84,"Kansas City, KS 66104",,Custom Manufacturer*,,,"Custom manufacturer of handrails. Products include doors, gates, landings, stairwells, smokers, and grills. Capabilities include welding, and fabrication services. Materials handled include aluminum, cast iron, and stainless steel.",No,Success,,False,"Confidence score 9.0 >= 7.0; Employee count 5 (from 'Approx. 5') < 10; No estimator detected: No estimators found in titles or company details; ICP mismatch: no, because woodard welding focuses on custom welding and fabrication of a broad range of metal prod; No decision makers found","{""notes"": ""Woodard Welding is a custom metal fabrication company based in Kansas City, Kansas, specializing in welding and fabrication of handrails, doors, gates, landings, stairwells, smokers, and gr",9.0,"Woodard Welding is a small, owner-run custom welding and fabrication shop primarily serving the metal fabrication market with niche products, and does not match the traditional door supplier/manufacturer profile. No dedicated sales, estimating, or executive staff apart from the owner-operator were identified, and no DIV 8 estimators are employed.","Additional targeted LinkedIn searches are needed to identify further decision-makers by role.|Phone: (913) 281-0700|Industry: Custom metal fabrication/welding|Services: Custom fabrication and repair welding; MIG, TIG, STICK welding; brazing; CNC cutting; CAD design; powder coating; sandblasting; metal bending; short run production|Owner/Operator: William Woodard|No publicly listed other executives, presidents, VPs, or departmental heads found in initial searches.|William Woodard LinkedIn: https://www.linkedin.com/in/william-woodard-928aa589|Their capabilities include working with aluminum, cast iron, and stainless steel.|Company is related but slightly broader than typical door manufacturers, adding metal railings and custom fabricated metal products.|Materials: Carbon steel, mild steel, stainless steel, aluminum, copper, brass, bronze, castings|The company differs from traditional door manufacturers (Overly Door Co., Acudor Products) by focusing on custom fabrication rather than mass door product lines.|No evidence of DIV 8 estimators on staff|No key personnel identified so far; focus will be on executives and roles relevant to sales, estimating, and operations in metal fabrication industry.|No LinkedIn profiles of key personnel or executives found yet|Operating hours: Mon-Fri, 8am-5pm, by appointment|Location: Kansas City, KS, 3021 N 34th Street, 66104|ICP Match: No, due to differing product focus and market|No official LinkedIn company page or a verified company website URL with employee info was found; company website is likely woodardwelding.com but details are missing.|No LinkedIn company profile URL found yet, so targeted searching required.|No clear evidence of DIV 8 estimators on staff yet.|Woodard Welding is a custom welding and fabrication shop in Kansas City, specializing in handrails, doors, gates, landings, stairwells, smokers, grills, and working with steel, aluminum, stainless steel, and cast iron.|Employees: Approx. 5|The company's profile does not match exactly a traditional door manufacturer, but it overlaps by making doors and related products.|No dedicated estimators or sales managers found|Small, owner-operated business likely handling multiple roles internally|Website: https://www.woodardwelding.com/|Estimated number of employees is unclear; likely a small business or owner-operated firm.|Location: Kansas City, Kansas|No evidence of DIV 8 estimators on staff was found in the current data.|Industry classification is in metal fabrication and welding manufacturing, not a typical door manufacturer on a large scale.|Found company Facebook page: https://www.facebook.com/woodweld1|No additional C-suite or executive staff identified|Woodard Welding is a Kansas City-based custom welding and fabrication company with 31+ years of experience.|The company has a local Kansas City, KS presence with a noted address at 3021 N. 34th St., Kansas City, KS 66104.|Product Focus: Custom handrails, doors, gates, landings, stairwells, smokers, grills fabricated from aluminum, stainless steel, cast iron|Company name: Woodard Welding|Email: woodweld1@gmail.com|Company phone is (913) 281-0700 and email is woodweld1@gmail.com found on their official website.|Products include doors, gates, handrails, stairwells, smokers, and grills made from steel, stainless, and aluminum.|Certifications: D.1.1 structural, ASME G6 pressure pipe, deck and aluminum certifications|The company owner and operator is William Woodard, active on LinkedIn since 1994 at this company.|No separate company LinkedIn page located; key personnel info other than William Woodard is missing.|Official website located at https://www.woodardwelding.com/ which appears to be the primary source for company details.|No additional key executives, VP, director, or sales heads are currently identified besides William Woodard.|Company LinkedIn page not found|Facebook page exists with partial info but does not emphasize handrails or cast iron usage.|No direct matches for ICP with door suppliers like Overly Door Co., Acudor, Voestalpine; focuses more broadly on welding and metal fabrication rather than doors specifically|No confirmed number of employees found|Industry: Metal fabrication and welding|No LinkedIn company profile URL found on website|No DIV 8 estimator staff present|Woodard Welding is a custom manufacturer specializing in welding and fabrication of handrails and other metal products including doors, gates, landings, stairwells, smokers, and grills.|William Woodard is owner/operator and the key decision-maker, with expertise in welding and fabrication since 1994.|Company Name: Woodard Welding|Owner/operator: William Woodard|No email or phone contact details for key personnel found yet.",,https://www.woodardwelding.com/,Approx. 5,Custom metal fabrication and welding,"Woodard Welding is a Kansas City-based custom metal fabrication company specializing in welding and fabrication of handrails, doors, gates, landings, stairwells, smokers, and grills using materials such as aluminum, cast iron, and stainless steel. The business is owner-operated by William Woodard, focusing on custom metal products and fabrication services.",No,"No, because Woodard Welding focuses on custom welding and fabrication of a broad range of metal products rather than mass manufacturing and supply of doors and hardware like Overly Door Co., Acudor Products, or voestalpine Roll Forming Corporation.","Woodard Welding differs from door suppliers and manufacturers as it offers bespoke metal fabrication (including handrails, grills, smokers, and gates) rather than specialized door/frame/hardware production and distribution. Its market is more custom metal fabrication than standardized door supply.",,,,1.0,0.0
Direct Environmental Corp.,https://www.thomasnet.com/company/direct-environmental-corp-30744138/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=85,"Bronx, NY 10474",,Manufacturer*,$1 Mil Revenue,2001.0,"Manufacturer of environmentally safe products for industrial and commercial cleaning and waste management applications. Products include LED and fluorescent lighting, trash disposal systems, air duct and trash chute cleaners, carpet shampoos, upholstery cleaners, trash compactors and hopper doors.",No,Success,,False,"Confidence score 8.0 >= 7.0; Employee count 0 (from 'Small to medium-sized (exact number unknown)') < 10; No estimator detected: No estimators found in titles or company details; ICP mismatch: no - the company does not specialize in doors but has a tangential involvement via hopper doors, foc; No decision makers found","{""notes"": ""Direct Environmental Corp. is focused on manufacturing environmentally safe products primarily for industrial and commercial cleaning and waste management applications. Their product range ",8.0,"The company is not a close match to door suppliers like Overly Door Co., Acudor Products, Inc., or voestalpine Roll Forming Corporation due to its distinct focus on environmental products. Leadership is anchored by Franklin Cruz (Founder & Chairman), and no evidence of other key decision-makers or divisional estimators has been found. The official LinkedIn profile for the company was not identified; the website is likely https://www.decgreen.com but remains unconfirmed.","Key Executive: Franklin Cruz - Founder & Chairman, with 30+ years experience in trash compaction and green waste systems.|No additional key decision-makers or specialists with titles related to estimating, sales leadership, or operations have been conclusively identified in available data.|Core Business: Manufacture of environmentally safe products for industrial/commercial cleaning and waste management.|No key decision-maker names or contacts have been located so far.|No official website found yet; crucial to identify for confirmation and further data.|Industry: Environmentally safe cleaning products and waste management equipment manufacturer and distributor|No official company website identified from current resources; cisleads.com provides limited company data matching profile.|Company is minority-owned and involved in social initiatives|Specialty Products: LED and fluorescent lighting, trash disposal systems, air duct and trash chute cleaners, carpet shampoos, upholstery cleaners, trash compactors, hopper doors, BigBelly Solar Powered Trash Compactors|No evidence of employing DIV 8 estimators at this point.|No direct email or phone information found yet|No confirmed emails or phone numbers for executives found yet.|Company is located in Bronx, New York.|ICP Match to door industry: No — company does not specialize in doors; only tangential involvement via hopper doors.|Company Name: Direct Environmental Corp.|Number of employees and official company website not identified|Product Lines: LED and fluorescent lighting, trash disposal systems, air duct and trash chute cleaners, carpet shampoos, upholstery cleaners, trash compactors, hopper doors.|Key people besides Franklin Cruz not yet identified or confirmed.|Focus of company is environmental cleaning and waste management, distinct from pure door suppliers/manufacturers.|Company is involved in social initiatives supporting employment of formerly incarcerated individuals.|No evidence of DIV 8 estimators on staff|Founder & Chairman: Franklin Cruz|Founder & Chairman is Franklin Cruz, with 30+ years in waste management equipment industry.|Franklin Cruz is identified as Founder & Chairman and key leadership figure.|No evidence found that company employs DIV 8 estimators; product focus differs from door supply and manufacturing companies.|Not closely related to door manufacturers; different market focus|Franklin Cruz LinkedIn profile: https://www.linkedin.com/in/franklin-cruz-10572610|Address confirmed at 602 Tiffany Street, Bronx, NY 10474; phone number (718) 607-7658.|Number of Employees: Unknown, likely small to medium-sized based on available info.|Industry Classification: Environmental manufacturing, waste management equipment.|Company address: 602 Tiffany Street, Bronx, NY 10474|Direct Environmental Corp. manufactures eco-friendly industrial and commercial cleaning and waste management products including lighting, trash disposal systems, cleaning chemicals, and hopper doors.|Direct Environmental Corp. is a minority-owned manufacturer and distributor based in Bronx, NY.|No evidence of DIV 8 estimators on staff; company not a door manufacturing ICP match.|No official LinkedIn company profile conclusively identified.|Estimated employee count is small to medium, not definitively known.|No LinkedIn company profile URL found yet; required for further company and employee details.|Environmental Focus: Zero VOC cleaning agents, CO2 emission reduction technology|Direct Environmental Corp. manufactures environmentally safe products for industrial/commercial cleaning and waste management, including lighting, trash disposal, carpet and upholstery cleaners, trash compactors, and hopper doors.|Company does not match the ICP for door suppliers like Overly Door Co., Acudor Products, Inc., or voestalpine Roll Forming Corporation due to differing product lines and market focus.|Company is only partially comparable to door suppliers due to presence of hopper doors, but main business differs significantly.|No other confirmed C-suite or leadership contacts identified yet; further LinkedIn deep search needed for sales managers and directors.|No data on employee count or industry classification available yet.|No evidence of employing Division 8 estimators specializing in door/frame/hardware estimating.|Company website possibly https://www.decgreen.com but needs confirmation.|The company produces environmentally safe cleaning products and waste management equipment including hopper doors and trash compactors.|Franklin Cruz linkedIn: https://www.linkedin.com/in/franklin-cruz-10572610|No official company website definitively identified yet; possible link: www.decgreen.com|Location: Bronx, New York, USA",,https://www.decgreen.com,Small to medium-sized (exact number unknown),Environmentally safe cleaning products and waste management equipment manufacturing,"Direct Environmental Corp. is a manufacturer and distributor of environmentally safe industrial and commercial cleaning and waste management products, including LED and fluorescent lighting, trash disposal systems, air duct and trash chute cleaners, carpet and upholstery cleaners, trash compactors, and hopper doors. The company is based in Bronx, New York, and is minority-owned with a focus on eco-friendly products and social initiatives.",No,"No - The company does not specialize in doors but has a tangential involvement via hopper doors, focusing mainly on environmental cleaning and waste management products.","Direct Environmental Corp differs from traditional door suppliers and manufacturers as its primary product and market focus lies in environmentally safe cleaning and waste management equipment rather than door, frame, and hardware manufacturing. While hopper doors are among their products, this is not the company’s main business, and they do not employ DIV 8 estimators related to door hardware cost estimating.",,,,1.0,0.0
