companyName,profileUrl,location,logoUrl,companyType,revenue,establishedYear,description,isVerified
Overly Door Co.,https://www.thomasnet.com/company/overly-door-co-10028953/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=1,"Greensburg, PA 15601",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F10028953%2F270048.png&w=256&q=75,"Manufacturer* , Custom Manufacturer",$25 - 49.9 Mil Revenue,1997.0,"Manufacturer of standard and custom acoustical, radiation shielding and air or gas tight doors. Bullet, blast and pressure resistant doors are also offered. Made from stainless steel, steel and wood materials. Available in single and pair swinging options. Features include electromechanical lock, bonded multi-layer ballistic core construction, laminated multi-layer core and high-density fiberboard cross band. Suitable for performing art centers, movie theaters, conference rooms, airports, recording studios and educational classrooms. Serves hazardous material storage, automotive, chemical and pharmaceutical facility industries. UL listed.",Yes
"Acudor Products, Inc.",https://www.thomasnet.com/company/acudor-products-inc-1053579/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=1,,/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F01053579%2F269986.png&w=256&q=75,"Manufacturer* , Custom Manufacturer",$5 - 9.9 Mil Revenue,1990.0,"Custom manufacturer of doors including access doors & panels. Types of access doors include flush non-rated access doors, fire rated access doors, recessed non-rated access door, security access door, duct doors, valve boxes access doors, drywall access doors, walk through access doors & specialty doors.",Yes
voestalpine Roll Forming Corporation,https://www.thomasnet.com/company/voestalpine-roll-forming-corporation-10074923/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=1,"Shelbyville, KY 40065",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F10074923%2F312621.png&w=256&q=75,"Custom Manufacturer* , Manufacturer, Service Company",$250 Mil. and over Revenue,1947.0,"Custom manufacturer of overhead doors and elevators for construction applications. Other products include structural components, enclosures, elevators, frames and rails. ISO 9001:2015 certified.",Yes
"Meyer Material Handling Products, Inc.",https://www.thomasnet.com/company/meyer-material-handling-products-inc-118765/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=1,"Indianapolis, IN 46203",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F00118765%2F227469.jpg&w=256&q=75,"Distributor* , Custom Manufacturer, Service Company",$1 - 4.9 Mil Revenue,1974.0,"Woman-owned. Distributor of doors including industrial, warehouse, manufacturing facility and commercial garage doors. Stainless steel doors, strip doors, motorized vinyl roll up doors, bug blocking screened mesh curtain doors and doors for high security wire partitions are available. Doors for high security wire partitions include Dutch doors, full height slide doors and hinge doors. Motorized vinyl roll up doors and bug blocking mesh doors feature double lock stitched seams.",Yes
Pacific Stainless Products,https://www.thomasnet.com/company/pacific-stainless-products-10097084/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=1,"Saint Helens, OR 97051",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F10097084%2F355887.png&w=256&q=75,"Custom Manufacturer* , Finishing Service Company, Custom Manufacturer - Instant Quote",$10 - 24.9 Mil Revenue,1988.0,"Custom manufacturer of doors made from alloy, aluminum, carbon steel, stainless steel, steel, and perforated metal. Prototype and low to high volume production runs available. Serves the architecture, automotive, commercial, construction, marine, medical, military, recreational, and defense industries. Lean manufacturing and Kaizen/5S capable. Blanket orders accepted. Meets Mil-Spec, ANSI, AS, ASME, ASTM, AWS, DOT, ISO, QS, SAE, and TS standards. CSA, FAA, and FDA approved. CE and NADCAP certified. RoHS compliant. Offers 24/7 services. JIT delivery. Made in the USA.",Yes
"Wardzala Industries, Inc.",https://www.thomasnet.com/company/wardzala-industries-inc-30546648/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=1,"Franklin Park, IL 60131",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F30546648%2F226894.jpg&w=256&q=75,"Custom Manufacturer* , Finishing Service Company",$1 - 4.9 Mil Revenue,1990.0,"Custom manufacturer of doors. CNC wire form products including screen doors can be fabricated. Materials used include steel, stainless steel, aluminum, brass, phosphorous bronze, copper and beryllium copper. Wire form products can be fabricated in dia. from 0.062 in. to 0.437 in., thicknesses up to 0.437 in. and wire grid widths up to 48 in. Capabilities include CNC press brake forming, fourslide and multislide fabrication, mesh welding, bending, cutting, grinding, prototyping, heat treating, deburring, plating, powder coating and assembly.",Yes
Baker Sheet Metal Corp.,https://www.thomasnet.com/company/baker-sheet-metal-corp-370567/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=1,"Norfolk, VA 23509",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F00370567%2F270815.png&w=256&q=75,"Custom Manufacturer* , Manufacturer",$10 - 24.9 Mil Revenue,1955.0,"Custom manufacturer of doors for marine and naval applications. Flush, fumetight, metal joiner, and vault doors are offered. Made from stainless steel and aluminum materials. Prototypes and low to high production volumes are offered. Blanket orders are accepted. Emergency and rush services are available. Meets ANSI, ASME, and ASTM standards. RoHS compliant and FDA approved. Made in the USA.",Yes
Penn Tool Co.,https://www.thomasnet.com/company/penn-tool-co-571081/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=1,"Maplewood, NJ 07040",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F00571081%2F341511.png&w=256&q=75,"Distributor* , Manufacturer",$25 - 49.9 Mil Revenue,1968.0,Distributor of electrically operated doors made from steel material. Suitable for wall mounting enclosures. RoHS complaint. UL listed.,Yes
"Long Fence, Inc.",https://www.thomasnet.com/company/long-fence-inc-358322/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=1,,/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F00358322%2F36527.png&w=256&q=75,"Custom Manufacturer* , Distributor, Manufacturer, Service Company",$1 Mil Revenue,1945.0,"Custom manufacturer and installation of storm doors for single and double entrances. Made from glass. Available in sliding, French, grillwork, and basement styles. Used for security purposes. EPA registered. One year warranty.",Yes
ArtUSA Noise Control Products,https://www.thomasnet.com/company/artusa-noise-control-products-1052251/profile?cov=NA&format=json&heading=23639008&limit=2589&searchsource=suppliers&searchterm=Doors&what=Doors&which=prod&coverage_area=NA&pg=1,"Cumming, GA 30040",/_sda/_next/image?url=https%3A%2F%2Fcdn.thomasnet.com%2Fccp%2F01052251%2F221115.png&w=256&q=75,"Manufacturer* , Custom Manufacturer, Distributor, Turnkey Systems Integrator",$5 - 9.9 Mil Revenue,1995.0,"Manufacturer of standard and custom acoustical doors including sound rated doors. Available in different metal finishes and with STC (sound transmission classification) ratings from STC 41 to STC 57. Sound rated doors are designed in double door, swinging door and tandem door configurations and with/without window options. Single swing doors are available in standard sizes of 3 ft. x 7 ft. Acoustical doors are used in recording and broadcast studios, home theaters, test cells and educational distance learning classrooms.",Yes
