zipCode;type;name;nmls;url;website;email;phone;extractFile;status
35005;company;1st Franklin Financial Corporation;141654;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/141654;1ffc.com;ehart@1ffc.com;17063489627;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35005/COMPANY/COMPANY_141654.html;processed
35004;company;CoinCache LLC;2246527;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2246527;www.coincache.co;andrew@coincache.co;205-210-8005;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35004/COMPANY/COMPANY_2246527.html;processed
35004;company;HOMETOWN LENDERS, INC.;65084;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/65084;https://mycity.mortgage/, www.htlenders.com;jwilson@htlenders.com;256-828-8883;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35004/COMPANY/COMPANY_65084.html;processed
35020;company;First Financial Bank;431477;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/431477;;sbowden@ffbalabama.com;205-428-8472;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35020/COMPANY/COMPANY_431477.html;processed
35020;company;Marvel City Federal Credit Union;811802;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/811802;;gina@marvelcityfcu.com;205-426-0578;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35020/COMPANY/COMPANY_811802.html;processed
35021;company;GulfCo of Alabama, LLC;1793886;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1793886;www.towerloan.com;license@towerloan.com;601-992-0153;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35021/COMPANY/COMPANY_1793886.html;processed
35007;company;Honor Mortgage LLC;2676230;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2676230;Not provided;alhonormortgage@gmail.com;205-213-9299;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35007/COMPANY/COMPANY_2676230.html;processed
35007;company;Classic Home Mortgage, Inc.;206004;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/206004;www.chmortgagealabama.com, www.fundinghomedreams.com;erin@chmortgagealabama.com;205-444-5866;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35007/COMPANY/COMPANY_206004.html;processed
35007;company;Caliber Home Loans, Inc.;15622;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/15622;http://dianamacfarlane.com/, www.caliberhomeloans.com, www.calibermilitarylending.com, www.caliberportfoliolending.com, www.caliberwholesale.com, www.linkedin.com/company/caliber-home-loans;shantay.griffin@caliberhomeloans.com;866-317-2347;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35007/COMPANY/COMPANY_15622.html;processed
35019;company;Lakeview Loan Servicing, LLC;391521;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/391521;www.lakeviewloanservicing.com;vickyrinaldi@lakeviewloanservicing.com;877-772-5391;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35019/COMPANY/COMPANY_391521.html;processed
35019;company;Walker Brothers, LTD;260101;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/260101;www.walkerbrothersltd.com;josh@walkerbrothersltd.net;256-796-2211;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35019/COMPANY/COMPANY_260101.html;processed
35024;company;Freedom Mortgage Corporation;2767;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2767;www.freedommortgage.com, www.freedomwholesale.com;Cynthia.Berman@Freedommortgage.com;800-220-3333;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35024/COMPANY/COMPANY_2767.html;processed
35022;company;OneMain Financial Group, LLC;1339418;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1339418;www.brightway.onemainfinancial.com, WWW.OMF.COM, www.onemainfinancial.com;terri.baer@omf.com;410-537-9168;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35022/COMPANY/COMPANY_1339418.html;processed
35010;company;ALABAMA HOME MORTGAGE LOANS INC;1586368;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1586368;www.myalabamahomemortgage.com;eric@myahm.net;334-567-4223;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35010/COMPANY/COMPANY_1586368.html;processed
35010;company;Edge Home Finance Corporation;891464;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/891464;www.edgehomefinance.com;Licensing@EDGEHOMEFINANCE.COM;763-219-8484;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35010/COMPANY/COMPANY_891464.html;processed
35010;company;Moria Development, Inc.;6274;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/6274;www.peoplesmortgage.com;stan.morris@peoplesmortgage.com;480-752-3530;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35010/COMPANY/COMPANY_6274.html;processed
35010;company;Movement Mortgage, LLC;39179;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/39179;www.movement.com, www.movementmortgage.com;compliance@movement.com;877-314-1499;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35010/COMPANY/COMPANY_39179.html;processed
35010;company;Rocket Mortgage, LLC;3030;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3030;rocket.com/mortgage, www.rocketmortgage.com, www.ThatsMyMortgage.com;TariaMorris@rocketmortgage.com;313-373-4564;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35010/COMPANY/COMPANY_3030.html;processed
35016;company;Nationwide Mortgage Bankers, Inc.;819382;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/819382;nmbhome.com, nmbnow.com, www.Americasahomeloans.com, www.nationwidemortgagebankers.com;kherron@nmbnow.com;833-700-8884;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35016/COMPANY/COMPANY_819382.html;processed
35016;company;Willow Bend Mortgage Company, LLC;117371;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/117371;www.wbm.com/;aswann@wbm.com;972-818-1666;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35016/COMPANY/COMPANY_117371.html;processed
35016;company;Allied Mortgage Group, Inc.;1067;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1067;www.alliedmg.com;compliance@alliedmg.com;610-668-2745;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35016/COMPANY/COMPANY_1067.html;processed
35016;company;Primary Residential Mortgage, Inc.;3094;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3094;Bobbiedyer.com, bulldoghomeloans.com, dashhomeloans.com, Dyermortgagegroup.com, Dyermtg.com, ernieshomeloans.com, lowtility.com, mavenhomeloan.com, primeres.com, primeres.com/boise, primeres.com/emenchaca, primeres.com/meridian, primeres.com/rgresham, primeres.com/rich.johnson, primeres.com/wtischler, primeresnw.com, PRMI, prmihome.com, prmisolar.com, ralphgresham.com, www.primaryresidentialmortgage.com;csummers@primeres.com;800-255-2792x1000190;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35016/COMPANY/COMPANY_3094.html;processed
35030;company;DHI MORTGAGE COMPANY, LTD.;14622;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/14622;www.dhimortgage.com;adharr@dhimortgage.com;512-219-3414;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35030/COMPANY/COMPANY_14622.html;processed
35034;company;Hugh Edmonds Discount Co Inc.;205055;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/205055;Not provided;sedmonds@windwoodinn.com;205-926-3920;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35034/COMPANY/COMPANY_205055.html;processed
35040;company;Central State Bank;476528;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/476528;;shanda@centralstatebank.com;205-605-0350;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35040/COMPANY/COMPANY_476528.html;processed
35044;company;COOSA PINES FEDERAL CREDIT UNION;464059;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/464059;;DCARDEN@COOSAPINESFCU.ORG;256-378-5559X100;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35044/COMPANY/COMPANY_464059.html;processed
35052;company;Nationstar Mortgage LLC;2119;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2119;www.championmortgage.com, www.mrcooper.com, www.rightpathservicing.com, www.rushmoreservicing.com;Compliance@mrcooper.com;469-549-2000;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35052/COMPANY/COMPANY_2119.html;processed
35043;company;TOWN & COUNTRY ACCEPTANCE CORPORATION;1579988;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1579988;www.tcac.org;CATHERINE@TCAC.ORG;205-823-4930;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35043/COMPANY/COMPANY_1579988.html;processed
35043;company;Fairway Independent Mortgage Corporation;2289;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2289;62PLUSHOMEBUYER.COM, home.com, http://aaronvang.com/, http://applywithmichele.com/, http://beckystritt.com/, http://halvorsenhomeloans.com/, http://lorijasicki.com/, http://teamthaxton.net/, http://www.chicagolandmortgage.net/, http://www.danthelendingman.com/, http://www.fairwaylending.com/, http://www.homeloansatfairway.com/, http://www.indyfairway.com/, http://www.jackjonesloans.com/, http://www.jasonstone-loans.com/, http://www.joansergenian.com/, http://www.loansbyjason.com/, http://www.loansbyscott.com/, http://www.loansbytimray.com/, http://www.michaeljfacchini.com/, http://www.mikezillihomeloans.com/, http://www.teamthaxton.com/, http://www.yourwaymortgage.com/, https://www.fairwayfastmortgage.com/, www.bobfairway.com, www.donwatfairway.com, www.EastIdahoHomeLoans.com, www.fairway.com, www.fairwayeric.com, www.fairwayindependentmc.com, www.fairwaymadison.com, www.fairwaymc.com, www.fairwaymortgagecorp.com, www.fairwaynext.com, www.fairwaypoynette.com, www.fairwayreverse.com, www.homefinity.com, www.joanloans.com, www.kevinapproves.com, www.loansbyheather.com, www.loansbymarkk.com, www.loansbymikelenz.com, www.mariejonesteam.com, www.mattbrua.com, www.pullenfairwayhomeloans.com, www.sandylends.com, www.trevorboothfairway.com;licensingcompliance@fairwaymc.com;866-912-4800;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35043/COMPANY/COMPANY_2289.html;processed
35051;company;American Mortgage Professionals, Inc.;202549;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/202549;Not provided;lopezjm99@ampromortgage.com;205-492-9625;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35051/COMPANY/COMPANY_202549.html;processed
35057;company;Spring EQ, LLC;1464945;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1464945;www.springeq.com;pitaliano@springeq.com;215-302-3831;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35057/COMPANY/COMPANY_1464945.html;processed
35060;company;Servis One, Inc.;38078;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/38078;www.bsifinancial.com;jbalmer@bsifinancial.com;972-746-2037;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35060/COMPANY/COMPANY_38078.html;processed
35056;company;First Ohio Home Finance, Inc.;130439;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/130439;www.firstohiohome.com;jigoe@firstohiohome.com;614-818-1850;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35056/COMPANY/COMPANY_130439.html;processed
35056;company;Alabama Farm Credit, ACA;503796;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/503796;;Paulette.Ask@AlabamaFarmCredit.com;256-737-7128;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35056/COMPANY/COMPANY_503796.html;processed
35056;company;First Community Bank of Cullman;879526;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/879526;;demitrius@fcbcullman.com;256-736-6377;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35056/COMPANY/COMPANY_879526.html;processed
35056;company;Premier Bank of the South;454929;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/454929;;internetbanking@premierbankofthesouth.com;256-737-9900;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alabama/35056/COMPANY/COMPANY_454929.html;processed
