zipCode;type;name;nmls;url;website;email;phone;extractFile;status
99506;company;Alaska District Engineers Federal Credit Union;898117;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/898117;;members@adefcu.org;907-753-5118;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alaska/99506/COMPANY/COMPANY_898117.html;processed
99506;company;Global Credit Union Home Loans, LLC;157293;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/157293;gcuhome.com, procuramortgage.com;s.larson@globalcu.org;907-375-3948;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alaska/99506/COMPANY/COMPANY_157293.html;processed
99502;company;Amres Corporation;1359704;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1359704;https://nolalender.com/, www.amres.com, www.amreswholesale.com;Licensing@amres.com;844-242-6656;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alaska/99502/COMPANY/COMPANY_1359704.html;processed
99502;company;Geneva Financial, LLC;42056;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/42056;www.genevaFI.com;telle@genevafi.com;888-889-0009;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alaska/99502/COMPANY/COMPANY_42056.html;processed
99502;company;Van Dyk Mortgage Corporation;3035;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3035;www.vandykfl.com, www.vandykmortgage.com, www.vandykwholesale.com;sdettling@vandykmortgage.com;616-940-3000;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alaska/99502/COMPANY/COMPANY_3035.html;processed
99501;company;Colem Inc. dba Alaska Check Cashing;2034123;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2034123;https://alaskafastcash.com/;alaskacheckcashing@gmail.com;907-274-0715;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alaska/99501/COMPANY/COMPANY_2034123.html;processed
99501;company;Mortgage Brokers of Alaska Corporation;1708957;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1708957;mortgagebrokersofalaska.com;info@akmboa.com;907-343-8898;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alaska/99501/COMPANY/COMPANY_1708957.html;processed
99501;company;Rural Alaska Community Action Program, Inc.;396638;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/396638;ruralcap.org;Not provided;907-279-2511;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alaska/99501/COMPANY/COMPANY_396638.html;processed
99501;company;Rocket Mortgage, LLC;3030;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3030;rocket.com/mortgage, www.rocketmortgage.com, www.ThatsMyMortgage.com;TariaMorris@rocketmortgage.com;313-373-4564;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alaska/99501/COMPANY/COMPANY_3030.html;processed
99501;company;State Farm Bank, F.S.B.;139716;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/139716;statefarm.com;roger.bainbridge.lvei@statefarm.com;309-766-9810;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alaska/99501/COMPANY/COMPANY_139716.html;processed
99501;company;Cardinal Financial Company, Limited Partnership;66247;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/66247;cf.loans, https://primoloans.com, online.cardinalfinancial.com, www.cardinalfinancial.com, www.peopleshomeequity.com, www.sebonic.com;compliance@cardinalfinancial.com;855-561-4944;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alaska/99501/COMPANY/COMPANY_66247.html;processed
99501;company;Cash America, Inc. of Alaska;1996763;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1996763;Not provided;licensing@firstcash.com;817-335-1100;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alaska/99501/COMPANY/COMPANY_1996763.html;processed
99504;company;C 2 C Mortgage LLC;2010048;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2010048;www.c2cmtgllc.com;shellie@c2cmtgllc.com;907-230-2135;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/alaska/99504/COMPANY/COMPANY_2010048.html;processed
