zipCode;type;name;nmls;url;website;email;phone;extractFile;status
85001;company;Nimble Home Loans, LLC;2383996;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2383996;www.nimblehomeloans.com;ty@nimblehomeloans.com;480-863-5261;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arizona/85001/COMPANY/COMPANY_2383996.html;processed
85003;company;JECO INVESTING LLC;1772134;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1772134;Not provided;jchot11@gmail.com;602-799-8052;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arizona/85003/COMPANY/COMPANY_1772134.html;processed
85003;company;Clearinghouse Community Development Financial Institution;57965;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/57965;http://www.clearinghousecdfi.com/about/offices/phoenix/, https://webtrac.clearinghousecdfi.com, www.clearinghousecdfi.com, www.clearinghousenmtc.com;jacquelinea@ccdfi.com;949-859-3600;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arizona/85003/COMPANY/COMPANY_57965.html;processed
85003;company;Fairway Independent Mortgage Corporation;2289;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2289;62PLUSHOMEBUYER.COM, home.com, http://aaronvang.com/, http://applywithmichele.com/, http://beckystritt.com/, http://halvorsenhomeloans.com/, http://lorijasicki.com/, http://teamthaxton.net/, http://www.chicagolandmortgage.net/, http://www.danthelendingman.com/, http://www.fairwaylending.com/, http://www.homeloansatfairway.com/, http://www.indyfairway.com/, http://www.jackjonesloans.com/, http://www.jasonstone-loans.com/, http://www.joansergenian.com/, http://www.loansbyjason.com/, http://www.loansbyscott.com/, http://www.loansbytimray.com/, http://www.michaeljfacchini.com/, http://www.mikezillihomeloans.com/, http://www.teamthaxton.com/, http://www.yourwaymortgage.com/, https://www.fairwayfastmortgage.com/, www.bobfairway.com, www.donwatfairway.com, www.EastIdahoHomeLoans.com, www.fairway.com, www.fairwayeric.com, www.fairwayindependentmc.com, www.fairwaymadison.com, www.fairwaymc.com, www.fairwaymortgagecorp.com, www.fairwaynext.com, www.fairwaypoynette.com, www.fairwayreverse.com, www.homefinity.com, www.joanloans.com, www.kevinapproves.com, www.loansbyheather.com, www.loansbymarkk.com, www.loansbymikelenz.com, www.mariejonesteam.com, www.mattbrua.com, www.pullenfairwayhomeloans.com, www.sandylends.com, www.trevorboothfairway.com;licensingcompliance@fairwaymc.com;866-912-4800;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arizona/85003/COMPANY/COMPANY_2289.html;processed
85003;company;Bison Ventures LLC;2257632;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2257632;www.bisonventures.com;compliance@bisonventures.com;480-646-3772;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arizona/85003/COMPANY/COMPANY_2257632.html;processed
85003;company;Intercap Lending Inc.;190465;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/190465;www.intercaplending.com;maryashley@intercaplending.com;385-800-8300;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arizona/85003/COMPANY/COMPANY_190465.html;processed
85003;company;TouchPay Holdings, LLC;967396;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/967396;www.connectnetwork.com, www.gettingout.com, www.gtlfsonlinepay.com, www.touchpayonline.com, www.tponlinepay.com, www.tponlinepay.com/wa_childsupport;evelyn.rodriguez@viapath.com;972-893-1252;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arizona/85003/COMPANY/COMPANY_967396.html;processed
85007;company;Stonefront Mortgage LLC;1943185;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1943185;www.stonefrontmortgage.com;Isaac@teamswanmtg.com;503-457-6926;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arizona/85007/COMPANY/COMPANY_1943185.html;processed
85007;company;Tio Leo Auto Sales LLC;1642107;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1642107;Not provided;tioleoauto@hotmail.com;602-253-7007;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arizona/85007/COMPANY/COMPANY_1642107.html;processed
85007;company;World Class Processing, LLC;2581911;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2581911;www.wcprocessing.com;cjcarenza@wcprocessing.com;602-573-7782;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arizona/85007/COMPANY/COMPANY_2581911.html;processed
85007;company;First Liberty Home Mortgage, LLC;222256;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/222256;Not provided;jallee@FirstLibertyHM.com;602-258-7889;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arizona/85007/COMPANY/COMPANY_222256.html;processed
