zipCode;type;name;nmls;url;website;email;phone;extractFile;status
71608;company;Agave Home Loans, LLC;1951574;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1951574;www.agavehomeloans.com;info@agavehomeloans.com;602-325-5400;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arkansas/71608/COMPANY/COMPANY_1951574.html;processed
71603;company;First Home Mortgage Corporation;71603;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/71603;www.firsthome.com;jdorr@firsthome.com;410-933-3100x1071;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arkansas/71603/COMPANY/COMPANY_71603.html;processed
71609;company;Harper, Lyndsey Cindy;1778501;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1778501;Not provided;charper@lchprocessing.com;800-328-7750;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arkansas/71609/COMPANY/COMPANY_1778501.html;processed
71607;company;BLMC, INC;71607;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/71607;www.blmc.co;jill@blmc.co;864-255-3173 x109;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arkansas/71607/COMPANY/COMPANY_71607.html;processed
71611;company;FAIRFIELD FEDERAL CREDIT UNION;474558;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/474558;;connie@fairfieldcreditunion.org;870-536-6665;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arkansas/71611/COMPANY/COMPANY_474558.html;processed
71611;company;Simmons Bank;484633;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/484633;;monica.ingram@simmonsbank.com;870-541-1000;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arkansas/71611/COMPANY/COMPANY_484633.html;processed
71601;company;J & M Homes LLC;296209;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/296209;www.jmhomespinebluff.com;kellygracemoore@yahoo.com;870-535-1524;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arkansas/71601/COMPANY/COMPANY_296209.html;processed
71601;company;Mid-South Adjustment Co. Inc.;1812686;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1812686;https://www.midsouthadjustment.com/;n.r.sullivan@midsouthadjustment.com;888-536-5114;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arkansas/71601/COMPANY/COMPANY_1812686.html;processed
71601;company;Pine Bluff Cotton Belt FCU;469777;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/469777;;realestate@pbcottonbeltfcu.coop;870-535-6365;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arkansas/71601/COMPANY/COMPANY_469777.html;processed
71601;company;Wells Fargo Clearing Services, LLC;2234;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2234;www.wellsfargoadvisors.com;chris.ragsdale@wellsfargoadvisors.com;314-875-3294;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arkansas/71601/COMPANY/COMPANY_2234.html;processed
71601;company;Guaranteed Rate, Inc.;2611;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2611;https://jenniferbeeston.com/, https://locklearlendingteam.com, https://workshopmortgage.com/team.html, https://www.citywidehm.com/, https://www.hhlnorthwest.com/, https://www.marcdemetriou.com/, https://www.onqhomeloans.com/, www.certaintyhomelending.com, www.guaranteedrate.com, www.owning.com, www.rate.com;sam.wolling@rate.com;773-897-6587;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arkansas/71601/COMPANY/COMPANY_2611.html;processed
71634;company;Mortgage Network, Inc.;2668;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2668;www.mortgagenetwork.com;dsmith@mortgagenetwork.com;978-777-7500;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arkansas/71634/COMPANY/COMPANY_2668.html;processed
71632;company;DVR Money Services LLC;1838968;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1838968;Not provided;ezcheckcashing614@gmail.com;908-528-3165;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arkansas/71632/COMPANY/COMPANY_1838968.html;processed
71644;company;Traditional Mortgage Acceptance Corporation;971307;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/971307;https://goodlifehomeloans.com/, https://www.traditionalmac.com/;licensing@traditionalmac.com;858-428-1093;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arkansas/71644/COMPANY/COMPANY_971307.html;processed
71639;company;Merchants and Farmers Bank;509463;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/509463;;cbeatty@mfbanknet.com;870-382-4311;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arkansas/71639/COMPANY/COMPANY_509463.html;processed
71640;company;Oaktree Funding Corp.;71640;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/71640;https://g1wins.com, www.g1investment.com, www.oaktreefunding.com;azoaktree@oaktreefunding.com;480-800-3820;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arkansas/71640/COMPANY/COMPANY_71640.html;processed
71646;company;Panorama Mortgage Group, LLC;133739;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/133739;https://panorama.loanadministration.com/panorama/#/login, https://www.lonepeaklending.com/, www.goalterra.com, www.myhomelegacy.com, www.panoramamortgage.com, www.pmgllc.com;license@goalterra.com;702-588-5430;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arkansas/71646/COMPANY/COMPANY_133739.html;processed
71654;company;FIRST NATURALSTATE BANK;646026;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/646026;;jim@fnbmcgehee.com;870-222-3880;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arkansas/71654/COMPANY/COMPANY_646026.html;processed
71654;company;McGehee Bank;458335;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/458335;;clarissa.herren@mcgeheebank.com;870-222-3151;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arkansas/71654/COMPANY/COMPANY_458335.html;processed
71635;company;FIRST STATE BANK;761928;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/761928;;tmills@fsbcrossett.com;870-364-5131;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arkansas/71635/COMPANY/COMPANY_761928.html;processed
71635;company;Timberline Federal Credit Union;532268;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/532268;;timberlinefcu@timberlinefcu.org;870-304-3200;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arkansas/71635/COMPANY/COMPANY_532268.html;processed
71635;company;Lower, LLC;1124061;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1124061;www.Lower.com;licensing@lower.com;443-741-8154;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arkansas/71635/COMPANY/COMPANY_1124061.html;processed
71635;company;Rocket Mortgage, LLC;3030;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3030;rocket.com/mortgage, www.rocketmortgage.com, www.ThatsMyMortgage.com;TariaMorris@rocketmortgage.com;313-373-4564;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arkansas/71635/COMPANY/COMPANY_3030.html;processed
71635;company;AMERICAN MORTGAGE SERVICE COMPANY;8246;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/8246;www.americanmortgage.com;license@americanmortgage.com;888-421-9600;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arkansas/71635/COMPANY/COMPANY_8246.html;processed
71635;company;Stockton Mortgage Corporation;8259;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/8259;www.quillo.com, www.smcapproved.com, www.stockton.com, www.stocktonmortgagefunding.com;licensing@stockton.com;502-227-1100;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arkansas/71635/COMPANY/COMPANY_8259.html;processed
71635;company;Thrive Mortgage, LLC;268552;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/268552;www.ThriveMortgage.com;licensing@ThriveMortgage.com;512-930-7888;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/arkansas/71635/COMPANY/COMPANY_268552.html;processed
