zipCode;type;name;nmls;url;website;email;phone;extractFile;status
90001;company;Wells Fargo Clearing Services, LLC;2234;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2234;www.wellsfargoadvisors.com;chris.ragsdale@wellsfargoadvisors.com;314-875-3294;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/california/90001/COMPANY/COMPANY_2234.html;processed
90001;company;DOLEX DOLLAR EXPRESS, INC.;910812;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/910812;www.dolex.com;gary.leonard@dolex.com;817-501-8993;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/california/90001/COMPANY/COMPANY_910812.html;processed
90001;company;Su Casa De Cambio Cesar Chavez, Inc.;2295296;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2295296;Not provided;rod_garza@verizon.net;562-600-0701;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/california/90001/COMPANY/COMPANY_2295296.html;processed
90003;company;Ibarra, Erik;2342372;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2342372;Not provided;erikibarrarealty@gmail.com;562-441-2753;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/california/90003/COMPANY/COMPANY_2342372.html;processed
90003;company;Oportun, Inc.;1671904;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1671904;www.oportun.com;regulatorylegal@oportun.com;866-488-6090;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/california/90003/COMPANY/COMPANY_1671904.html;processed
90003;company;Wells Fargo Clearing Services, LLC;2234;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2234;www.wellsfargoadvisors.com;chris.ragsdale@wellsfargoadvisors.com;314-875-3294;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/california/90003/COMPANY/COMPANY_2234.html;processed
90003;company;Galt Ventures, LLC;2009088;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2009088;www.SpeedyCash.com;licensing@ccfi.com;614-798-5900;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/california/90003/COMPANY/COMPANY_2009088.html;processed
90007;company;ACCORD FINANCIAL, INC.;2276681;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2276681;accordfinancial.com;apark@accordfinancial.com;704-794-3741;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/california/90007/COMPANY/COMPANY_2276681.html;processed
90007;company;CRCD Community Loan Fund LLC;2387380;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2387380;www.crcdloanfund.com;mwilson@coalitionrcd.org;213-743-6193x300;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/california/90007/COMPANY/COMPANY_2387380.html;processed
90007;company;Pena, Leandro, Damian;2262014;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2262014;Not provided;leandroprudentialrealtor@gmail.com;323-804-2890;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/california/90007/COMPANY/COMPANY_2262014.html;processed
90007;company;Home Start Housing Center;1860900;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1860900;Not provided;Not provided;Not provided;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/california/90007/COMPANY/COMPANY_1860900.html;processed
90007;company;JMV Mortgage Inc;1589409;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1589409;Not provided;juliette1107@gmail.com;3233845136;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/california/90007/COMPANY/COMPANY_1589409.html;processed
90007;company;Payment Processing Services;1860898;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1860898;Not provided;Not provided;Not provided;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/california/90007/COMPANY/COMPANY_1860898.html;processed
90007;company;USC CREDIT UNION;448984;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/448984;;dparis@usccreditunion.org;213-821-7262;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/california/90007/COMPANY/COMPANY_448984.html;processed
90006;company;Audax Private Debt LLC;2326460;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2326460;www.audaxprivatedebt.com;audaxprivatedebtcfl@audaxgroup.com;617-859-1500;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/california/90006/COMPANY/COMPANY_2326460.html;processed
90006;company;Daniel Alfredo Franco;1547580;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1547580;Not provided;daniel.franco@sbcglobal.net;818-585-5668;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/california/90006/COMPANY/COMPANY_1547580.html;processed
90006;company;JOSE LUIS ALVARADO;1170593;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1170593;Not provided;COAST_INVESTMENT@SBCGLOBAL.NET;213-386-2771;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/california/90006/COMPANY/COMPANY_1170593.html;processed
90006;company;Lee, Robert Sang;430767;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/430767;Not provided;robertlee2711@gmail.com;714-423-2711;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/california/90006/COMPANY/COMPANY_430767.html;processed
90006;company;JMV Mortgage Inc;1589409;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1589409;Not provided;juliette1107@gmail.com;3233845136;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/california/90006/COMPANY/COMPANY_1589409.html;processed
90006;company;SH FINANCIAL GROUP, INC.;2610948;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2610948;Not provided;sang@shfinan.com;213-478-0988;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/california/90006/COMPANY/COMPANY_2610948.html;processed
90006;company;Oportun, Inc.;1671904;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1671904;www.oportun.com;regulatorylegal@oportun.com;866-488-6090;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/california/90006/COMPANY/COMPANY_1671904.html;processed
90008;company;D & M Real Estate Corporation;1932900;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1932900;www.goldenkeyhomeloans.com;melinda@goldenkeyhomeloans.com;310-880-6651;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/california/90008/COMPANY/COMPANY_1932900.html;processed
90008;company;Francis, Phillip, Anthony;2248130;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2248130;Not provided;phillipafrancis@gmail.com;323-620-1060;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/california/90008/COMPANY/COMPANY_2248130.html;processed
90008;company;Lisa Carr and Associates Inc.;2268827;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2268827;www.lisacarrandassociates.com;lisa@lcaaloans.com;323-810-3436;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/california/90008/COMPANY/COMPANY_2268827.html;processed
90008;company;MOBLEY, ERIC, WENDELL;397348;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/397348;https://www.successservices.org/index.html;successservice@aol.com;323-440-4331;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/california/90008/COMPANY/COMPANY_397348.html;processed
