zipCode;type;name;nmls;url;website;email;phone;extractFile;status
80001;company;Fairway Independent Mortgage Corporation;2289;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2289;62PLUSHOMEBUYER.COM, home.com, http://aaronvang.com/, http://applywithmichele.com/, http://beckystritt.com/, http://halvorsenhomeloans.com/, http://lorijasicki.com/, http://teamthaxton.net/, http://www.chicagolandmortgage.net/, http://www.danthelendingman.com/, http://www.fairwaylending.com/, http://www.homeloansatfairway.com/, http://www.indyfairway.com/, http://www.jackjonesloans.com/, http://www.jasonstone-loans.com/, http://www.joansergenian.com/, http://www.loansbyjason.com/, http://www.loansbyscott.com/, http://www.loansbytimray.com/, http://www.michaeljfacchini.com/, http://www.mikezillihomeloans.com/, http://www.teamthaxton.com/, http://www.yourwaymortgage.com/, https://www.fairwayfastmortgage.com/, www.bobfairway.com, www.donwatfairway.com, www.EastIdahoHomeLoans.com, www.fairway.com, www.fairwayeric.com, www.fairwayindependentmc.com, www.fairwaymadison.com, www.fairwaymc.com, www.fairwaymortgagecorp.com, www.fairwaynext.com, www.fairwaypoynette.com, www.fairwayreverse.com, www.homefinity.com, www.joanloans.com, www.kevinapproves.com, www.loansbyheather.com, www.loansbymarkk.com, www.loansbymikelenz.com, www.mariejonesteam.com, www.mattbrua.com, www.pullenfairwayhomeloans.com, www.sandylends.com, www.trevorboothfairway.com;licensingcompliance@fairwaymc.com;866-912-4800;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80001/COMPANY/COMPANY_2289.html;processed
80009;company;Money Management International, Inc.;897900;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/897900;www.moneymanagement.org;Compliance@moneymanagement.org;888-845-5669;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80009/COMPANY/COMPANY_897900.html;processed
80004;company;ALLEGIANT RECEIVABLES SOLUTIONS, INC.;2310524;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2310524;www.allegiantcollects.cm;scottallely@allegiantcollects.com;303-239-9100;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80004/COMPANY/COMPANY_2310524.html;processed
80004;company;CT Processing;2526852;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2526852;Not provided;cthomas@ctprocessing.com;303-885-8699;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80004/COMPANY/COMPANY_2526852.html;processed
80004;company;Hoyer Marketing & Processing Company LLC;1975610;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1975610;www.myloanflow.com, www.redpeaklending.com;collin.hoyer@gmail.com;616-402-6195;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80004/COMPANY/COMPANY_1975610.html;processed
80004;company;Venture Home Mortgage LLC;2233996;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2233996;https://www.venturehomemortgagellc.com/;kacey@venturehomemortgagellc.com;719-440-4459;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80004/COMPANY/COMPANY_2233996.html;processed
80004;company;Uptown Financial Group, Inc.;1006777;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1006777;www.ufgmortgage.com;zach@vcpa.biz;720-306-1115;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80004/COMPANY/COMPANY_1006777.html;processed
80005;company;C.M. Way Services LLC;377106;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/377106;Not provided;chip@brooksidelending.net;303-424-8900;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80005/COMPANY/COMPANY_377106.html;processed
80005;company;Financing Colorado LLC;2690830;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2690830;www.financingcolorado.com;dallenbaugh@financingcolorado.com;303-717-5610;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80005/COMPANY/COMPANY_2690830.html;processed
80005;company;Maximum Real Estate Solutions, Inc.;1069037;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1069037;www.platinumrealtyexecutives.com;cgurken@platinumrealtyexecutives.com;760-683-8898;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80005/COMPANY/COMPANY_1069037.html;processed
80005;company;Centennial Lending, LLC;3056;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3056;www.centennial-lending.com;heather@centennial-lending.com;720-494-2740;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80005/COMPANY/COMPANY_3056.html;processed
80005;company;Churchill Mortgage Corporation;1591;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1591;5hiddentraps.com, 6hiddentraps.com, 6traps.com, askexpertdon.com, churchillanderson.info, churchillbrentwood.biz, churchillbrentwood.info, churchillbrentwood.me, churchillbrentwood.mobi, churchillbrentwood.net, churchillbrentwood.org, churchillbrentwood.us, churchillbrentwood.ws, churchillcolorado.com, churchillguide.com, churchillheroes.com, churchillhouston.com, churchillmortgage.me, churchillmortgagefoundation.com, churchillmortgageomaha.com, churchillnebraska.com, cmcfreereport.com, cmlife.com, darrenmccroskeyhomeloan.com, davesbabysteps.com, edwardnorthcmc.com, heroesfirst.com, heroesfirsthomeloans.com, http://vimeo.com/churchillmortgage, http://www.brownteamlending.com, http://www.churchillbrentwood.com, joinchurchill.com, mortgageappsonline.com, nocreditscorehomeloan.com, nocreditscoremortgage.com, northwestlendingteam.com, noscorehomeloan.com, nwlendingteam.com, paradeofhomesgiveaway.com, phillipsteamchurchill.com, sandigreenloanteam.com, starpointegiveaway.com, www.churchillgeorgia.com, www.churchillmortgage.com, www.mychurchill.com;LICENSING@churchillmortgage.com;615-370-8888-158;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80005/COMPANY/COMPANY_1591.html;processed
80010;company;Total Solutions Mortgage LLC;1387262;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1387262;Not provided;TSMortgage15@cs.com;720-857-8300;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80010/COMPANY/COMPANY_1387262.html;processed
80007;company;Blue Arrow Lending Group, INC;2046633;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2046633;www.bluearrowlending.com;Jenn.Moretti@outlook.com;512-584-4518;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80007/COMPANY/COMPANY_2046633.html;processed
80007;company;DC Processing and Loan Services, LLC;1900981;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1900981;Not provided;dcprocessingservices@gmail.com;720-486-5490;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80007/COMPANY/COMPANY_1900981.html;processed
80007;company;Loan Processing Experts LLC;2057297;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2057297;Not provided;agalchenko20@gmail.com;720-217-1881;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80007/COMPANY/COMPANY_2057297.html;processed
80007;company;Seasons Mortgage, LLC;2389253;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2389253;Not provided;jthompson@seasonsmortgageco.com;720-236-2373;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80007/COMPANY/COMPANY_2389253.html;processed
80007;company;The Home Loan Brokers, LLC;1898493;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1898493;www.thehomeloanbrokers.com;rudy@thehomeloanbrokers.com;7203201921;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80007/COMPANY/COMPANY_1898493.html;processed
80007;company;O'Keven, LLC;1017332;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1017332;Not provided;ryan@okeven.com;916-606-8036;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80007/COMPANY/COMPANY_1017332.html;processed
80003;company;Family Credit Counseling Service, Inc.;975415;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/975415;www.familycredit.org, www.kathrynandelizabethgoshopping.com, www.stopthinksave.org;compliance@familycredit.org;815-484-1600;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80003/COMPANY/COMPANY_975415.html;processed
80003;company;A Home's Best Mortgage Inc;381479;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/381479;www.ahomesbestmortgage.com;kenm@rmi.net;303-650-9400;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80003/COMPANY/COMPANY_381479.html;processed
80003;company;Independent Mortgage LLC;2279893;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2279893;www.indymtg.us;evan@indymtg.us;720-209-6643;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80003/COMPANY/COMPANY_2279893.html;processed
80003;company;Integrity Mountain Mortgage LLC;2374718;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2374718;immortgage.net;tayler.orfield@immortgage.net;719-229-1720;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80003/COMPANY/COMPANY_2374718.html;processed
80003;company;MEYERS FUNDING INC.;381991;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/381991;www.meyersfunding.com;bobmeyers@meyersfunding.com;303-428-1900;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80003/COMPANY/COMPANY_381991.html;processed
80003;company;Sharper Home Loans LLC;2468804;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2468804;Not provided;sharpercolorado@gmail.com;303-949-4687;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80003/COMPANY/COMPANY_2468804.html;processed
80003;company;Climb Credit Union;422866;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/422866;;mlott@climbcu.org;303-986-7500;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80003/COMPANY/COMPANY_422866.html;processed
80003;company;ELECTRICAL FEDERAL CREDIT UNION;1028973;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1028973;;sheila@electricalfcu.org;303-428-5080;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80003/COMPANY/COMPANY_1028973.html;processed
80003;company;FIDELIS CATHOLIC CREDIT UNION;646618;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/646618;;Maryanne@fideliscu.org;303-424-5037 extension 160;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80003/COMPANY/COMPANY_646618.html;processed
80003;company;PARTNER COLORADO CREDIT UNION;467003;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/467003;;zamorad@partnercoloradocu.org;303-422-6221x9161;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80003/COMPANY/COMPANY_467003.html;processed
80011;company;303homesloans LLC;1723913;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1723913;www.303homefinancing.com;info@303homefinancing.com;800-807-1388;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80011/COMPANY/COMPANY_1723913.html;processed
80011;company;Empire Lending 1;389876;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/389876;www.empirelending1.com;vpita@empirelending1.com;303-331-0454;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80011/COMPANY/COMPANY_389876.html;processed
80011;company;DISTRICT FEDERAL CREDIT UNION, THE;402483;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/402483;;memberservices@asfcu.com;303-360-0987;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80011/COMPANY/COMPANY_402483.html;processed
80011;company;DHI MORTGAGE COMPANY, LTD.;14622;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/14622;www.dhimortgage.com;adharr@dhimortgage.com;512-219-3414;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80011/COMPANY/COMPANY_14622.html;processed
80011;company;Neighborhood Assistance Corporation of America;4082;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/4082;www.naca.com;mpirazzi@naca.com;617-250-6222;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80011/COMPANY/COMPANY_4082.html;processed
80002;company;SUMMIT FUNDING, INC.;3199;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3199;www.summitfunding.net;customerservice@summitfunding.net;916-571-3000;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80002/COMPANY/COMPANY_3199.html;processed
80002;company;Ayeka Maple, Ltd.;2538219;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2538219;Not provided;yaverot@ayekamaple.com;720-238-1061;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80002/COMPANY/COMPANY_2538219.html;processed
80002;company;DOXA FINANCIAL GROUP LLC;2324565;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2324565;doxadenver.com, doxaloans.com;everett@doxadenver.com;720-837-8097;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80002/COMPANY/COMPANY_2324565.html;processed
80002;company;LLF Funding LLC;394854;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/394854;Not provided;jeffamericanhome@yahoo.com;303-725-2005;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80002/COMPANY/COMPANY_394854.html;processed
80002;company;Loan Haus LLC;2516874;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2516874;Not provided;justin.willis2002@gmail.com;720-327-2201;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80002/COMPANY/COMPANY_2516874.html;processed
80002;company;Ownership Mortgage LLC;1907331;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1907331;ownershipmortgage.com;loans@ownershipmortgage.com;720-588-2809;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80002/COMPANY/COMPANY_1907331.html;processed
80002;company;Select Mortgage Incorporated;239947;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/239947;selectmortgageinc.com;rgaines@selectmtg.net;303-424-7999;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80002/COMPANY/COMPANY_239947.html;processed
80002;company;Venture Financial, Inc.;392987;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/392987;www.venturefinancialinc.com;tony@venturefinancialinc.com;303-422-6500;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80002/COMPANY/COMPANY_392987.html;processed
80002;company;Celebrity Home Loans, LLC;227765;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/227765;http://davidrobnett.com, https://myhome.celebrityhomeloans.com, https://www.celebrityhomeloans.com/, https://www.eclicklending.com/, https://www.midwestequity.com/;licensing@celebrityhomeloans.com;(630) 908-5400;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/colorado/80002/COMPANY/COMPANY_227765.html;processed
