zipCode;type;name;nmls;url;website;email;phone;extractFile;status
6002;company;Law Offices of Nair & Levin P.C.;2257241;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2257241;www.nairlevin.com;lmeeker@nairlevin.com;860-242-7585;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06002/COMPANY/COMPANY_2257241.html;processed
6002;company;Primerica Mortgage, LLC;1723477;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1723477;https://www.primerica.com/public/primerica-mortgage.html, https://www.primerica.com/public/primerica_mortgage_disclosures.html., www.primericamortgage.com;primericamortgage@primerica.com;470-564-5908;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06002/COMPANY/COMPANY_1723477.html;processed
6002;company;Rocket Mortgage, LLC;3030;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3030;rocket.com/mortgage, www.rocketmortgage.com, www.ThatsMyMortgage.com;TariaMorris@rocketmortgage.com;313-373-4564;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06002/COMPANY/COMPANY_3030.html;processed
6002;company;HomeBridge Financial Services, Inc.;6521;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/6521;www.financemyhome.com, www.homebridge.com;hhaskin@homebridge.com;732-738-7100x441;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06002/COMPANY/COMPANY_6521.html;processed
6019;company;CORNERSTONE MORTGAGE ASSOCIATES L.L.C.;74286;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/74286;Not provided;michaelsadowski@hotmail.com;860-693-1367;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06019/COMPANY/COMPANY_74286.html;processed
6019;company;Ward Kilduff Mortgage, LLC;64369;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/64369;www.wardkilduff.com;jason@wardkilduff.com;860-658-7100;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06019/COMPANY/COMPANY_64369.html;processed
6019;company;American Mortgage Affiliates Company, LLC;1401396;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1401396;www.amac-mortgage.com;ejohnson@amac-mortgage.com;860-470-5967;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06019/COMPANY/COMPANY_1401396.html;processed
6019;company;Collinsville Bank;514537;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/514537;;classen@ctmutual.com;860-394-2230;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06019/COMPANY/COMPANY_514537.html;processed
6030;company;Constar International, LLC;1775977;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1775977;empereon-constar.com;ashley.sullivan@empereon.com;602-559-9300x2617;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06030/COMPANY/COMPANY_1775977.html;processed
6030;company;TrueAccord Corp.;1374720;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1374720;www.trueaccord.com;licensing@trueaccord.com;866-611-2731;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06030/COMPANY/COMPANY_1374720.html;processed
6010;company;Bristol Payments Hub, LLC;1840420;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1840420;http://www.unitedcheckcashing.com/;jatinjbp@gmail.com;203-278-4560;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06010/COMPANY/COMPANY_1840420.html;processed
6010;company;First Bristol Federal Credit Union;415322;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/415322;;info@firstbristol.org;860-584-0956;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06010/COMPANY/COMPANY_415322.html;processed
6010;company;House Mortgage LLC;2287982;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2287982;www.housemortgage.net;mikehouse123@gmail.com;860-424-1737;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06010/COMPANY/COMPANY_2287982.html;processed
6010;company;Prestige Pinnacle Mortgage, LLC;2576437;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2576437;Not provided;jose@ppmortgage.com;203-232-2753;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06010/COMPANY/COMPANY_2576437.html;processed
6010;company;Welcome Home Mortgage, LLC;2744;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2744;WWW.WELCOMEHOMEMORTGAGE.NET;brian@welcomehomemortgage.net;860-761-1331-102;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06010/COMPANY/COMPANY_2744.html;processed
6010;company;Indecomm Holdings, Inc.;409691;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/409691;www.indecomm.com;katherine.baird@indecomm.net;732-404-0081;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06010/COMPANY/COMPANY_409691.html;processed
6010;company;Lending Capital Group Inc;1680087;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1680087;www.lcgloans.com;compliance@lcgloans.com;215-485-5148;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06010/COMPANY/COMPANY_1680087.html;processed
6010;company;Prosperity Home Mortgage, LLC;75164;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/75164;www.edinarealtymortgage.com, www.phmloans.com;katherine.bosma@phmloans.com;877-275-1762;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06010/COMPANY/COMPANY_75164.html;processed
6010;company;Wal-Mart Stores East Limited Partnership;903778;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/903778;www.walmart.com;complic@wal-mart.com;479-204-6148;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06010/COMPANY/COMPANY_903778.html;processed
6023;company;NEXA Mortgage, LLC;1660690;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1660690;-www.crofootloans.com, -www.gwenntanvas.com, -www.karifloresnexamortgageconsultant.com, web.facebook.com/itsnevinhomeloans/?ref=pages_you_manage&_rdc=1&_rdr, www. shelleymcreynolds.com, www..facebook.com/people/The-Patriot-Team-powered-by-NEXA-Mortgage-LLC-Nmls2157919/100070009969498, www.1003originator.com, www.11000isyoursnow.com, www.1stphasemortgage.com, www.2aloans.com, www.2moreprofits.us/index.php/elementor-222/, www.30dayhomeloans.com/, www.4flloans.com/, www.4ncloans.com/, www.7jfinancial.com, www.aacosta.mloboss.com/mlo, www.aaronmayoloans.com, www.aaronschaler.com/, www.aaronwebbloans.com/home-new, www.about.me/homeloansbyshay, www.acesinatra.com, www.adamkarcz.com/, www.adamkarcz.com/karcz-lending-team, www.adrianaloan.com, www.advancedlendingprofessionals.com/?fbclid=IwY2xjawEQlxBleHRuA2FlbQIxMAABHVutczA1IoNoQE6StQX5Jm2sY8us_0lWkWh_BdbWMFZzIN9HB369-, www.advancedlendingprofessionals.com/homepage, www.ajloansbyadrienne.com, www.al-gray.com/, www.alexandereasymortgage.com, www.alexandereasymortgage.com/, www.alexandriaware.themortgagecalculator.co, www.alexwoods.loans/, www.alialston.com/, www.alignable.com/atascadero-ca/pete-savino-iii-powered-by-nexa-mortgage-inc-nmls-1660690, www.alignable.com/chandler-az/macey-bonner-nexa-mortgage-nmls-2310073, www.alignable.com/chandler-az/nexa-mortgage-llc-loan-officer-nmls-2091143, www.alignable.com/chandler-az/shanna-frazer-mortgage-loan-originator-at-nexa-mortgage-nmls-1327399, www.alignable.com/deer-park-tx/gregmlo, www.alignable.com/fort-pierce-fl/pure-mortgage-solutions-empowered-by-nexa-mortgage-llc, www.alignable.com/frisco-tx/kevin-lim, www.alignable.com/havertown-pa/cp-mortgage-team-empowered-by-nexa-mortgage-llc, www.alignable.com/idaho-falls-id/allstar-homes-realty-inc, www.alignable.com/mustang-ok/loans-with-chas., www.alignable.com/naperville-il/md-home-mortgages-nexa-mortgage-llc, www.alignable.com/orlando-fl/eliud-gautier-nmls-id-390719, www.alignable.com/pea-ridge-ar/john-s-lasater-nmls-607994, www.alignable.com/pompano-beach-fl/crosscountry-mortgage-jim-blackburn-team-nmls-1072866, www.alignable.com/san-antonio-tx/mortgages-with-margaret-nexa-nmls-2280360, www.alignable.com/seattle-wa/nexa-mortgage-llc, www.alignable.com/seattle-wa/nexa-mortgage-llc, www.alignable.com/walled-lake-mi/loansbyguy-com, www.alignable.com/warminster-pa/young-kwon-lending-group-powered-by-nexa-mortgage-llc, www.alignable.com/woodbury-mn/nexa-mortgage-llc-infinite-team-mortgage-advisor-nmls-328679, www.allenhomeloan.com/homepage, www.alliancelendinggroup.com, www.allmortgages.net, www.allsetwithisabel.com/homepage/, www.allstarhomesrealty.com/mortgage-application, www.aloanwithlove.com, www.alslending.com, www.alyssatheloanofficer.com/, www.amberbrokersloans.com, www.ambersegura.com/, www.americashomechoice.com, www.ameripoint.us, www.amfhomeloans.com/, www.amranhomeloans.com/, www.amyeddymortgageloans.com, www.amyelizabethbird.com, www.amygiuntalo.com, www.ana2homelending.com, www.andreaclosesloans.com, www.andremoser.com/, www.andrewchittendenmortgage.com, www.andrewtempleman-gonzalez.com/, www.andylugolending.com, www.AnnaUriegas.com, www.anthonygallup.com, www.antoinettebecht.themortgagecalculator.co/, www.anymortgage.co/, www.ao-loanguy.com/, www.aohomeloans.com, www.aortizloans.com/, www.applyforamortgagenow.com, www.applywithbee.com/, www.applywithiggy.com, www.applywithjoshculver.com/, www.applywithkelvin.com/, www.applywithmg3.com/, www.approvedbyamy.com/, www.approvedbycharles.com/, www.approvedwithcharles.com, www.aprilliberty.com/, www.aquinocapitalgroup.com, www.arb.mloboss.com, www.artnava.com/, www.aryan.mloboss.com/, www.asantiagoloanofficer.com, www.asaploanz.com/, www.ashleyblantonhomeloans.com/licensing/, www.ashurbenjamin.com, www.ashurbenjamin.com/23-2, www.asmfloans.com/, www.athenarogersmortgageteam.com, www.atlantamortgageshop.com/, www.aubreyhomeloans.com, www.augusthomeloans.com, www.austinzittel.com, www.autrydouglas.com/, www.autrydouglasmortgage.com/;mkortas@nexamortgage.com;602-344-9333;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06023/COMPANY/COMPANY_1660690.html;processed
6023;company;Nationwide Equities Corporation;1408;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1408;www.nwecorp.com;pparziale@nwecorp.com;201-529-1401;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06023/COMPANY/COMPANY_1408.html;processed
6023;company;Amcap Mortgage, Ltd.;129122;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/129122;http://goldfinancialservices.com, www.Amcaploancenter.com, www.majormortgage.com, www.Mortgage-application.net, www.myamcap.com;licensing@myamcap.com;713-586-0500;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06023/COMPANY/COMPANY_129122.html;processed
6023;company;Money Management International, Inc.;897900;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/897900;www.moneymanagement.org;Compliance@moneymanagement.org;888-845-5669;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06023/COMPANY/COMPANY_897900.html;processed
6023;company;Provident Funding Associates, L.P.;3821;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3821;clp.provident.com/, www.pfloans.com, www.provident.com, www.providentfunding.com;Lng@provident.com;650-652-1300;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06023/COMPANY/COMPANY_3821.html;processed
6029;company;Pinnacle Mortgage Corporation;1323739;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1323739;www.pinnaclemtgcorp.com;kstrandson@pinnaclemtgcorp.com;603-518-7900;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06029/COMPANY/COMPANY_1323739.html;processed
6035;company;Squadron Medical Finance Solutions LLC;2276033;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2276033;Not provided;dpelizzon@sqdncap.com;860-413-9870;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06035/COMPANY/COMPANY_2276033.html;processed
6039;company;Salisbury Bank and Trust Company;562127;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/562127;;dcahill@salisburybank.com;860-435-9801;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06039/COMPANY/COMPANY_562127.html;processed
6042;company;Right Trac Financial Group, Inc.;2709;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2709;www.righttracfg.com;Jill@Righttracfg.com;860-647-7701;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06042/COMPANY/COMPANY_2709.html;processed
6037;company;Cyr, Dave;108446;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/108446;www.rogersmortgage.com;davecyr@comcast.net;860-828-9953;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06037/COMPANY/COMPANY_108446.html;processed
6037;company;Cyr, Mark, Paul;373080;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/373080;Not provided;Mcyr@comcast.net;860-828-9191;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06037/COMPANY/COMPANY_373080.html;processed
6037;company;Kern Mortgage Co., Inc.;1827309;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1827309;Not provided;kernpete@gmail.com;860-828-5374;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06037/COMPANY/COMPANY_1827309.html;processed
6037;company;TOSD Corporation;950968;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/950968;www.healthclubsoftware.com, www.memberservicenow.com, www.tosd.com, www.unpaid.com;mjlaliberte@tosd.com;860-829-6000;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06037/COMPANY/COMPANY_950968.html;processed
6037;company;Achieve Financial Credit Union, Inc.;477018;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/477018;;karenh@achievefinancialcu.com;860-828-2790 x 8901;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06037/COMPANY/COMPANY_477018.html;processed
6037;company;LENDirect Mortgage, Inc;117959;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/117959;www.lendirect.com;salm@lendirect.com;860-829-5363;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06037/COMPANY/COMPANY_117959.html;processed
6045;company;Northeast Family Federal Credit Union;411952;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/411952;;robin@nefamily.coop;860-646-8870x122;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06045/COMPANY/COMPANY_411952.html;processed
6050;company;CONNECTICUT POSTAL FEDERAL CREDIT UNION;480125;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/480125;;ctpostalfcu@yahoo.com;860-225-5595;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06050/COMPANY/COMPANY_480125.html;processed
6001;company;AllPoints Mortgage, LLC;1771087;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1771087;www.allpointsmortgagellc.com;jim@allpointsmortgagellc.com;203-509-3958;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/connecticut/06001/COMPANY/COMPANY_1771087.html;processed
