zipCode;type;name;nmls;url;website;email;phone;extractFile;status
19701;company;True Value Financial LLC;1783428;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1783428;Not provided;jimb@truvalue1.com;302-273-1500x101;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/delaware/19701/COMPANY/COMPANY_1783428.html;processed
19701;company;NVR Mortgage Finance, Inc.;1127;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1127;www.nvrmortgage.com;gsarver@nvrinc.com;724-743-5400;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/delaware/19701/COMPANY/COMPANY_1127.html;processed
19701;company;Mariner Finance, LLC;166564;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/166564;www.marinerfinance.com;licensing@marinerfinance.com;443-438-2064;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/delaware/19701/COMPANY/COMPANY_166564.html;processed
19701;company;Mutual of Omaha Mortgage, Inc.;1025894;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1025894;www.KWLends.com, www.mutualmortgage.com, www.MutualReverse.com;licensing@mutualmortgage.com;800-247-2837;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/delaware/19701/COMPANY/COMPANY_1025894.html;processed
19701;company;OneMain Financial Group, LLC;1339418;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1339418;www.brightway.onemainfinancial.com, WWW.OMF.COM, www.onemainfinancial.com;terri.baer@omf.com;410-537-9168;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/delaware/19701/COMPANY/COMPANY_1339418.html;processed
19710;company;PrimeLending, A PlainsCapital Company;13649;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/13649;www.loanplicity.com, www.primelending.com, www.primelendinglo.com;sgarza@primelending.com;972-248-7866;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/delaware/19710/COMPANY/COMPANY_13649.html;processed
19707;company;HWGA 2 LLC;1940702;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1940702;Not provided;joe@homefrontloans.com;800-707-8845;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/delaware/19707/COMPANY/COMPANY_1940702.html;processed
19707;company;Rate Hoppers LLC;2341643;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2341643;Www.Ratehoppers.com;jonhartwick@icloud.com;561-225-2616;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/delaware/19707/COMPANY/COMPANY_2341643.html;processed
19707;company;Fairway Independent Mortgage Corporation;2289;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2289;62PLUSHOMEBUYER.COM, home.com, http://aaronvang.com/, http://applywithmichele.com/, http://beckystritt.com/, http://halvorsenhomeloans.com/, http://lorijasicki.com/, http://teamthaxton.net/, http://www.chicagolandmortgage.net/, http://www.danthelendingman.com/, http://www.fairwaylending.com/, http://www.homeloansatfairway.com/, http://www.indyfairway.com/, http://www.jackjonesloans.com/, http://www.jasonstone-loans.com/, http://www.joansergenian.com/, http://www.loansbyjason.com/, http://www.loansbyscott.com/, http://www.loansbytimray.com/, http://www.michaeljfacchini.com/, http://www.mikezillihomeloans.com/, http://www.teamthaxton.com/, http://www.yourwaymortgage.com/, https://www.fairwayfastmortgage.com/, www.bobfairway.com, www.donwatfairway.com, www.EastIdahoHomeLoans.com, www.fairway.com, www.fairwayeric.com, www.fairwayindependentmc.com, www.fairwaymadison.com, www.fairwaymc.com, www.fairwaymortgagecorp.com, www.fairwaynext.com, www.fairwaypoynette.com, www.fairwayreverse.com, www.homefinity.com, www.joanloans.com, www.kevinapproves.com, www.loansbyheather.com, www.loansbymarkk.com, www.loansbymikelenz.com, www.mariejonesteam.com, www.mattbrua.com, www.pullenfairwayhomeloans.com, www.sandylends.com, www.trevorboothfairway.com;licensingcompliance@fairwaymc.com;866-912-4800;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/delaware/19707/COMPANY/COMPANY_2289.html;processed
19707;company;Prosperity Home Mortgage, LLC;75164;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/75164;www.edinarealtymortgage.com, www.phmloans.com;katherine.bosma@phmloans.com;877-275-1762;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/delaware/19707/COMPANY/COMPANY_75164.html;processed
