zipCode;type;name;nmls;url;extractFile;status;website;email;phone
20006;company;Bank-Fund Staff Federal Credit Union;283762;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/283762;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/district_of_columbia/20006/COMPANY/COMPANY_283762.html;processed;;namonroe@bfsfcu.org;202-212-6514
20006;company;Fetanpays Corp;1887207;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1887207;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/district_of_columbia/20006/COMPANY/COMPANY_1887207.html;processed;https://fetanpays.com/;director@FetanPays.com;202-753-6688
20006;company;OAS STAFF FEDERAL CREDIT UNION;445850;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/445850;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/district_of_columbia/20006/COMPANY/COMPANY_445850.html;processed;;credit_union@oasfcu.org;202-458-3834
20006;company;The George Washington University;1256677;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1256677;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/district_of_columbia/20006/COMPANY/COMPANY_1256677.html;processed;http://gworld.gwu.edu/;gwlegal@gwu.edu;202-994-6503
20006;company;ibex Receivable Solutions, Inc.;2114370;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2114370;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/district_of_columbia/20006/COMPANY/COMPANY_2114370.html;processed;Not provided;isobel.redfield@ibex.co;781-491-9472
20006;company;Cardtronics USA, Inc.;1534136;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1534136;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/district_of_columbia/20006/COMPANY/COMPANY_1534136.html;processed;www.cardtronics.com, www.ncr.com;ATMREGISTRATION@CARDTRONICS.COM;214-276-5726
20006;company;Wells Fargo Clearing Services, LLC;2234;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2234;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/district_of_columbia/20006/COMPANY/COMPANY_2234.html;processed;www.wellsfargoadvisors.com;chris.ragsdale@wellsfargoadvisors.com;314-875-3294
20006;company;FCTI, Inc.;1793965;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1793965;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/district_of_columbia/20006/COMPANY/COMPANY_1793965.html;processed;www.fcti.net;ico@fcti.net;424-260-4749
20006;company;Promontory MortgagePath LLC;1532373;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1532373;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/district_of_columbia/20006/COMPANY/COMPANY_1532373.html;processed;www.mortgagefulfillment.com, www.mortgagepath.com, www.promontorymortgagepath.com;info@mortgagepath.com;800-231-3891
20006;company;George Mason Mortgage, LLC;153400;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/153400;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/district_of_columbia/20006/COMPANY/COMPANY_153400.html;processed;gmmllc.com;Steve.Wood@bankwithunited.com;703-273-2600
20006;company;T-Mobile Financial LLC;1250965;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1250965;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/district_of_columbia/20006/COMPANY/COMPANY_1250965.html;processed;www.t-mobile.com;nicole.scott@t-mobile.com;425-383-6072
20004;company;ADVANTAGE FINANCIAL FEDERAL CREDIT UNION;785088;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/785088;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/district_of_columbia/20004/COMPANY/COMPANY_785088.html;processed;;DJOHNSON@advfcu.org;202-737-6969
20004;company;STC INC;1230904;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1230904;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/district_of_columbia/20004/COMPANY/COMPANY_1230904.html;processed;Not provided;Not provided;703-941-5960
20004;company;Societe Generale Financial Corporation;1636065;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1636065;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/district_of_columbia/20004/COMPANY/COMPANY_1636065.html;processed;Not provided;jeanenne.strauch@alston.com;202-239-3753
20004;company;Student Freedom Fund, LLC;2469067;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2469067;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/district_of_columbia/20004/COMPANY/COMPANY_2469067.html;processed;https://studentfreedominitiative.org/;mmccullom@studentfreedominitiative.org;202-599-0030
20004;company;ATM Services Corporation;1267180;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1267180;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/district_of_columbia/20004/COMPANY/COMPANY_1267180.html;processed;Not provided;info@atmservicescorp.us;301-421-1535
20004;company;HOME MORTGAGE ALLIANCE CORPORATION (HMAC);1165808;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1165808;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/district_of_columbia/20004/COMPANY/COMPANY_1165808.html;processed;variantlendinggroup.com, www.americashomemtg.com, www.fastkeylending.com, www.homemac.com, www.jetmortgage.com, www.justfundedmortgage.com, www.mubarakmortgage.com, www.primeonehomeloans.com, www.prosperahomeloans.com, www.scionlending.com, www.silvergatemtg.com, www.unitedfundingco.com, www.voltagemortgages.com;marina.hanna@homemac.com;714-414-7257
20004;company;Rocket Mortgage, LLC;3030;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3030;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/district_of_columbia/20004/COMPANY/COMPANY_3030.html;processed;rocket.com/mortgage, www.rocketmortgage.com, www.ThatsMyMortgage.com;TariaMorris@rocketmortgage.com;313-373-4564
20004;company;Sprint Spectrum LLC;1193873;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1193873;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/district_of_columbia/20004/COMPANY/COMPANY_1193873.html;processed;Not provided;nicole.scott@t-mobile.com;425-383-6072
20008;company;Tri-Dev Inc.;1277707;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1277707;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/district_of_columbia/20008/COMPANY/COMPANY_1277707.html;processed;Not provided;mail2purewal@yahoo.com;202-363-4265
20008;company;Payment Alliance International, Inc.;1615502;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1615502;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/district_of_columbia/20008/COMPANY/COMPANY_1615502.html;processed;www.gopai.com;Meagan.mcmillan@gopai.com;502-212-4000x4098
20008;company;Prosperity Home Mortgage, LLC;75164;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/75164;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/district_of_columbia/20008/COMPANY/COMPANY_75164.html;processed;www.edinarealtymortgage.com, www.phmloans.com;katherine.bosma@phmloans.com;877-275-1762
20007;company;Cornerstone First Financial, LLC;183265;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/183265;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/district_of_columbia/20007/COMPANY/COMPANY_183265.html;processed;www.cornerstonefirst.com;mark@cornerstonefirst.com;202-625-1221
20007;company;First Washington Mortgage, LLC;68479;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/68479;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/district_of_columbia/20007/COMPANY/COMPANY_68479.html;processed;www.firstwashingtonmortgage.com;will@firstwashingtonmortgage.com;202-625-1491
