zipCode;type;name;nmls;url;website;email;phone;extractFile;status
32004;company;ASSOCIATES MORTGAGE GROUP, Inc.;1042722;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1042722;AssociatesMortgageGroup.com;AMGofUSA@gmail.com;904-472-1337;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/florida/32004/COMPANY/COMPANY_1042722.html;processed
32004;company;American First Lending Corporation;368580;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/368580;www.americanfirstlending.com, www.amflc.com;sean.smith@amflc.com;360-621-5800;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/florida/32004/COMPANY/COMPANY_368580.html;processed
32019;company;Movement Mortgage, LLC;39179;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/39179;www.movement.com, www.movementmortgage.com;compliance@movement.com;877-314-1499;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/florida/32019/COMPANY/COMPANY_39179.html;processed
32011;company;First Coast Processing, LLC;1938675;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1938675;Not provided;koty@firstcoastprocessing.com;904-444-3799;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/florida/32011/COMPANY/COMPANY_1938675.html;processed
32023;company;Mortgage Access Corp.;2731;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2731;www.mortgageaccess.com, www.weichert.com, www.weichertfinancial.com, www.weichertfinancialservices.com;wmetalsky@weichertfinancial.com;973-401-5553;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/florida/32023/COMPANY/COMPANY_2731.html;processed
32020;company;Movement Mortgage, LLC;39179;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/39179;www.movement.com, www.movementmortgage.com;compliance@movement.com;877-314-1499;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/florida/32020/COMPANY/COMPANY_39179.html;processed
32024;company;Rocket Mortgage, LLC;3030;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3030;rocket.com/mortgage, www.rocketmortgage.com, www.ThatsMyMortgage.com;TariaMorris@rocketmortgage.com;313-373-4564;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/florida/32024/COMPANY/COMPANY_3030.html;processed
32024;company;Union Home Mortgage Corp.;2229;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2229;www.uhm.com, www.uhwholesale.com, www.unionhomemortgage.com, www.unionnationalmortgage.com, www.vloan.com/;licensing@uhm.com;440-234-4300 x111;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/florida/32024/COMPANY/COMPANY_2229.html;processed
32024;company;Orca Home Loans LLC;1904915;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1904915;www.orcahomeloans.com;dan@orcahomeloans.com;267-435-8071;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/florida/32024/COMPANY/COMPANY_1904915.html;processed
32027;company;Publix Super Markets, Inc.;1234752;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1234752;http://www.publix.com;publixlicensing@publix.com;863-688-1188 x 35022;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/florida/32027/COMPANY/COMPANY_1234752.html;processed
32028;company;JLM, INC;1229127;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1229127;Not provided;JACK@SUSIE-QS.COM;229-551-1811;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/florida/32028/COMPANY/COMPANY_1229127.html;processed
32025;company;Allegiant Lending, LLC;1780626;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1780626;https://veteransmutualmortgage.com/, www.allegiantbranch.com, www.allegiantlending.com, www.fhg.com;info@allegiantlending.com;800-769-2372;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/florida/32025/COMPANY/COMPANY_1780626.html;processed
32025;company;Entrust Lending, LLC;2344308;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2344308;www.entrust-lending.com;info@entrust-lending.com;904-643-2709;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/florida/32025/COMPANY/COMPANY_2344308.html;processed
32025;company;American Financial Network, Inc.;237341;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/237341;www.afncorp.com;jessiegener@afncorp.com;714-831-4000;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/florida/32025/COMPANY/COMPANY_237341.html;processed
32025;company;Paramount Residential Mortgage Group, Inc.;75243;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/75243;www.prmg.net;licensing@prmg.net;951-278-0000;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/florida/32025/COMPANY/COMPANY_75243.html;processed
32037;company;Mortgage Financial Group, Inc.;219650;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/219650;www.mfglends.com;john@mfglends.com;352-742-7900;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/florida/32037/COMPANY/COMPANY_219650.html;processed
32038;company;Accurate Support Services, Inc.;2383516;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2383516;www.accuratefinancial.online;accurate.susan1007@gmail.com;386-269-6230;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/florida/32038/COMPANY/COMPANY_2383516.html;processed
32003;company;MiMortgage LLC;2319877;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2319877;Not provided;licensing@nflp.com;713-334-1100;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/florida/32003/COMPANY/COMPANY_2319877.html;processed
