zipCode;type;name;nmls;url;website;email;phone;extractFile;status
96705;company;McBryde Federal Credit Union;2327571;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2327571;;jacie@mcbrydefcu.org;808-335-3365;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/hawaii/96705/COMPANY/COMPANY_2327571.html;processed
96705;company;KAUAI HABITAT FOR HUMANITY, INC;1616157;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1616157;WWW.KAUAIHABITAT.ORG;administration@kauaihabitat.org;808-335-0296X102;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/hawaii/96705/COMPANY/COMPANY_1616157.html;processed
96708;company;Ocean Lending Home Loans, Inc.;1626788;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1626788;coachellavalleyreverse.mortgage, https://twitter.com/Ocean_Lending, https://www.facebook.com/OceanLending, https://www.instagram.com/ocean_lending/, https://www.lendingtree.com/reviews/mortgage/ocean-lending-home-loans-inc/81428180, https://www.linkedin.com/company/ocean-lending/, https://www.yelp.com/biz/ocean-lending-home-loans-mission-viejo, https://www.zillow.com/lender-profile/oceanlending/, www.getintoreverse.com, www.JillandPudge.com, www.oceanlending.com;james@oceanlending.com;949-916-1738;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/hawaii/96708/COMPANY/COMPANY_1626788.html;processed
96708;company;GoodLeap, LLC;30336;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/30336;www.goodleap.com, www.paramountpartners.com (NY CONSUMERS ONLY);licensing@goodleap.com;916-290-9999;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/hawaii/96708/COMPANY/COMPANY_30336.html;processed
96708;company;Newland Mortgage, Inc.;1833416;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1833416;www.newlandmortgage.com;andy@newlandmortgage.com;503-730-2222;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/hawaii/96708/COMPANY/COMPANY_1833416.html;processed
96714;company;E Mortgage Capital, Inc.;1416824;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1416824;http://www.uh2u.com/?i=1, http://www.vetloaninfo.com/about-us/, https://bclarkmortgage.com, https://bowmansgroup.com, https://davejimenez.com, https://david-schweickert.com, https://emortgage.capital/, https://ericoabrego.com, https://felixthefinanceguy.com, https://goemortgage.com/, https://gradyhomeloans.com, https://gregthemlo.com/, https://jayrobins.com, https://karlwarren.lender.marketing, https://kevinrhine.com, https://lendersolutions.com/, https://loanswithhailey.com, https://patrickroman.clickable.bio, https://potempateam.com/, https://www.amerify.com, https://www.call-forest.com/forest-knott1649877108212, https://www.geoffrivers.com, https://www.lowderteam.com, https://www.perlasanluishomes.com, loansbybd.com, reasonmortgage.com, www.emortgagecapital.com, www.kingsoflending.com, www.loansbymarcos.com, www.themortgageaffiliate.com;sam@emortgagecapital.com;949-774-2237;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/hawaii/96714/COMPANY/COMPANY_1416824.html;processed
96717;company;Shirley, Jacalyn Alysa;1701916;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1701916;Not provided;Jacalynshirley@gmail.com;760-978-9782;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/hawaii/96717/COMPANY/COMPANY_1701916.html;processed
96712;company;Clear Mortgage Capital, Inc.;1935005;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1935005;http://www.clearmortgagecapital.com, https://brandoncastanedateam.com/, https://irefi.com/, https://www.chrismylender.com/, https://www.chrismyloanguy.com/, www.mortgage-team.com, www.SergioBecerra365.com, www.vieiramortgageteam.com;info@clearmortgagecapital.com;866-239-8068;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/hawaii/96712/COMPANY/COMPANY_1935005.html;processed
96712;company;Bay Equity LLC;76988;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/76988;https://givingtoheroes.net/, https://www.bayequityhomeloans.com/, www.bayeq.com, www.bayeqloans.com;Licensing@bayeq.com;415-632-5150;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/hawaii/96712/COMPANY/COMPANY_76988.html;processed
96712;company;Edge Home Finance Corporation;891464;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/891464;www.edgehomefinance.com;Licensing@EDGEHOMEFINANCE.COM;763-219-8484;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/hawaii/96712/COMPANY/COMPANY_891464.html;processed
