zipCode;type;name;nmls;url;website;email;phone;extractFile;status
83205;company;Farm Bureau Finance Company;182330;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/182330;idfbfs.com;bfuhriman@idfbfs.com;208-239-4249;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/idaho/83205/COMPANY/COMPANY_182330.html;processed
83205;company;Connections Credit Union;407980;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/407980;;jsimmons@cuconnect.org;208-233-5544 x141;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/idaho/83205/COMPANY/COMPANY_407980.html;processed
59847;company;TrailWest Bank;677399;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/677399;;Not provided;406-273-2400;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/idaho/59847/COMPANY/COMPANY_677399.html;processed
83120;company;Wells Fargo Clearing Services, LLC;2234;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2234;www.wellsfargoadvisors.com;chris.ragsdale@wellsfargoadvisors.com;314-875-3294;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/idaho/83120/COMPANY/COMPANY_2234.html;processed
83206;company;Idaho Central Credit Union;433926;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/433926;;hcarter@iccu.com;208-478-3300;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/idaho/83206/COMPANY/COMPANY_433926.html;processed
83206;company;CDI Affiliated Services, Inc.;1629414;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1629414;www.cdresource.com;hbrown@cdresource.com;208-947-7919;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/idaho/83206/COMPANY/COMPANY_1629414.html;processed
83207;company;Dollar Loan Center Idaho, LLC;2493578;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2493578;dontbebroke.com;compliance@dontbebroke.com;725-977-4558;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/idaho/83207/COMPANY/COMPANY_2493578.html;processed
83211;company;Launa Lee Snow;2419807;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2419807;Not provided;Snow@powercountycollections.com;208-226-1974;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/idaho/83211/COMPANY/COMPANY_2419807.html;processed
83211;company;Rocket Mortgage, LLC;3030;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3030;rocket.com/mortgage, www.rocketmortgage.com, www.ThatsMyMortgage.com;TariaMorris@rocketmortgage.com;313-373-4564;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/idaho/83211/COMPANY/COMPANY_3030.html;processed
83204;company;Pocatello Neighborhood Housing Services, Inc;14881;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/14881;https://www.clceid.org/, nwpocatello.org, pnhs.org;mdahlquist@nwpocatello.org;208-232-9468;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/idaho/83204/COMPANY/COMPANY_14881.html;processed
83204;company;SIMPLOT CREDIT UNION;808726;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/808726;;amy.wellard@pocsimplotcu.com;208-234-5360;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/idaho/83204/COMPANY/COMPANY_808726.html;processed
83204;company;RAILS WEST FEDERAL CREDIT UNION;707117;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/707117;;ron@railswestcu.net;208-232-5746;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/idaho/83204/COMPANY/COMPANY_707117.html;processed
83204;company;SEI Federal Credit Union;469525;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/469525;;rob@seius.org;208-233-4395;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/idaho/83204/COMPANY/COMPANY_469525.html;processed
83204;company;First Colony Mortgage Corporation;3112;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3112;fcmtpo.com, firstcolonymortgage.com;rodr@firstcolonymortgage.com;801-226-7456;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/idaho/83204/COMPANY/COMPANY_3112.html;processed
83204;company;Fairway Independent Mortgage Corporation;2289;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2289;62PLUSHOMEBUYER.COM, home.com, http://aaronvang.com/, http://applywithmichele.com/, http://beckystritt.com/, http://halvorsenhomeloans.com/, http://lorijasicki.com/, http://teamthaxton.net/, http://www.chicagolandmortgage.net/, http://www.danthelendingman.com/, http://www.fairwaylending.com/, http://www.homeloansatfairway.com/, http://www.indyfairway.com/, http://www.jackjonesloans.com/, http://www.jasonstone-loans.com/, http://www.joansergenian.com/, http://www.loansbyjason.com/, http://www.loansbyscott.com/, http://www.loansbytimray.com/, http://www.michaeljfacchini.com/, http://www.mikezillihomeloans.com/, http://www.teamthaxton.com/, http://www.yourwaymortgage.com/, https://www.fairwayfastmortgage.com/, www.bobfairway.com, www.donwatfairway.com, www.EastIdahoHomeLoans.com, www.fairway.com, www.fairwayeric.com, www.fairwayindependentmc.com, www.fairwaymadison.com, www.fairwaymc.com, www.fairwaymortgagecorp.com, www.fairwaynext.com, www.fairwaypoynette.com, www.fairwayreverse.com, www.homefinity.com, www.joanloans.com, www.kevinapproves.com, www.loansbyheather.com, www.loansbymarkk.com, www.loansbymikelenz.com, www.mariejonesteam.com, www.mattbrua.com, www.pullenfairwayhomeloans.com, www.sandylends.com, www.trevorboothfairway.com;licensingcompliance@fairwaymc.com;866-912-4800;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/idaho/83204/COMPANY/COMPANY_2289.html;processed
