zipCode;type;name;nmls;url;website;email;phone;extractFile;status
60002;company;State Bank of the Lakes, National Association;446455;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/446455;N/A;myhr@wintrust.com;855-946-6947;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/illinois/60002/COMPANY/COMPANY_446455.html;processed
60002;company;Rocket Mortgage, LLC;3030;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3030;rocket.com/mortgage, www.rocketmortgage.com, www.ThatsMyMortgage.com;TariaMorris@rocketmortgage.com;313-373-4564;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/illinois/60002/COMPANY/COMPANY_3030.html;processed
60002;company;DIAMOND RESIDENTIAL MORTGAGE CORPORATION;186805;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/186805;http://www.diamondresidential.com/, http://www.lakecountyloangoddess.com;kyle.cooper@drmconline.com;847-244-9301;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/illinois/60002/COMPANY/COMPANY_186805.html;processed
60002;company;State Farm Bank, F.S.B.;139716;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/139716;statefarm.com;roger.bainbridge.lvei@statefarm.com;309-766-9810;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/illinois/60002/COMPANY/COMPANY_139716.html;processed
60002;company;CrossCountry Mortgage, LLC;3029;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3029;www.ccm.com, www.crosscountrymortgage.com, www.myccmortgage.com;Ashley.Cook@ccm.com;440-845-3700;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/illinois/60002/COMPANY/COMPANY_3029.html;processed
60002;company;Finance of America Mortgage LLC;1071;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1071;www.foahomeimprovement.com;licensing@financeofamerica.com;215-591-0222-1139;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/illinois/60002/COMPANY/COMPANY_1071.html;processed
60002;company;Sierra Pacific Mortgage Company, Inc.;1788;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1788;www.andrewandtodd.com, www.chrisgravesmortgageexpert.com, www.joinsierrapacificmortgage.com, www.sierrapacificmortgage.com, www.sierrapmc.com, www.theasplenteam.com;compliance@spmc.com;800-447-3386;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/illinois/60002/COMPANY/COMPANY_1788.html;processed
60007;company;Elk Grove Jewelry & Pawn II;1795468;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1795468;https://elk-grove-jewelry-pawn.business.site/;chapp3696@gmail.com;847-895-3366;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/illinois/60007/COMPANY/COMPANY_1795468.html;processed
60007;company;Mac Funding Corporation;2421676;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2421676;https://www.mac-funding.com;rseaman@mac-funding.com;630-238-5609;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/illinois/60007/COMPANY/COMPANY_2421676.html;processed
60007;company;First American Bank;441491;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/441491;;cservice@firstambank.com;847-952-3700;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/illinois/60007/COMPANY/COMPANY_441491.html;processed
60007;company;Rocket Mortgage, LLC;3030;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3030;rocket.com/mortgage, www.rocketmortgage.com, www.ThatsMyMortgage.com;TariaMorris@rocketmortgage.com;313-373-4564;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/illinois/60007/COMPANY/COMPANY_3030.html;processed
60007;company;State Farm Bank, F.S.B.;139716;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/139716;statefarm.com;roger.bainbridge.lvei@statefarm.com;309-766-9810;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/illinois/60007/COMPANY/COMPANY_139716.html;processed
60007;company;CrossCountry Mortgage, LLC;3029;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3029;www.ccm.com, www.crosscountrymortgage.com, www.myccmortgage.com;Ashley.Cook@ccm.com;440-845-3700;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/illinois/60007/COMPANY/COMPANY_3029.html;processed
60007;company;American Pacific Mortgage Corporation;1850;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1850;aaronhoy.com, abilityambeckmortgage.com, absoluteloans.com, adhmortgage.com, affloans.com, all-california.com, allcalifornia.com, allthebesthomeloans.com, angrove.com, apmcbozeman.com, apmcfamily.com, apmdirectlender.net, apmeverett.com, apmlending.com, apmobile.apmortgage.com, apmorgageaz.com, apmortgage.com, apmortgage.com, apmortgage.mymortgage-online.com, apmortgageaz.com, apmpreescott.com, apmtehachapi.com, aprmg.com, arrowoodteam.com, bakerloan.com, bestloansnw.com, bestloansnw.com, bigvalleymortgage.com, blueribbonmortgage.com, bracamonte.mortgage/, bradtrinkwon.com, brendanjfarrell.com, briancasshomeloans.com, capstonehomeloans.com, carlaleemortgage.com, chrisbelford.com, cindytomlinson.net, clairecomplita.com, claudioprunotto.com, clayrobison.com/, clsfinancial.com, coopscoffee.com, cranehomeloan.com, cscaliforniacapital.com, dandavisloans.com, dandavisloans.com, davidnmortgages.com/, delsurmortgage.com, directlenderteam.com, dmgloans.com, dmgloans.com, dmgloans.com, dmgloans.com/Home, eastbankmtg.com, elementmortgage.com/, erickinnemanloans.com, faulknermortgage.com, findyouahomeloan.com, fosterweeks.com, galencall.com, gethomeloans.com, globalstatemortgage.com, goldeneaglemortgagegroup.com, gordonfriedman.com, granitehl.com, guaranteemortgage.com, hermistonloans.com, hermistonmortgages.com, herohomeprograms.com/oh-scott-dray/, hixonmortgage.com, homebuying101.com, homeloansbymimi.com, homeloansbyorlando.com, homeloansbyorlando.com, homeloanswithhegle.com, homeloanwithheather.com, homestarfc.com, hppfinancial.com, idahohomegroup.com, jasonmata.com, jeffbrother.com, jeffbrother.com, jeninoc.com/, jeremystrunk.com, jesusjimenezloans.com, jimwagnerhomeloans.com, jjmackteam.com, karencardteam.com, kelicarr.com, kentonbecker.com, kentonbecker.com, kfhomeloans.com, kylenmccray.com, lasallefinancial.com, lendingbylacy.com, lendsmartmortgage.com, letsmortgage.com, letsmoveforwardinreverse.com, lisajfoster.com, lisaloans.com, lisamariebrannon.com, loansbycaleb.com, loansbycherylreid.com/, macielmortgage.com, marissaandmargo.com, mattchristensenmortgage.com, melisawebb.com, michaelfaulkner.com, mikebelfor.com, mil-loans.com, militarymortgagegroup.net, mortgageloansil.com, mortgageproweb.com, mrwrightmortgage.com/, mtlfs.com, mvblending.com, myhomeloan.org, mymortgageguyburke.com, nathanhoffman.co, newworld-mtg.com, nmmortgagecompany.com, nmmortgagecompany.com, npacificmortgage.com, nwm-loans.com, o2mortgage.com, oldrepublicmortgage.com, olympic-lending.com, ourloanteam.com, polonsky.com, preferredrate.com, preferredratesarasota.com, prwholesale.com, qhomelending.com, refinance.elementmortgage.com, rivercapitalpdx.com, ryanbukoskey.com, samanthaloans.com, seattleloanofficer.business.site, shiningstarfunding.com, sierramortgage.com, sterlinglakecounty.com, stevehardycma.com, sunstreetmortgage.com, tanishabroadway.com, texaslendingpartners.com, theloanline.com, themortgagephoenixgroup.com, timhemmen.com, townsendcommerciallending.com, treehousemortgage.com, tri-cityloans.com, tylerpetersloans.com/, uslendingcompany.com, vaultmtg.com, veteranshomebuyingability.com, wendymariani.com, yourhomecanhelpyou.com, yourhomeloanexperts.net, yourreverse.com, yourvalleylender.com;mallred@apmortgage.com;916-960-1325;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/illinois/60007/COMPANY/COMPANY_1850.html;processed
60007;company;First Centennial Mortgage Corporation;132763;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/132763;allenhomemortgage.com, bobrycraftloans.com, callaghanloans.com, callaghanwinansloans.com, capitalfinancial.net, capitalfinancial.net/borgese, capitalfinancial.net/gatz, capitalfinancial.net/jennings, capitalfinancial.net/precht, capitalfinancial.net/tarsitano, carizepeda.com, chriseastman.com, coleloans.com, darrylcrawfordloans.com, denisealfordloans.com, frederickmahonmortgageteam.com, gofcmhome.com, http://capitalfinancial.net/navarrete, http://capitalfinancial.net/smith/, https://aloanwithdeedee.com/, https://davidmtg.com/, https://johnidrovoloans.com/, https://kimberlymcclintonloans.com/, https://www.yourmortgageonline.com/?conn=3099C71B-BA62-407F-A0C6-3D18D47E350E, jeffreichenbach.com, JohnDorranceMortgages.com, joinfcm.com, keriloans.com, kimberlymcclintonloans.com, littonloangroup.com, loansbyjenn.com, markfritschloans.com, markhubbardloans.com, martoranoteam.com, mcmahonmortgage.com, mindybratz.com, mortgageswithvanessa.com, mortgagewithkara.com, murrellgenao.com, mytexasloanofficer.com, mytexasloanteam.com, oswegohomeloans.com, palumbomortgage.com, pamelaloans.com, pricehomeloans.com, pricehomeloans.com, qclarkloans.com, robertparrishloans.com, scottellismortgages.com, teamnastoff.com, teamseebauer.com, thebukowskiteam.com, thelindabusseteam.com, toddhartkeloans.com, www.adammurrell.com, www.adamwoznickiloans.com, www.alannaseebauer.com, www.alfrederick.com, www.allisondentloans.com, www.andrewhartell.com, www.andrewpollatos.com, www.angelocusinatoloans.com, www.annenoonanloans.com, www.barneystannerloans.com, www.benkrejciloans.com, www.bethprickettloans.com, www.billbennettsloans.com, www.brentjohnsonloans.com, www.briangriffithloans.com, www.carlmelbyloans.com, www.carlosvillalon.com, www.cassandrabajak.com, www.chaicharin.com, www.chrismartorano.com, www.cindyolvera.com, www.click4rick.com, www.coloradomortgagestore.com, www.cristarees.com, www.dahliaduranloans.com, www.daneltman.com, www.daniellemahonloans.com, www.daniellenorrisloans.com, www.darrylcrawfordloans.com, www.dianereyesloans.com, www.dorothysudol.com, www.dottieyeakel.com, www.edlucianoloans.com, www.gilbertsalazarloans.com, www.gleasonhomeloans.com, www.GoFCM.com, www.gofcmco.com, www.gregburkettloans.com, www.homeloansinbastrop.com, www.jamieportoloans.com, www.janeportoloans.com, www.jenniferascherloans.com, www.john-lindstrom.com, www.johnbarkerloans.com, www.johnschwabmortgages.com, www.kim-martorano.com, www.lindsiemoltz.com, www.loansbyali.com, www.loridobrowolskiloans.com, www.margaretbasicloans.com, www.matthuffordloans.com, www.melissasteuartloans.com, www.michaelpastoreloans.com, www.michaelschwarzloans.com, www.mikeschwarzloans.com, www.mortgagefinancer.com, www.mortgagewithkorina.com, www.ncantrell.com, www.omargonzalezloans.com, www.pauljaimesloans.com, www.paulwagnerloans.com, www.pedrogenao.com, www.peterradjenovich.com, www.randyklotterloans.com, www.realtorima.com, www.ronmerideth.com, www.ryanhaden.com, www.savvasloans.com, www.staceyballogloans.com, www.stevevelsloans.com, www.stormwarnerloans.com, www.summerfreemanloans.com, www.thekoehlingteam.com, www.thelenderteam.com, www.themarinolendingteam.com, www.toddhartkeloans.com, www.tommybarro.com, www.victorrochaloans.com, www.yourhomeloanmatters.com, www.zyzoloans.com;steven.mccormick@GoFCM.com;630-806-2112;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/illinois/60007/COMPANY/COMPANY_132763.html;processed
60007;company;Guild Mortgage Company LLC;3274;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3274;www.guildcorrespondent.com, www.guildmortgage.com;compliance@guildmortgage.net;858-560-6330;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/illinois/60007/COMPANY/COMPANY_3274.html;processed
60007;company;Starboard Financial Management, LLC;156931;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/156931;www.starboardfinancial.com;CFO@starboardfinancial.com;480-897-9777;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/illinois/60007/COMPANY/COMPANY_156931.html;processed
60005;company;First Choice Financial Corp.;1693793;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1693793;www.fcf-corp.com;smehta1061@gmail.com;773-988-6753;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/illinois/60005/COMPANY/COMPANY_1693793.html;processed
