zipCode;type;name;nmls;url;website;email;phone;extractFile;status
46004;company;Delphi CRE Funding LLC;2341182;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2341182;Not provided;cou@dlfi.com;267-256-3800;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46004/COMPANY/COMPANY_2341182.html;processed
46011;company;JMJ FINANCIAL GROUP;167867;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/167867;www.jmj.me;director@jmj.me;949-340-6336;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46011/COMPANY/COMPANY_167867.html;processed
46015;company;Indiana Finance Company;2249128;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2249128;http://www.indianafinance.net;dbayt@indianafinance.net;7653783062;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46015/COMPANY/COMPANY_2249128.html;processed
46015;company;Indiana Finance Financial Corporartion;2249006;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2249006;indianafinance.net;rburt@indianafinance.net;765-378-3062;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46015/COMPANY/COMPANY_2249006.html;processed
46012;company;ATL ON TIME SERVICES LLC;1296642;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1296642;Not provided;ATLONTIMES@GMAIL.COM;678-508-9166;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46012/COMPANY/COMPANY_1296642.html;processed
46012;company;MMCCARTY ENTERPRISES LLC;2059700;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2059700;Not provided;meshlaf@outlook.com;765-642-9903;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46012/COMPANY/COMPANY_2059700.html;processed
46012;company;Madison County Federal Credit Union;503800;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/503800;;riddle@madcofcu.org;765-644-3623;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46012/COMPANY/COMPANY_503800.html;processed
46001;company;James Roderick Peters;1956706;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1956706;www.allthingsmortgage.com;jimbodiesel@gmail.com;765-356-2319;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46001/COMPANY/COMPANY_1956706.html;processed
46017;company;Open Mortgage, LLC;2975;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2975;https://openmortgage.com/branch/620, openmortgage.com, www.openmortgage.com/branch/1673, www.openmortgage.com/branch/1697;Licensing@Openmortgage.com;512-492-3306;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46017/COMPANY/COMPANY_2975.html;processed
46016;company;LANDMARK ACCOUNTS, INC;1025874;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1025874;www.landmarkaccountsinc.com;LANDMARK1010@YAHOO.COM;765-644-4826;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46016/COMPANY/COMPANY_1025874.html;processed
46013;company;SHIVESH KRUPA LLC;1336204;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1336204;Not provided;JACKRABBIT4902@GMAIL.COM;201-759-6420;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46013/COMPANY/COMPANY_1336204.html;processed
46013;company;Independent Federal Credit Union;794477;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/794477;;bobbic@independentfcu.org;765-649-9271;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46013/COMPANY/COMPANY_794477.html;processed
46013;company;Lampco Federal Credit Union;537432;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/537432;;john.upshaw@lampco.com;765-649-9226x104;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46013/COMPANY/COMPANY_537432.html;processed
46013;company;Fairway Independent Mortgage Corporation;2289;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2289;62PLUSHOMEBUYER.COM, home.com, http://aaronvang.com/, http://applywithmichele.com/, http://beckystritt.com/, http://halvorsenhomeloans.com/, http://lorijasicki.com/, http://teamthaxton.net/, http://www.chicagolandmortgage.net/, http://www.danthelendingman.com/, http://www.fairwaylending.com/, http://www.homeloansatfairway.com/, http://www.indyfairway.com/, http://www.jackjonesloans.com/, http://www.jasonstone-loans.com/, http://www.joansergenian.com/, http://www.loansbyjason.com/, http://www.loansbyscott.com/, http://www.loansbytimray.com/, http://www.michaeljfacchini.com/, http://www.mikezillihomeloans.com/, http://www.teamthaxton.com/, http://www.yourwaymortgage.com/, https://www.fairwayfastmortgage.com/, www.bobfairway.com, www.donwatfairway.com, www.EastIdahoHomeLoans.com, www.fairway.com, www.fairwayeric.com, www.fairwayindependentmc.com, www.fairwaymadison.com, www.fairwaymc.com, www.fairwaymortgagecorp.com, www.fairwaynext.com, www.fairwaypoynette.com, www.fairwayreverse.com, www.homefinity.com, www.joanloans.com, www.kevinapproves.com, www.loansbyheather.com, www.loansbymarkk.com, www.loansbymikelenz.com, www.mariejonesteam.com, www.mattbrua.com, www.pullenfairwayhomeloans.com, www.sandylends.com, www.trevorboothfairway.com;licensingcompliance@fairwaymc.com;866-912-4800;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46013/COMPANY/COMPANY_2289.html;processed
46013;company;Ruoff Mortgage Company, Inc.;141868;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/141868;www.ruoff.com;curt.ritchie@ruoff.com;260-999-6200;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46013/COMPANY/COMPANY_141868.html;processed
46013;company;Caliber Home Loans, Inc.;15622;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/15622;http://dianamacfarlane.com/, www.caliberhomeloans.com, www.calibermilitarylending.com, www.caliberportfoliolending.com, www.caliberwholesale.com, www.linkedin.com/company/caliber-home-loans;shantay.griffin@caliberhomeloans.com;866-317-2347;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46013/COMPANY/COMPANY_15622.html;processed
46033;company;INDIANA MORTGAGE GROUP, INC.;142527;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/142527;www.indmtg.com;chas@indmtg.com;317-250-5685;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46033/COMPANY/COMPANY_142527.html;processed
46033;company;Intercontinental Capital Group, Inc.;60134;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/60134;icghome.com, intercontinentalcapital.com, provenmortgage.com, www.hellomortgage.com, www.veteranscommunity.com;ddimisa@icghome.com;877-828-9569;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46033/COMPANY/COMPANY_60134.html;processed
46034;company;Main Street Mortgage LLC;125156;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/125156;Not provided;mainstreetmortgage@frontier.com;317-984-9342;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46034/COMPANY/COMPANY_125156.html;processed
46041;company;THE FARMERS BANK, FRANKFORT, IN;491618;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/491618;;bransen.butler@thefarmersbank.com;765-654-8731;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46041/COMPANY/COMPANY_491618.html;processed
46040;company;ADVENT HOME FUNDING CORPORATION;1921588;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1921588;WWW.ADVENTHOMEFUNDING.COM;JCAULFIELD@adventhomefunding.COM;561-703-8035;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46040/COMPANY/COMPANY_1921588.html;processed
46040;company;John R. Massey D.B.A. Massey Real Estate Services;144370;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/144370;Not provided;massey@indy.net;317-482-9166;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46040/COMPANY/COMPANY_144370.html;processed
46040;company;First Indiana Mortgage, LLC;178112;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/178112;www.firstindianamortgage.com;kkertin@gmail.com;888-627-2002;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46040/COMPANY/COMPANY_178112.html;processed
46048;company;P.A.R CONSULTING, LLC;2332354;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2332354;https://www.usbfund.com/;LEGAL@USBFUND.COM;949-461-1140;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46048/COMPANY/COMPANY_2332354.html;processed
46055;company;Indy Home Buyers Club Inc;116854;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/116854;www.indymortgage.com;ken@indymortgage.com;317-570-6300;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46055/COMPANY/COMPANY_116854.html;processed
46055;company;SAC Finance, Inc.;1892546;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1892546;www.sacfinance.com;komspaugh@superior-auto.com;260-471-5718;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46055/COMPANY/COMPANY_1892546.html;processed
46052;company;Barrett Financial Group, L.L.C.;181106;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/181106;brianthoward.com, joespears.com, mastersoflendingteam.com, tmtloan.com, www.barrettfinancial.com, www.rolandbennettloans.com;trevor@barrettfinancial.com;480-459-4500;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46052/COMPANY/COMPANY_181106.html;processed
46052;company;First Indianapolis Mortgage Corporation;105685;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/105685;www.firstindianapolis.com;kevin@fimmail.com;317-815-3866;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46052/COMPANY/COMPANY_105685.html;processed
46052;company;NORTHPARK COMMUNITY CREDIT UNION;409400;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/409400;;ajohnson@northparkccu.org;317-733-2200x131;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46052/COMPANY/COMPANY_409400.html;processed
46062;company;Berkadia Commercial Mortgage LLC;1208041;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1208041;www.berkadia.com, www.GetMultiFi.com;Licensing.Compliance@Berkadia.com;215-328-3220;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46062/COMPANY/COMPANY_1208041.html;processed
46062;company;Rate Street Mortgage LLC;2693275;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2693275;Ratesmtg.com;stan@ratesmtg.com;210-627-0272;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46062/COMPANY/COMPANY_2693275.html;processed
46063;company;ELAD MOTORS, CORP.;2457027;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2457027;Not provided;info@meirtax.com;818-355-9757;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46063/COMPANY/COMPANY_2457027.html;processed
46063;company;Texas Trust Credit Union;402846;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/402846;;rwhite@texastrustcu.org;972-595-1713;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46063/COMPANY/COMPANY_402846.html;processed
46064;company;Dynamic Financial Solutions, Inc.;107699;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/107699;Not provided;dfsmortgage@sbcglobal.net;317-595-0975;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46064/COMPANY/COMPANY_107699.html;processed
46064;company;GVC Mortgage, Inc.;2334;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2334;www.bawfg.com, www.cafelending.com, www.fanchermtg.com, www.gvckokomo.com, www.gvcmortgage.com, www.gvcmtgcarmel.com, www.gvcmtgrockport.com, www.gvcpendleton.com, www.heritageunitedmortgage.com, www.northshoremort.com, www.pcportage.com, www.preferredcapitalmortgage.com, www.yourmtgteam.com;bvoyles@gvcmortgage.com;765-778-0809;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46064/COMPANY/COMPANY_2334.html;processed
46064;company;Primetime Home Loans, LLC;2150605;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2150605;www.primetime.loans, www.primetimehomeloans.com;brian.collins@primetime.loans;3177517005;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46064/COMPANY/COMPANY_2150605.html;processed
46064;company;Rad Financial Incorporated;1618997;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1618997;Not provided;brianradsilver@gmail.com;317-517-4785;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46064/COMPANY/COMPANY_1618997.html;processed
46071;company;The Home National Bank of Thorntown;477591;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/477591;;lhenry@thehomenationalbank.com;765-436-2222;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46071/COMPANY/COMPANY_477591.html;processed
46070;company;ALL SQUARE MORTGAGE INC.;893532;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/893532;www.allsquaremortgage.com;dwolf@allsquaremortgage.com;360-651-8448;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/indiana/46070/COMPANY/COMPANY_893532.html;processed
