zipCode;type;name;nmls;url;website;email;phone;extractFile;status
50002;company;Exchange State Bank;473973;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/473973;;lisap@esbanks.com;641-742-3201;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/iowa/50002/COMPANY/COMPANY_473973.html;processed
50007;company;University Accounting Service, LLC;215613;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/215613;www.uasconnect.com;licensing@tsico.com;(844) 870-8701.;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/iowa/50007/COMPANY/COMPANY_215613.html;processed
50003;company;Rocket Mortgage, LLC;3030;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3030;rocket.com/mortgage, www.rocketmortgage.com, www.ThatsMyMortgage.com;TariaMorris@rocketmortgage.com;313-373-4564;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/iowa/50003/COMPANY/COMPANY_3030.html;processed
50003;company;DHI MORTGAGE COMPANY, LTD.;14622;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/14622;www.dhimortgage.com;adharr@dhimortgage.com;512-219-3414;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/iowa/50003/COMPANY/COMPANY_14622.html;processed
50014;company;Iowa Able Foundation;217369;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/217369;iowaable.com, iowaable.org, iowable.com, iowable.org;anna@iowaable.org;515-292-2972;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/iowa/50014/COMPANY/COMPANY_217369.html;processed
50014;company;Simplified Settlement Services, L.L.C.;2364767;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2364767;Not provided;unitedrep2016@gmail.com;515-509-2344;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/iowa/50014/COMPANY/COMPANY_2364767.html;processed
50025;company;Audubon State Bank;401610;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/401610;;audubonstatebank@audstate.com;712-563-2644;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/iowa/50025/COMPANY/COMPANY_401610.html;processed
50025;company;Mortgage300 Corporation;162651;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/162651;www.casonhomeloans.com, www.genisysmortgage.com, www.jvirgil.com, www.mortgage300.com, www.thelendingfactory.com;swalsh@mortgage300.com;8107329660;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/iowa/50025/COMPANY/COMPANY_162651.html;processed
50022;company;FIRST WHITNEY BANK & TRUST;401255;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/401255;;anne@firstwhitneybank.com;712-243-3195;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/iowa/50022/COMPANY/COMPANY_401255.html;processed
50022;company;Southwest Iowa Planning Council;1294579;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1294579;www.swipco.org;john.mccurdy@swipco.org;712-243-4196;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/iowa/50022/COMPANY/COMPANY_1294579.html;processed
50022;company;NISHNA VALLEY CREDIT UNION;977103;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/977103;;tjmarcsisak@nishnavalley.com;712-243-6645;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/iowa/50022/COMPANY/COMPANY_977103.html;processed
50022;company;Rolling Hills Bank & Trust;451311;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/451311;;atlantic@rollinghillsbank.com;712-243-2244;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/iowa/50022/COMPANY/COMPANY_451311.html;processed
50021;company;ONE SOURCE MORTGAGE, INC;19081;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/19081;WWW.wemortgageiowa.com;tjborchardt@hotmail.com;515-771-2449;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/iowa/50021/COMPANY/COMPANY_19081.html;processed
50021;company;CMG Mortgage, Inc.;1820;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1820;www.aioloan.com, www.cmgfi.com, www.cmghomeloans.com, www.homefundit.com;licensing@cmgfi.com;925-983-3000;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/iowa/50021/COMPANY/COMPANY_1820.html;processed
50021;company;HomeServices Lending, LLC;490683;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/490683;www.homeserviceslending.com;jasonfroehlich@homeserviceslending.com;515-453-7872;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/iowa/50021/COMPANY/COMPANY_490683.html;processed
50021;company;OneMain Financial Group, LLC;1339418;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1339418;www.brightway.onemainfinancial.com, WWW.OMF.COM, www.onemainfinancial.com;terri.baer@omf.com;410-537-9168;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/iowa/50021/COMPANY/COMPANY_1339418.html;processed
50027;company;MANGAL MURTI INC;1465942;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1465942;Not provided;patel3997@yahoo.com;912-707-9319;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/iowa/50027/COMPANY/COMPANY_1465942.html;processed
50029;company;Concentrix Daksh Services India Private Limited;1000538;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1000538;https://www.concentrix.com/;vimetuo.khate@concentrix.com;+91 020 40006822;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/iowa/50029/COMPANY/COMPANY_1000538.html;processed
50028;company;Halsted Financial Services, LLC;1197823;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1197823;www.halstedfinancial.com;Pran@halstedfinancial.com;847-845-8155;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/iowa/50028/COMPANY/COMPANY_1197823.html;processed
50009;company;Habitat for Humanity of Iowa, Inc.;50974;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/50974;http://www.iowahabitat.org/;info@iowahabitat.org;515-266-6886;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/iowa/50009/COMPANY/COMPANY_50974.html;processed
50009;company;McKibben & Associates, RE Transaction Services, LLC;1915102;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1915102;www.mckibbensettlement.com;michele@mckibbensettlement.com;515-971-5254;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/iowa/50009/COMPANY/COMPANY_1915102.html;processed
50009;company;Legacy Bank;454070;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/454070;;josh@banklegacy.com;515-967-9981;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/iowa/50009/COMPANY/COMPANY_454070.html;processed
50009;company;OBrien Settlement Services;1317439;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1317439;Not provided;don@obrienss.com;515-897-8259;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/iowa/50009/COMPANY/COMPANY_1317439.html;processed
50009;company;Primerica Mortgage, LLC;1723477;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1723477;https://www.primerica.com/public/primerica-mortgage.html, https://www.primerica.com/public/primerica_mortgage_disclosures.html., www.primericamortgage.com;primericamortgage@primerica.com;470-564-5908;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/iowa/50009/COMPANY/COMPANY_1723477.html;processed
50009;company;Envoy Mortgage Ltd;6666;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/6666;www.Envoymortgage.com;licensing@envoymortgage.com;713-977-8005;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/iowa/50009/COMPANY/COMPANY_6666.html;processed
50009;company;Great Plains Specialty Finance, Inc.;1092713;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1092713;https://www.cashstore.com, www.checkngo.com;licensing@axcess-financial.com;513-655-5596;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/iowa/50009/COMPANY/COMPANY_1092713.html;processed
50009;company;KM Dublin, LLC;140234;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/140234;www..kellermortgage.com;kellermortgage@kw.com;614-310-3100;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/iowa/50009/COMPANY/COMPANY_140234.html;processed
50009;company;McKenzie Check Advance of Iowa, LLC;1681832;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1681832;www.advanceamerica.net;licensingadmin@teampurpose.com;888-314-4238;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/iowa/50009/COMPANY/COMPANY_1681832.html;processed
50035;company;Wells Fargo International Solutions LLC;1191000;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1191000;www.wellsfargo.com;WFISLPHLcollections@wellsfargo.com;980-285-0894;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/iowa/50035/COMPANY/COMPANY_1191000.html;processed
50039;company;Dynamic Collectors, Incorporated;1567484;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1567484;www.dynamiccollectors.com;DCILEGAL@QWESTOFFICE.NET;360-748-0420;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/iowa/50039/COMPANY/COMPANY_1567484.html;processed
