zipCode;type;name;nmls;url;website;email;phone;extractFile;status
66004;company;Accuhome Finance, LLC.;1797088;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1797088;Not provided;accuhomefinance@gmail.com;770-910-9111;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/kansas/66004/COMPANY/COMPANY_1797088.html;processed
66008;company;Bendena State Bank;649789;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/649789;;bsbben@rainbowtel.net;785-988-4453;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/kansas/66008/COMPANY/COMPANY_649789.html;processed
66010;company;The Farmers State Bank of Blue Mound;525553;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/525553;;janice@fsbkansas.com;913-756-2221;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/kansas/66010/COMPANY/COMPANY_525553.html;processed
66006;company;Mid-America Bank;619730;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/619730;;dhgconsulting@hotmail.com;785-594-2100;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/kansas/66006/COMPANY/COMPANY_619730.html;processed
66006;company;The Baldwin State Bank;408070;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/408070;;bryan@baldwinstatebank.com;785-594-6421;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/kansas/66006/COMPANY/COMPANY_408070.html;processed
66006;company;Hallmark Home Mortgage, LLC;53441;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/53441;hallmarkbowlchallenge.com, https://ehomebyhallmark.com, https://ehomebyhallmark.com, https://ehomebyhallmark.mortgage, https://ehomebyhallmark.mortgage/, https://www.260mortgage.com, https://www.765mortgage.com, https://www.ambermartinmortgage.com, https://www.applywithcodyc.com, https://www.ashleytheladylender.com, https://www.careersathallmark.com, https://www.careersathallmark.com/, https://www.cleartocloseteamathhm.com, https://www.ftwmortgage.com, https://www.gowanhomeloans.com, https://www.hallmarkhelps.com, https://www.hallmarkhome.mortgage/, https://www.hallmarkincharlotte.com, https://www.hallmarkinflorida.com, https://www.hallmarkinlafayette.com, https://www.hallmarkintexas.com, https://www.hhm.tv, https://www.hhmclk.com, https://www.jasonkain.com, https://www.joeyjonesmortgage.com, https://www.journeywithramiah.com, https://www.loanbyfaith.com, https://www.loanguybrad.com, https://www.loansbyfaith.com, https://www.loansbygregory.com, https://www.markathallmark.com, https://www.mckinniesteam.com, https://www.momentumcoachingonline.com, https://www.mortgagematchmakerbrit.com, https://www.mortgagesbyamberteam.com, https://www.onehallmark.com, https://www.reichmannteam.com, https://www.rickstanleymortgage.com, https://www.ryangrothe.com, https://www.ryanstollmortgage.com, https://www.shannonj.com, https://www.sheri-little.com, https://www.speedyapprove.com, https://www.stanleymortgagegroup.com, https://www.teamdavisathallmark.com, https://www.thereichmannteam.com, https://www.ThorneTeamAtHHM.com, https://www.txmortgagegirl.com, https://www.valoans4vets.com, https://www.welcomehomehaven.com, https://www.yourhhmloangirl.com, https://www.yourmortgagebutlers.com, jonathanmckinnies.team, mckinniesteam.net, momentumcoachonline.com, themomentumcoach.online, www.1hallmark.com, www.hallmarkhomemortgage.com, www.lendingbydave.com, www.mymortgagemichelle.com;Licensing@1hallmark.com;317-669-0338;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/kansas/66006/COMPANY/COMPANY_53441.html;processed
66007;company;Rocket Mortgage, LLC;3030;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3030;rocket.com/mortgage, www.rocketmortgage.com, www.ThatsMyMortgage.com;TariaMorris@rocketmortgage.com;313-373-4564;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/kansas/66007/COMPANY/COMPANY_3030.html;processed
66017;company;The Bank of Denton;525544;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/525544;;bodenton@rainbowtel.net;785-359-6533;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/kansas/66017/COMPANY/COMPANY_525544.html;processed
66002;company;EXCHANGE BANK & TRUST;445799;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/445799;;cbrull@myexchangebank.com;913-367-6000;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/kansas/66002/COMPANY/COMPANY_445799.html;processed
66002;company;Advance America, Cash Advance Centers of Kansas, Inc.;2104060;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2104060;advanceamerica.net;advanceamerica@cscglobal.com;800-927-9801;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/kansas/66002/COMPANY/COMPANY_2104060.html;processed
66002;company;PrimeLending, A PlainsCapital Company;13649;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/13649;www.loanplicity.com, www.primelending.com, www.primelendinglo.com;sgarza@primelending.com;972-248-7866;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/kansas/66002/COMPANY/COMPANY_13649.html;processed
66002;company;QC FINANCIAL SERVICES INC;299302;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/299302;lendnation.com, www.qchi.com, www.qcholdings.com;dawn.bury@qcholdings.com;913-234-5059;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/kansas/66002/COMPANY/COMPANY_299302.html;processed
66012;company;Heartland Mortgage Consultants LLC;1402590;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1402590;Not provided;Connie@HeartlandMortgageConsultants.com;913-422-9466;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/kansas/66012/COMPANY/COMPANY_1402590.html;processed
66012;company;John E. Langcuster;314975;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/314975;Not provided;roger.bainbridge.lvei@statefarm.com;913-814-6900;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/kansas/66012/COMPANY/COMPANY_314975.html;processed
66024;company;Strategic Loan Advisors LLC;1841328;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1841328;Not provided;brandon@strategicloanadvisors.com;404-992-8054;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/kansas/66024/COMPANY/COMPANY_1841328.html;processed
66018;company;TriCentury Bank;1284281;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1284281;;Jrobinson@tricentury.com;913-583-3222;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/kansas/66018/COMPANY/COMPANY_1284281.html;processed
66025;company;Kaw Valley State Bank;405424;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/405424;;rshepard@kawvalleystatebank.com;785-542-4200;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/kansas/66025/COMPANY/COMPANY_405424.html;processed
66032;company;Goppert State Service Bank;423076;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/423076;;Not provided;785-448-3111;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/kansas/66032/COMPANY/COMPANY_423076.html;processed
66032;company;PATRIOTS BANK;541276;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/541276;;kcooper@patriotsbank.com;913-856-8809;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/kansas/66032/COMPANY/COMPANY_541276.html;processed
66027;company;Armed Forces Bank, N.A.;579225;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/579225;;Not provided;888-744-3637;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/kansas/66027/COMPANY/COMPANY_579225.html;processed
66030;company;HP Mortgage Broker LLC;2171183;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2171183;Not provided;hcpclu@gmail.com;913-782-3310;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/kansas/66030/COMPANY/COMPANY_2171183.html;processed
66030;company;National Brokers, Inc.;283332;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/283332;chriscygan@earthlink.net, nationalbrokers@earthlink.net;chriscygan@earthlink.net;913-884-4500;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/kansas/66030/COMPANY/COMPANY_283332.html;processed
66030;company;Cash-2-Go of Kansas, Inc;2045081;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2045081;www.titlecash.com;Not provided;620-231-1647;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/kansas/66030/COMPANY/COMPANY_2045081.html;processed
66033;company;BANK OF GREELEY;631053;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/631053;;bofgreeley@embarqmail.com;785-867-2010;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/kansas/66033/COMPANY/COMPANY_631053.html;processed
66043;company;OneMain Financial Group, LLC;1339418;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1339418;www.brightway.onemainfinancial.com, WWW.OMF.COM, www.onemainfinancial.com;terri.baer@omf.com;410-537-9168;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/kansas/66043/COMPANY/COMPANY_1339418.html;processed
66047;company;Check into Cash of Kansas, LLC;2002047;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2002047;www.checkintocash.com, www.loanbyphone.com;licensing@ccfi.com;614-798-5900;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/kansas/66047/COMPANY/COMPANY_2002047.html;processed
66046;company;Anderson Financial Services, LLC;210967;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/210967;Not provided;slepore@selectmgmt.com;678-823-4669;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/kansas/66046/COMPANY/COMPANY_210967.html;processed
66046;company;TitleMax of Kansas, Inc.;1979156;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1979156;www.titlemax.com;statelicenses@ccfi.com;912-525-2675;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/kansas/66046/COMPANY/COMPANY_1979156.html;processed
66051;company;First Federal Savings & Loan Bank;423507;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/423507;;contactus@firstfederalolathe.com;913-782-0026;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/kansas/66051/COMPANY/COMPANY_423507.html;processed
66044;company;Great American Bank;645979;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/645979;;smater@greatambank.com;785-838-9704;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/kansas/66044/COMPANY/COMPANY_645979.html;processed
66044;company;DAS Acquisition Company, LLC;227262;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/227262;www.usa-mortgage.com;lpring@usa-mortgage.com;314-628-2000;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/kansas/66044/COMPANY/COMPANY_227262.html;processed
