zipCode;type;name;nmls;url;extractFile;status;website;email;phone
70000;company;Fairway Independent Mortgage Corporation;2289;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2289;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/louisiana/70000/COMPANY/COMPANY_2289.html;processed;62PLUSHOMEBUYER.COM, home.com, http://aaronvang.com/, http://applywithmichele.com/, http://beckystritt.com/, http://halvorsenhomeloans.com/, http://lorijasicki.com/, http://teamthaxton.net/, http://www.chicagolandmortgage.net/, http://www.danthelendingman.com/, http://www.fairwaylending.com/, http://www.homeloansatfairway.com/, http://www.indyfairway.com/, http://www.jackjonesloans.com/, http://www.jasonstone-loans.com/, http://www.joansergenian.com/, http://www.loansbyjason.com/, http://www.loansbyscott.com/, http://www.loansbytimray.com/, http://www.michaeljfacchini.com/, http://www.mikezillihomeloans.com/, http://www.teamthaxton.com/, http://www.yourwaymortgage.com/, https://www.fairwayfastmortgage.com/, www.bobfairway.com, www.donwatfairway.com, www.EastIdahoHomeLoans.com, www.fairway.com, www.fairwayeric.com, www.fairwayindependentmc.com, www.fairwaymadison.com, www.fairwaymc.com, www.fairwaymortgagecorp.com, www.fairwaynext.com, www.fairwaypoynette.com, www.fairwayreverse.com, www.homefinity.com, www.joanloans.com, www.kevinapproves.com, www.loansbyheather.com, www.loansbymarkk.com, www.loansbymikelenz.com, www.mariejonesteam.com, www.mattbrua.com, www.pullenfairwayhomeloans.com, www.sandylends.com, www.trevorboothfairway.com;licensingcompliance@fairwaymc.com;866-912-4800
70004;company;Altus Receivables Management, Inc.;1001892;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1001892;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/louisiana/70004/COMPANY/COMPANY_1001892.html;processed;www.trustaltus.com;licensingandbonding@trustaltus.com;504-469-9545
70004;company;CreditOne LLC;1392042;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1392042;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/louisiana/70004/COMPANY/COMPANY_1392042.html;processed;NONE;admin@CreditOneLLC.com;8006634745
70009;company;SUN PREMIUM FINANCING, LLC;981922;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/981922;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/louisiana/70009/COMPANY/COMPANY_981922.html;processed;SUN PREMIUM.COM;aurora@sunpremium.com;504-834-9400
70010;company;FIRST FINANCIAL SERVICES INC;963480;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/963480;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/louisiana/70010/COMPANY/COMPANY_963480.html;processed;Not provided;FIRSTFINANCIALSERVICES1@YAHOO.COM;504-831-6933
70011;company;Rauch-Milliken International, Inc.;1199114;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1199114;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/louisiana/70011/COMPANY/COMPANY_1199114.html;processed;https://rauchmilliken.com/;aoconnell@rauchmilliken.com;866-322-7635
70006;company;BJ'S JEWELRY & LOAN OF METAIRIE, LLC;2043556;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2043556;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/louisiana/70006/COMPANY/COMPANY_2043556.html;processed;bjsjewelryandloan.com;bjsjewelryandloan@outlook.com;615-856-6260
70006;company;Nowicki Group, Inc;2151283;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2151283;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/louisiana/70006/COMPANY/COMPANY_2151283.html;processed;Not provided;scott@scottnowicki.com;504-304-0018
70006;company;RTR Financial Services, LLC;2584676;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2584676;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/louisiana/70006/COMPANY/COMPANY_2584676.html;processed;Not provided;invoice@builtbytag.com;504-913-7416
70006;company;Greater New Orleans Federal Credit Union;410584;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/410584;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/louisiana/70006/COMPANY/COMPANY_410584.html;processed;;wolfft@gnofcu.com;504-454-8157
