zipCode;type;name;nmls;url;website;email;phone;extractFile;status
20606;company;Amal USA Inc;1137115;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1137115;Not provided;liban.hersi@amalgroup.net;770-557-0637;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/maryland/20606/COMPANY/COMPANY_1137115.html;processed
20604;company;Community Bank of the Chesapeake;407947;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/407947;;clombardi@cbtc.com;240-427-1037;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/maryland/20604/COMPANY/COMPANY_407947.html;processed
20604;company;John Lund Keller d/b/a Keller & Keller;1679028;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1679028;kellerandkeller.net;jkeller4@comcast.net;301-645-5755;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/maryland/20604/COMPANY/COMPANY_1679028.html;processed
20612;company;Oaktree Funding Corp.;71640;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/71640;https://g1wins.com, www.g1investment.com, www.oaktreefunding.com;azoaktree@oaktreefunding.com;480-800-3820;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/maryland/20612/COMPANY/COMPANY_71640.html;processed
20614;company;TriStone Financial LLC;162059;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/162059;www.TriStoneFinancial.com;JGreenie@TriStoneFinancial.com;678-336-5060;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/maryland/20614/COMPANY/COMPANY_162059.html;processed
20610;company;Cleon F. Harrell;1245680;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1245680;alicia.rucker@colonybank.com;cobesav@windstream.net;912-384-3270;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/maryland/20610/COMPANY/COMPANY_1245680.html;processed
20610;company;Fairway Independent Mortgage Corporation;2289;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2289;62PLUSHOMEBUYER.COM, home.com, http://aaronvang.com/, http://applywithmichele.com/, http://beckystritt.com/, http://halvorsenhomeloans.com/, http://lorijasicki.com/, http://teamthaxton.net/, http://www.chicagolandmortgage.net/, http://www.danthelendingman.com/, http://www.fairwaylending.com/, http://www.homeloansatfairway.com/, http://www.indyfairway.com/, http://www.jackjonesloans.com/, http://www.jasonstone-loans.com/, http://www.joansergenian.com/, http://www.loansbyjason.com/, http://www.loansbyscott.com/, http://www.loansbytimray.com/, http://www.michaeljfacchini.com/, http://www.mikezillihomeloans.com/, http://www.teamthaxton.com/, http://www.yourwaymortgage.com/, https://www.fairwayfastmortgage.com/, www.bobfairway.com, www.donwatfairway.com, www.EastIdahoHomeLoans.com, www.fairway.com, www.fairwayeric.com, www.fairwayindependentmc.com, www.fairwaymadison.com, www.fairwaymc.com, www.fairwaymortgagecorp.com, www.fairwaynext.com, www.fairwaypoynette.com, www.fairwayreverse.com, www.homefinity.com, www.joanloans.com, www.kevinapproves.com, www.loansbyheather.com, www.loansbymarkk.com, www.loansbymikelenz.com, www.mariejonesteam.com, www.mattbrua.com, www.pullenfairwayhomeloans.com, www.sandylends.com, www.trevorboothfairway.com;licensingcompliance@fairwaymc.com;866-912-4800;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/maryland/20610/COMPANY/COMPANY_2289.html;processed
20602;company;Korner Liquors LLC;1676207;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1676207;Not provided;kornerliquors@gmail.com;301-843-1300;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/maryland/20602/COMPANY/COMPANY_1676207.html;processed
20602;company;Skeens Consulting Corporation;70452;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/70452;www.colonialmtg.com, www.colonialnetwork.com;loan@colonialnetwork.com;301-932-4610;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/maryland/20602/COMPANY/COMPANY_70452.html;processed
20602;company;Rocket Mortgage, LLC;3030;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3030;rocket.com/mortgage, www.rocketmortgage.com, www.ThatsMyMortgage.com;TariaMorris@rocketmortgage.com;313-373-4564;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/maryland/20602/COMPANY/COMPANY_3030.html;processed
20602;company;Swan Financial Corporation;2473;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2473;www.swanhelp.com;esexton@swanhelp.com;502-753-1340;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/maryland/20602/COMPANY/COMPANY_2473.html;processed
20616;company;Housing Authority of Mingo County;371800;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/371800;www.mingohousing.com;belindaharness@mingohousing.com;304-475-4663;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/maryland/20616/COMPANY/COMPANY_371800.html;processed
