zipCode;type;name;nmls;url;website;email;phone;extractFile;status
1005;company;Prescott, Cheryl A;1377;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1377;Not provided;prescott224@verizon.net;978-355-2573;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/massachusetts/01005/COMPANY/COMPANY_1377.html;processed
1007;company;Norwich Commercial Group, Inc.;71655;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/71655;http://www.norcommortgage.com, www.facebook.com/norcommortgage, www.militarydirectmortgage.com, www.norcom-usa.com, www.norcomdirect.com, www.norcompartners.com;michael.angotti@norcom-usa.com;860-676-8003;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/massachusetts/01007/COMPANY/COMPANY_71655.html;processed
1007;company;EGS Financial Care, Inc.;950415;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/950415;www.alorica.com;aloricalicensing@alorica.com;402-546-0533;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/massachusetts/01007/COMPANY/COMPANY_950415.html;processed
1007;company;USA Mortgage Network, Inc.;123701;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/123701;www.usa-mtg.com;Bela@usa-mtg.com;413-737-1100;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/massachusetts/01007/COMPANY/COMPANY_123701.html;processed
1012;company;family first mortgage group corporation;380186;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/380186;familyfirstgroup.com;maria@familyfirstgroup.com;617-590-2820;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/massachusetts/01012/COMPANY/COMPANY_380186.html;processed
1012;company;Genpact Services LLC;934264;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/934264;www.genpact.com;deidri.welch@genpact.com;214-885-4454;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/massachusetts/01012/COMPANY/COMPANY_934264.html;processed
1010;company;Advanced Call Center Technologies, LLC;3078;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3078;acttoday.com;licensing@cdventures.net;610-695-0500;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/massachusetts/01010/COMPANY/COMPANY_3078.html;processed
1010;company;Convergent Outsourcing, Inc.;930053;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/930053;www.convergentUSA.com;licensing@tsico.com;425-643-3111;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/massachusetts/01010/COMPANY/COMPANY_930053.html;processed
1010;company;Hunter Warfield, Inc.;988277;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/988277;https://payline.payhwi.com/;rstoltenborg@hunterwarfield.com;(813)283-4500;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/massachusetts/01010/COMPANY/COMPANY_988277.html;processed
1010;company;Transworld Systems Inc.;950422;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/950422;www.tsico.com;licensing@tsico.com;215-441-2283;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/massachusetts/01010/COMPANY/COMPANY_950422.html;processed
1014;company;Hunter Warfield Of New England Inc.;934269;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/934269;https://payline.payhwi.com/app/;rstoltenborg@hunterwarfield.com;8132834504;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/massachusetts/01014/COMPANY/COMPANY_934269.html;processed
