zipCode;type;name;nmls;url;website;email;phone;extractFile;status
48007;company;Bay Capital Mortgage Corporation;39610;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/39610;https://michaeldehautjr.com/, https://www.brianmhomeloans.com/, www.baycapitalmortgage.com;ldunn@baycapitalmortgage.com;410-974-6044;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/michigan/48007/COMPANY/COMPANY_39610.html;processed
48008;company;Prime Choice Funding Inc.;117375;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/117375;http://www.goprimechoice.com/, www.mypcf.com, www.pcfwholesale.com, www.primechoicefunding.com;licensing@primechoicefunding.com;714-263-1600;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/michigan/48008/COMPANY/COMPANY_117375.html;processed
48010;company;Change Lending, LLC;1839;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1839;www.changehomemtg.com, www.changemtg.com, www.changewholesale.com, www.commercehomemortgage.com;licensing@changemtg.com;949-868-6539;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/michigan/48010/COMPANY/COMPANY_1839.html;processed
48005;company;Georgia Residential Investment Group, Inc.;1404296;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1404296;Not provided;Reginald674@AOL.com;404-313-2729;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/michigan/48005/COMPANY/COMPANY_1404296.html;processed
48006;company;Branch-Hughes, Angela;1366481;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1366481;Not provided;AngieBranch-Hughes@angiebranch-hughes.com;818-266-2133;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/michigan/48006/COMPANY/COMPANY_1366481.html;processed
48006;company;Bayshore Mortgage Processing, LLC;1581344;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1581344;Not provided;rikkimurray@bayshoreprocessing.com;248-513-7884;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/michigan/48006/COMPANY/COMPANY_1581344.html;processed
48012;company;BESTRATE MORTGAGE, LLC;2322892;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2322892;https://www.bestrate.one/;MIKEMAIORANO@YAHOO.COM;248-310-5300;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/michigan/48012/COMPANY/COMPANY_2322892.html;processed
48012;company;YORK FINANCIAL, INC.;137633;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/137633;www.yorkloan.com;slafave@yorkloan.com;248-593-9900;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/michigan/48012/COMPANY/COMPANY_137633.html;processed
48021;company;First State Bank;462643;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/462643;;amatalavy@fsb.bank;586-445-4780;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/michigan/48021/COMPANY/COMPANY_462643.html;processed
48020;company;Midwest Mortgage Associates Corporation;1043976;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1043976;TLCHomeLoan.com, TLCLendorMo.com, www.midwestmortgageassociates.com, www.tlclender.com;delinefin@yahoo.com;877-266-4138;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/michigan/48020/COMPANY/COMPANY_1043976.html;processed
48023;company;Sunrise Homes Co. Inc.;858473;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/858473;Not provided;kcaseyl@aol.com;586-231-0616;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/michigan/48023/COMPANY/COMPANY_858473.html;processed
48017;company;Arcadia Financial Group LLC;1454769;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1454769;www.arcadialending.com;mikem@arcadialending.com;248-632-1025;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/michigan/48017/COMPANY/COMPANY_1454769.html;processed
48017;company;Greenside Capital LLC;2372297;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2372297;greensidecp.com;nick@greensidecp.com;2487628724;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/michigan/48017/COMPANY/COMPANY_2372297.html;processed
48017;company;Mortgage One Funding LLC;2261660;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2261660;mortgageonefunding.com;jasonj@mortgageonefunding.com;800-954-3211;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/michigan/48017/COMPANY/COMPANY_2261660.html;processed
48017;company;Ross, Stuart & Dawson, Inc;1700963;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1700963;www.rsdcollects.com;lee@rsdcollects.com;248-370-8160;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/michigan/48017/COMPANY/COMPANY_1700963.html;processed
48017;company;Premier Mortgage Processing LLC;1981798;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1981798;https://premiermtgprocessing.com/;katie@premiermtgprocessing.com;248-379-0702;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/michigan/48017/COMPANY/COMPANY_1981798.html;processed
48017;company;T and I Credit Union;809624;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/809624;;jamie@ticreditunion.org;248-588-6688;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/michigan/48017/COMPANY/COMPANY_809624.html;processed
48017;company;Sage Home Loans Corporation;3304;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3304;www.sagehomeloans.com;hello@sagehomeloans.com;888-860-2004;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/michigan/48017/COMPANY/COMPANY_3304.html;processed
48026;company;Live Life Federal Credit Union;1042859;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1042859;;Info@LiveLifeFCU.org;586-268-3720;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/michigan/48026/COMPANY/COMPANY_1042859.html;processed
