zipCode;type;name;nmls;url;website;email;phone;extractFile;status
55001;company;Payment Alliance International, Inc.;1615502;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1615502;www.gopai.com;Meagan.mcmillan@gopai.com;502-212-4000x4098;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/minnesota/55001/COMPANY/COMPANY_1615502.html;processed
55003;company;First State Bank and Trust;776731;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/776731;;ecrowder@fsbt.com;651-439-5195;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/minnesota/55003/COMPANY/COMPANY_776731.html;processed
55006;company;Hazelwood Corporation;1534083;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1534083;Not provided;hazelwoodleagues@msn.com;218-927-2536;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/minnesota/55006/COMPANY/COMPANY_1534083.html;processed
55010;company;Castle Rock Bank;789545;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/789545;;crbank@castlerockbank.net;651-463-7590;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/minnesota/55010/COMPANY/COMPANY_789545.html;processed
55009;company;Infosys BPO Americas, LLC;1584380;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1584380;www.infosysbpm.com/iba;mortgagesupportiba@infosys.com;770-690-1500;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/minnesota/55009/COMPANY/COMPANY_1584380.html;processed
55009;company;First Farmers & Merchants Bank;431405;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/431405;;Not provided;507-263-3030;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/minnesota/55009/COMPANY/COMPANY_431405.html;processed
55009;company;Mobilemoney, Inc;1548441;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1548441;www.mobilemoney.net;cheryl@mobilemoney.net;949-498-0059x211;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/minnesota/55009/COMPANY/COMPANY_1548441.html;processed
55012;company;Rod's Country Corner Inc.;2094870;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2094870;rodscountrycorner.com;markrod@frontiernet.net;651-583-2295;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/minnesota/55012/COMPANY/COMPANY_2094870.html;processed
55013;company;CASH DEPOT, LTD.;1545075;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1545075;cdlatm.com;rhondab@srlcd.com;920-432-5777;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/minnesota/55013/COMPANY/COMPANY_1545075.html;processed
55013;company;CalCon Mutual Mortgage LLC;46375;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/46375;www.calconmutualmortgage.com, www.joinonetrust.com, www.onetrusthomeloans.com, www.onetrustwholesale.com, www.partnerhomeloans.com, www.savihl.com, www.warpspeedmortgage.com;licensing@onetrusthomeloans.com;888-488-3807;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/minnesota/55013/COMPANY/COMPANY_46375.html;processed
55011;company;Fast Track Processing L.L.C.;2255992;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2255992;Not provided;fasttrackllc21@gmail.com;612-718-4387;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/minnesota/55011/COMPANY/COMPANY_2255992.html;processed
55011;company;MLP Home Mortgage Inc;1540470;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1540470;WWW.MLPHOMEMORTGAGE.COM;tkuester31@gmail.com;651-246-9944;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/minnesota/55011/COMPANY/COMPANY_1540470.html;processed
55011;company;Chartwell Financial, LLC;205527;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/205527;www.continentalcommunities.com;CRichter@chartwellfinancial.net;630-645-8100x235;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/minnesota/55011/COMPANY/COMPANY_205527.html;processed
