zipCode;type;name;nmls;url;website;email;phone;extractFile;status
63006;company;Account Resolution Corporation;1188076;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1188076;www.arc1.biz, www.arcpay.biz;jhill@arc1.biz;636-733-3346;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/missouri/63006/COMPANY/COMPANY_1188076.html;processed
63012;company;West Ridge Financial Corp;267440;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/267440;www.westridgefinancial.com;mike@westridgefinancial.com;801-971-3956;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/missouri/63012/COMPANY/COMPANY_267440.html;processed
63019;company;Wright Financial Inc.;1215682;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1215682;http://www.wrightfinancialfestusmo.com/, http://www.wrighthomeloan.com/, www.wrightfinancialinc.com;rex@wrightfinancialinc.com;636-931-2121;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/missouri/63019/COMPANY/COMPANY_1215682.html;processed
63019;company;Encompass Lending Group, LP.;292897;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/292897;www.cornerstonefirst.com, www.encompasslending.com;compliance@encompasslending.com;281-693-5363;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/missouri/63019/COMPANY/COMPANY_292897.html;processed
63019;company;Guaranteed Rate, Inc.;2611;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2611;https://jenniferbeeston.com/, https://locklearlendingteam.com, https://workshopmortgage.com/team.html, https://www.citywidehm.com/, https://www.hhlnorthwest.com/, https://www.marcdemetriou.com/, https://www.onqhomeloans.com/, www.certaintyhomelending.com, www.guaranteedrate.com, www.owning.com, www.rate.com;sam.wolling@rate.com;773-897-6587;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/missouri/63019/COMPANY/COMPANY_2611.html;processed
63010;company;FAMILY FINANCE MORTGAGE LLC;1185045;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1185045;www.familyfinancemortgage.com;BDRURY21@YAHOO.COM;636-282-4900;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/missouri/63010/COMPANY/COMPANY_1185045.html;processed
63010;company;Arsenal Credit Union;401926;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/401926;;mledbetter@arsenalcu.org;314-919-1009;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/missouri/63010/COMPANY/COMPANY_401926.html;processed
63010;company;FORTUNEBANK;431468;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/431468;;kpurcell-beard@fortunefincorp.com;877-367-8861;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/missouri/63010/COMPANY/COMPANY_431468.html;processed
63010;company;Rocket Mortgage, LLC;3030;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3030;rocket.com/mortgage, www.rocketmortgage.com, www.ThatsMyMortgage.com;TariaMorris@rocketmortgage.com;313-373-4564;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/missouri/63010/COMPANY/COMPANY_3030.html;processed
63010;company;DAS Acquisition Company, LLC;227262;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/227262;www.usa-mortgage.com;lpring@usa-mortgage.com;314-628-2000;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/missouri/63010/COMPANY/COMPANY_227262.html;processed
63010;company;Geneva Financial, LLC;42056;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/42056;www.genevaFI.com;telle@genevafi.com;888-889-0009;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/missouri/63010/COMPANY/COMPANY_42056.html;processed
63020;company;Tower Loan of Missouri, LLC;1210910;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1210910;www.towerloan.com;ekimes@towerloan.com;601-992-0153;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/missouri/63020/COMPANY/COMPANY_1210910.html;processed
63022;company;Capital Southwest Corporation;2357295;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2357295;www.capitalsouthwest.com;crehberger@capitalsouthwest.com;214-884-3821;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/missouri/63022/COMPANY/COMPANY_2357295.html;processed
63011;company;A A  MORTGAGE  CORP.;1217858;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1217858;www.aamortg.com;Frank@aamortg.com;636-207-6566;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/missouri/63011/COMPANY/COMPANY_1217858.html;processed
63011;company;Crown Holdings, LLC;2102070;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2102070;www.dayknight.com;kevin@dayknight.com;636-405-1000;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/missouri/63011/COMPANY/COMPANY_2102070.html;processed
63011;company;Hammer Mortgage LLC;1900143;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1900143;https://hammermortgage.brokeroriginationsolution.com/, https://prod.lendingpad.com/hammer-mortgage-llc/pos#/, None, www.mymortgagehammer.com;hammermtg1@gmail.com;314-662-3166;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/missouri/63011/COMPANY/COMPANY_1900143.html;processed
63011;company;Personal Touch Processing LLC;2191711;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2191711;Not provided;MIKEPTPCTC@GMAIL.COM;314-662-3166;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/missouri/63011/COMPANY/COMPANY_2191711.html;processed
63011;company;RiverStone Lending LLC;2557717;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2557717;Not provided;riverstonelending@gmail.com;314-775-1026;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/missouri/63011/COMPANY/COMPANY_2557717.html;processed
63011;company;Show Me Home Mortgage LLC;2128537;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2128537;shome.mortgage, showme.mortgage, showmehomemortgage.com;bturner@shome.mortgage;636-277-9785;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/missouri/63011/COMPANY/COMPANY_2128537.html;processed
