zipCode;type;name;nmls;url;website;email;phone;extractFile;status
59014;company;Mortgage Research Center, LLC;1907;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1907;aliceatvu.com, ChadBowman.com, coloradospringsvu.com, coloradovalender.com, fortcarsonvaloans.com, ftcarsonvaloans.com, https://hawaii.veteransunited.com, mortgageresearch.com, Paddio.com, veteransunitedcolorado.com, vualiceschneider.com, VUMartinSchneider.com, vumichaelschneider.com, www.mortgageresearchcenter.org, www.VAMortgageCenter.com, www.veteranloancenter.com, www.VeteransUnited.com, www.VeteransUnitedHawaii.com, www.vu.com;licensecommunication@veteransunited.com;573-876-2600x5181;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/montana/59014/COMPANY/COMPANY_1907.html;processed
59014;company;Bank of Bridger, National Association;409700;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/409700;;kholzer@bankofbridger.com;406-662-3388;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/montana/59014/COMPANY/COMPANY_409700.html;processed
59001;company;Servis One, Inc.;38078;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/38078;www.bsifinancial.com;jbalmer@bsifinancial.com;972-746-2037;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/montana/59001/COMPANY/COMPANY_38078.html;processed
59011;company;Citizens Bank and Trust Company;561205;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/561205;;dbueclavarino@ctznsbank.com;406-932-5311;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/montana/59011/COMPANY/COMPANY_561205.html;processed
59019;company;Hypotec Inc.;331734;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/331734;www.hypotec.com;licensing@HYPOTEC.COM;844-497-6832;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/montana/59019/COMPANY/COMPANY_331734.html;processed
59039;company;ACM CRE Fund I, LP;2274546;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2274546;Not provided;crefund@amherstcapital.com;512-342-3043;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/montana/59039/COMPANY/COMPANY_2274546.html;processed
59041;company;ACM CRE Fund I-L, LP;2274600;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2274600;Not provided;crefund@amherstcapital.com;512-342-3043;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/montana/59041/COMPANY/COMPANY_2274600.html;processed
59034;company;Little Horn State Bank;403407;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/403407;;dgreen@littlehornstatebank.com;406-665-2332;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/montana/59034/COMPANY/COMPANY_403407.html;processed
59037;company;Homeward Mortgage LLC;1911059;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1911059;www.homewardmortgage.com;tim@homeward.com;512-956-5087;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/montana/59037/COMPANY/COMPANY_1911059.html;processed
59046;company;Mortgage Equity Partners LLC;1936;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1936;AdamsHomeLoan.com, Andrewshomeloan.com, DMOREY.COM, https://www.cmortgroup.com/, JesseKenner.com, JonathanSalinger.com, KeithMurrayLoans.com, kevinkuechler.com, keyfocusmortgage.com, leethurston.com, meploans.com, www.getagreathomeloan.com, www.melissamortgagemaster.com, www.mortgageequitypartners.com, www.realjohnnyamortgages.com/, www.ryanaceto.com;sriley@meploans.com;781-309-1800;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/montana/59046/COMPANY/COMPANY_1936.html;processed
