zipCode;type;name;nmls;url;website;email;phone;extractFile;status
68004;company;Bakkt Crypto Solutions, LLC;1890144;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1890144;www.bakkt.com;Compliance@bakkt.com;678-534-5849;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/68004/COMPANY/COMPANY_1890144.html;processed
68004;company;FIRST BANK OF BANCROFT;453951;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/453951;;fnbbcrft@gpcom.net;402-648-3361;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/68004/COMPANY/COMPANY_453951.html;processed
57078;company;First Dakota National Bank;410144;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/410144;;firstdakota@firstdakota.com;605-665-7432;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/57078/COMPANY/COMPANY_410144.html;processed
57078;company;Explorers Credit Union;408529;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/408529;;loans@explorerscu.com;605-665-4309;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/57078/COMPANY/COMPANY_408529.html;processed
57078;company;Rocket Mortgage, LLC;3030;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3030;rocket.com/mortgage, www.rocketmortgage.com, www.ThatsMyMortgage.com;TariaMorris@rocketmortgage.com;313-373-4564;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/57078/COMPANY/COMPANY_3030.html;processed
68005;company;MM Finance of Iowa, LLC;1814099;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1814099;Not provided;greg@getezmoney.com;402-291-1175;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/68005/COMPANY/COMPANY_1814099.html;processed
68005;company;Wells Fargo Clearing Services, LLC;2234;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2234;www.wellsfargoadvisors.com;chris.ragsdale@wellsfargoadvisors.com;314-875-3294;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/68005/COMPANY/COMPANY_2234.html;processed
68009;company;Atlanta Mortgage Advisors LLC;1863962;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1863962;www.AtlMortgageAdvisors.com;joe@joetrovato.com;404-375-0779;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/68009/COMPANY/COMPANY_1863962.html;processed
68003;company;Farmers & Merchants Bank of Ashland;677598;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/677598;N/A;lexi@fmnb.com;402-944-3316;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/68003/COMPANY/COMPANY_677598.html;processed
68007;company;Leatherneck Mortgage LLC;2612120;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2612120;Not provided;vance@leatherneckmortgage.com;830-822-3276;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/68007/COMPANY/COMPANY_2612120.html;processed
68007;company;I3 BANK;751184;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/751184;;dbeck@i3.BANK;402-238-2245;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/68007/COMPANY/COMPANY_751184.html;processed
68007;company;Hamm & Associates, Inc.;2455196;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2455196;www.railtrustmortgage.com;matt@railtrustmortgage.com;888-255-1929;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/68007/COMPANY/COMPANY_2455196.html;processed
68007;company;NFM, Inc.;2893;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2893;aaronninness.com, https://anutterhomeloan.com/, https://elementhl.com/, https://thatmortgageguy.squarespace.com/, https://thecowartteam.com/, https://themortgageplanner.com/, https://www.1stxhomebuyer.com/, https://www.aimforhomeownership.com/, https://www.helpingyouhomeloans.com/, https://www.trustedhomeloanshi.com/, https://www.winthehouseyoulove.com/, www.bluprinthomeloans.com, www.deannellis.com, www.GregCowart.com, www.mainstreethl.com, www.mortgagemattid.com, www.mybploan.com, www.nfmbranch.com, www.nfmlending.com, www.nfmlending.com/AZ327, www.nfmlending.org, www.nfmmedia.net, www.nfmsalute.com, www.TeamPetros.com, www.threeeasysteps.me;licensing@nfmlending.com;888-233-0092;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/68007/COMPANY/COMPANY_2893.html;processed
68008;company;Blair Abstract & Title Company;1897045;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1897045;www.blairtitle.com;jen.camden@blairtitle.com;402-426-4844;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/68008/COMPANY/COMPANY_1897045.html;processed
68008;company;Two Rivers State Bank;477268;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/477268;;carols@2riversbank.com;402-426-9500;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/68008/COMPANY/COMPANY_477268.html;processed
68008;company;Washington County Bank;623796;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/623796;;lauritzenhr@fnni.com;402-426-2111;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/68008/COMPANY/COMPANY_623796.html;processed
68008;company;Castle & Cooke Mortgage, LLC;1251;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1251;www.castlecookemortgage.com;sbateman@castlecookemortgage.com;(801) 461-7100;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/68008/COMPANY/COMPANY_1251.html;processed
68010;company;Reddix Lending, Inc.;1897233;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1897233;www.Reddix.com;Ramesh@Reddix.com;678-982-5858;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/68010/COMPANY/COMPANY_1897233.html;processed
68010;company;FAIER LAW, P.C., L.L.O.;2613147;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2613147;www.faierlaw.com;AFAIER@FAIERLAW.COM;402-281-3225;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/68010/COMPANY/COMPANY_2613147.html;processed
68017;company;CerescoBank;541691;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/541691;;alex@cerescobank.com;402-665-3431;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/68017/COMPANY/COMPANY_541691.html;processed
68026;company;Credit Bureau Services, Inc.;2298372;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2298372;www.creditpartners.com;dkw@acbsco.com;402-721-2107;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/68026/COMPANY/COMPANY_2298372.html;processed
68018;company;COMMUNITY STATE BANK;2094775;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2094775;N/A;jwegner@csb-banking.com;402-628-2155;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/68018/COMPANY/COMPANY_2094775.html;processed
68028;company;Prestige Services, Inc.;2288183;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2288183;psicollect.com;jbaird@psicollect.com;402-493-4700;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/68028/COMPANY/COMPANY_2288183.html;processed
68028;company;Cardinal Financial Company, Limited Partnership;66247;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/66247;cf.loans, https://primoloans.com, online.cardinalfinancial.com, www.cardinalfinancial.com, www.peopleshomeequity.com, www.sebonic.com;compliance@cardinalfinancial.com;855-561-4944;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/68028/COMPANY/COMPANY_66247.html;processed
68025;company;Velocity Title and Escrow Inc.;2329175;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2329175;www.velocitynational.com;ivan@velocitynational.com;402-850-3733;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/68025/COMPANY/COMPANY_2329175.html;processed
68025;company;RVR Bank;402392;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/402392;;kpafford@RVR.bank;402-721-2500;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/68025/COMPANY/COMPANY_402392.html;processed
68025;company;TIC Mortgage LLC;2581921;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2581921;www.ticmortgagelending.com;ivan@tic-mortgage.com;402-512-9607;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/68025/COMPANY/COMPANY_2581921.html;processed
68033;company;Honest Mortgage, Inc.;2103339;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2103339;www.HonestMortgageIA.com, www.HonestMortgageNE.com, www.HonestMortgageVA.com;josh@jfbcar.com;531-466-7010;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/68033/COMPANY/COMPANY_2103339.html;processed
68035;company;HouseSavvy Mortgage Services, LLC;1860;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1860;www.housesavvymortgage.com;tbenoit@housesavvymortgage.com;888-783-4440;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/68035/COMPANY/COMPANY_1860.html;processed
68039;company;MS DD Corp;1899383;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1899383;Not provided;msddcorp@gmail.com;770-929-8797;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/68039/COMPANY/COMPANY_1899383.html;processed
68041;company;Bank of Mead;401622;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/401622;;info@bankofmead.com;402-624-2255;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/68041/COMPANY/COMPANY_401622.html;processed
68038;company;DELTAONE LLC;1894934;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1894934;Not provided;KARIMKKAZI@GMAIL.COM;7702631997;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/68038/COMPANY/COMPANY_1894934.html;processed
68038;company;First Northeast Bank of Nebraska;555598;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/555598;;Hegge@fnb-ne.com;402-687-2640;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/68038/COMPANY/COMPANY_555598.html;processed
68022;company;ACI Payments, Inc.;936777;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/936777;www.officialpayments.com;laquanda.augustus@aciworldwide.com;3345213655;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/68022/COMPANY/COMPANY_936777.html;processed
68022;company;Pre-Approved Mortgage LLC;1952758;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1952758;www.mrcharlesmortgage.com, www.pre-approvedmortgage.com;drew@pre-approvedmortgage.com;866-505-0973;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/68022/COMPANY/COMPANY_1952758.html;processed
68022;company;AMERICAN INTERSTATE BANK;438246;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/438246;;aibservice@americaninterstatebank.com;402-289-2551;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/68022/COMPANY/COMPANY_438246.html;processed
68022;company;United Republic Bank;442963;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/442963;;swright@unitedrepublicbank.com;402-916-1404;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nebraska/68022/COMPANY/COMPANY_442963.html;processed
