zipCode;type;name;nmls;url;website;email;phone;fax;extractFile;status
88912;company;Paramount Residential Mortgage Group, Inc.;75243;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/75243;www.prmg.net;licensing@prmg.net;951-278-0000;;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nevada/88912/COMPANY/COMPANY_75243.html;processed
88948;company;Pro Loan Processing, LLC;1735041;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1735041;www.proloanprocessing.com;admin@proloanprocessing.com;818-470-2005;;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nevada/88948/COMPANY/COMPANY_1735041.html;processed
88953;company;Jet Direct Funding Corp.;3542;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3542;https://mortgagelendernewyork.com, www.jetdirectfunding.com, www.jetdirectmortgage.com, www.srnreverse.com;mark@jetdirectmortgage.com;631-574-1306;;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nevada/88953/COMPANY/COMPANY_3542.html;processed
88947;company;American Prime Lending, Inc.;1459496;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1459496;www.americanprimelending.com;aplcorp@aprimelending.com;800-852-9608;;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nevada/88947/COMPANY/COMPANY_1459496.html;processed
88995;company;AB PRIVATE CREDIT INVESTORS MIDDLE MARKET DIRECT LENDING FUND II, L.P.;2294311;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2294311;https://www.alliancebernstein.com/corporate/en/home.html;Neal.Kalechofsky@AllianceBernstein.com;629-213-5425;;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nevada/88995/COMPANY/COMPANY_2294311.html;processed
88993;company;ABC MAX, INC.;2266392;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2266392;Not provided;INFO@ABCMAXINC.COM;626-469-5678;;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nevada/88993/COMPANY/COMPANY_2266392.html;processed
89001;company;Pahranagat Valley Federal Credit Union;807201;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/807201;;pvfcu@lcturbonet.com;775-725-3586;;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nevada/89001/COMPANY/COMPANY_807201.html;processed
89001;company;New American Funding, LLC;6606;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/6606;newamericanfundingheloc.com, www.newamericanfunding.com;NAFHelp.Licensing@nafinc.com;800-450-2010;;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nevada/89001/COMPANY/COMPANY_6606.html;processed
89006;company;Boulder Dam Credit Union;372241;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/372241;boulderdamcu.org;kjohnson@boulderdamcu.org;702-998-9281;;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nevada/89006/COMPANY/COMPANY_372241.html;processed
89004;company;Wells Fargo Clearing Services, LLC;2234;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2234;www.wellsfargoadvisors.com;chris.ragsdale@wellsfargoadvisors.com;314-875-3294;;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nevada/89004/COMPANY/COMPANY_2234.html;processed
89002;company;Primary Residential Mortgage, Inc.;3094;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3094;Bobbiedyer.com, bulldoghomeloans.com, dashhomeloans.com, Dyermortgagegroup.com, Dyermtg.com, ernieshomeloans.com, lowtility.com, mavenhomeloan.com, primeres.com, primeres.com/boise, primeres.com/emenchaca, primeres.com/meridian, primeres.com/rgresham, primeres.com/rich.johnson, primeres.com/wtischler, primeresnw.com, PRMI, prmihome.com, prmisolar.com, ralphgresham.com, www.primaryresidentialmortgage.com;csummers@primeres.com;800-255-2792x1000190;;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nevada/89002/COMPANY/COMPANY_3094.html;processed
89008;company;Nevada Bank and Trust Company;431515;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/431515;;kbath@nevadabankandtrust.com;775-726-3487;;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nevada/89008/COMPANY/COMPANY_431515.html;processed
89005;company;Darla Wing LLC;1931350;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1931350;Not provided;darla@wingprocessing.com;702-236-1980;;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nevada/89005/COMPANY/COMPANY_1931350.html;processed
89017;company;New Wave Lending Group Inc;1649874;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1649874;www.newwavelending.com;admin@newwavelending.com;626-820-9081;;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nevada/89017/COMPANY/COMPANY_1649874.html;processed
89011;company;LBC Mundial Nevada Corporation;2327864;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2327864;www.lbcexpress.com;Fely@lbcusa.net;650-873-0750x7002;;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nevada/89011/COMPANY/COMPANY_2327864.html;processed
89011;company;Homeward Mortgage LLC;1911059;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1911059;www.homewardmortgage.com;tim@homeward.com;512-956-5087;;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nevada/89011/COMPANY/COMPANY_1911059.html;processed
89011;company;Rocket Mortgage, LLC;3030;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3030;rocket.com/mortgage, www.rocketmortgage.com, www.ThatsMyMortgage.com;TariaMorris@rocketmortgage.com;313-373-4564;;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nevada/89011/COMPANY/COMPANY_3030.html;processed
89011;company;Nevada Title and Payday Loans, Inc.;2505874;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2505874;www.nevadatitleandpaydayloansinc.com;bbridges@clacorp.com;770-325-4257;;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nevada/89011/COMPANY/COMPANY_2505874.html;processed
89020;company;RUBY STORE MARKET INC.;2483971;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2483971;Not provided;garciaali65@gmail.com;775-372-1118;;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nevada/89020/COMPANY/COMPANY_2483971.html;processed
89021;company;Moapa Valley Mortgage LLC;1613178;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1613178;Not provided;angie@moapavalleymortgage.com;702-755-3322;;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nevada/89021/COMPANY/COMPANY_1613178.html;processed
89015;company;Assured Financial, Inc.;1793040;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1793040;www.assurednv.com;info@assurednv.com;702-868-0900;;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/nevada/89015/COMPANY/COMPANY_1793040.html;processed
