zipCode;type;name;nmls;url;website;email;phone;extractFile;status
3032;company;CGI Payroll, LLC;2560055;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2560055;https://cgibusinesssolutions.com/;dlanglois@cgipayrollservices.com;603-232-9331;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_hampshire/03032/COMPANY/COMPANY_2560055.html;processed
3032;company;WHOLESALERS UNLIMITED LLC;2266649;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2266649;www.nhcarshop.com;mim3467@aol.com;603-661-2451;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_hampshire/03032/COMPANY/COMPANY_2266649.html;processed
3044;company;Birch Tree Business Solutions LLC;2558897;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2558897;www.birchtreebusinesssolutions.com;noah@birchtreebusinesssolutions.com;603-280-4179;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_hampshire/03044/COMPANY/COMPANY_2558897.html;processed
3044;company;Glen's Auto Sales LLC;2256507;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2256507;www.glensauto.com;bjk0971@aol.com;603-895-6000;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_hampshire/03044/COMPANY/COMPANY_2256507.html;processed
3044;company;Granite State Management & Resources;1585615;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1585615;gsmr.org;statelicensing@gsmr.org;603-227-5469;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_hampshire/03044/COMPANY/COMPANY_1585615.html;processed
3049;company;LENDWISE HOME LOANS LLC;1976545;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1976545;www.lendwisehomeloans.com;steve@lendwisehomeloans.com;603-315-5613;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_hampshire/03049/COMPANY/COMPANY_1976545.html;processed
3049;company;Residential Mortgage Services, Inc.;1760;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1760;www.rmsmortgage.com;compliance@guildmortgage.net;858-560-6330;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_hampshire/03049/COMPANY/COMPANY_1760.html;processed
3049;company;Guild Mortgage Company LLC;3274;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3274;www.guildcorrespondent.com, www.guildmortgage.com;compliance@guildmortgage.net;858-560-6330;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_hampshire/03049/COMPANY/COMPANY_3274.html;processed
3031;company;Champion motors llc;2441744;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2441744;Not provided;salasj20@yahoo.com;6032330670;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_hampshire/03031/COMPANY/COMPANY_2441744.html;processed
3031;company;ElectroMedical Associates Inc.;950971;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/950971;www.ema-incorp.com;mdaly@ema-incorp.com;603-883-0866;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_hampshire/03031/COMPANY/COMPANY_950971.html;processed
3031;company;Jake Kaplans of Amherst Inc;2344622;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2344622;milfordsubaru.com;hwhite@jmilfordsubaru.com;603-673-0510x101;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_hampshire/03031/COMPANY/COMPANY_2344622.html;processed
