zipCode;type;name;nmls;url;extractFile;status;website;email;phone
7001;company;Ruma Financial Corp.;322578;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/322578;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_jersey/07001/COMPANY/COMPANY_322578.html;processed;www.lionmtg.com;shali@lionmtg.com;732-750-0430
7005;company;Guaranteed Rate, Inc.;2611;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2611;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_jersey/07005/COMPANY/COMPANY_2611.html;processed;https://jenniferbeeston.com/, https://locklearlendingteam.com, https://workshopmortgage.com/team.html, https://www.citywidehm.com/, https://www.hhlnorthwest.com/, https://www.marcdemetriou.com/, https://www.onqhomeloans.com/, www.certaintyhomelending.com, www.guaranteedrate.com, www.owning.com, www.rate.com;sam.wolling@rate.com;773-897-6587
7005;company;MLB Residential Lending, LLC;1101220;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1101220;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_jersey/07005/COMPANY/COMPANY_1101220.html;processed;https://mlbmortgage.mymortgage-online.com/, www.mlbmortgage.com, www.mlbwholesale.com;flamparello@mlbmortgage.com;732-243-0140
7008;company;Bednar, Inc;70133;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/70133;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_jersey/07008/COMPANY/COMPANY_70133.html;processed;atlanticfinancialservices.net, www.atlanticloans.com;jillq@atlanticloans.com;732-969-9300
7008;company;Mid-State Federal Credit Union;1894115;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1894115;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_jersey/07008/COMPANY/COMPANY_1894115.html;processed;;tracystv@aol.com;732-541-4151
7008;company;United Roosevelt Savings Bank;786209;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/786209;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_jersey/07008/COMPANY/COMPANY_786209.html;processed;;dvansteyn@ursbank.com;732-541-5445 ext 214
7009;company;Private Lending Services, L.L.C.;1671676;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1671676;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_jersey/07009/COMPANY/COMPANY_1671676.html;processed;https://plsmtg.com/;dbucci@plsmtg.com;973-487-8269
7006;company;Caputo Financial LLC;1689892;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1689892;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_jersey/07006/COMPANY/COMPANY_1689892.html;processed;Not provided;david@caputomortgage.com;973-476-4882
7006;company;Soho Mortgage Advisors LLC;2420030;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2420030;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_jersey/07006/COMPANY/COMPANY_2420030.html;processed;Not provided;rfdistefano91@gmail.com;201-953-5756
7006;company;Ascendum Solutions LLC;1391022;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1391022;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_jersey/07006/COMPANY/COMPANY_1391022.html;processed;www.ascendum.com;info@ascendum.com;513-577-7454
7006;company;Mortgage Access Corp.;2731;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2731;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_jersey/07006/COMPANY/COMPANY_2731.html;processed;www.mortgageaccess.com, www.weichert.com, www.weichertfinancial.com, www.weichertfinancialservices.com;wmetalsky@weichertfinancial.com;973-401-5553
7006;company;Union Home Mortgage Corp.;2229;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2229;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_jersey/07006/COMPANY/COMPANY_2229.html;processed;www.uhm.com, www.uhwholesale.com, www.unionhomemortgage.com, www.unionnationalmortgage.com, www.vloan.com/;licensing@uhm.com;440-234-4300 x111
7006;company;HarborOne Mortgage, LLC;2561;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2561;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_jersey/07006/COMPANY/COMPANY_2561.html;processed;www.harboronemortgage.com;jswanson@harborone.com;603-625-1498
7003;company;Aceltis Financial Group, Inc.;185912;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/185912;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_jersey/07003/COMPANY/COMPANY_185912.html;processed;www.aceltisgroup.com;acasale@aceltisgroup.com;973-227-8816
7003;company;Appraisers First Inc;2624407;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2624407;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_jersey/07003/COMPANY/COMPANY_2624407.html;processed;https://www.appraisersfirstamc.com;info@appraisersfirstamc.com;973-566-0024
7003;company;Cornerstone Financing LLC;2557707;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2557707;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_jersey/07003/COMPANY/COMPANY_2557707.html;processed;Not provided;kpanycia@cornerstonefinancing.com;518-719-9548
7003;company;Reverse Mortgage Funding LLC;1019941;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1019941;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_jersey/07003/COMPANY/COMPANY_1019941.html;processed;www.Refinance4Retirement.com, www.reversefacts.com, www.reversefunding.com;govcompliance@reversefunding.com;877-485-1359
7003;company;Essex County Teachers Federal credit Union;776897;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/776897;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_jersey/07003/COMPANY/COMPANY_776897.html;processed;;ceo@ectcu.org;973-748-8847
7003;company;Xcel Federal Credit Union;474542;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/474542;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_jersey/07003/COMPANY/COMPANY_474542.html;processed;;Lending@XCELfcu.org;973-275-9235
7003;company;ACELAND MORTGAGE LLC;1896199;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1896199;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_jersey/07003/COMPANY/COMPANY_1896199.html;processed;www.aceland.loanzify.io/register, www.acelandmortgage.com;bhalick@acelandmortgage.com;800-254-3150
7003;company;Absolute Home Mortgage Corporation;176743;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/176743;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_jersey/07003/COMPANY/COMPANY_176743.html;processed;www.absolutebrokers.com, www.ahmcloans.com, www.crownhm.com;licensing@ahmcloans.com;973-237-9002
7002;company;BCB Community Bank;761971;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/761971;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_jersey/07002/COMPANY/COMPANY_761971.html;processed;;mschutte@bankwithbcb.com;201-823-0700
7002;company;abramo costa llc;2356264;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2356264;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_jersey/07002/COMPANY/COMPANY_2356264.html;processed;Not provided;dominick.abramo.yixf@statefarm.com;973-509-0360
7002;company;First Alliance Home Mortgage, LLC;5034;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/5034;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_jersey/07002/COMPANY/COMPANY_5034.html;processed;firstalliancehomemortgage.com, www.fahmloans.com;sam@fahmloans.com;732-582-3338
