zipCode;type;name;nmls;url;website;email;phone;extractFile;status
86515;company;Wells Fargo Clearing Services, LLC;2234;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2234;www.wellsfargoadvisors.com;chris.ragsdale@wellsfargoadvisors.com;314-875-3294;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_mexico/86515/COMPANY/COMPANY_2234.html;processed
87015;company;Rocket Mortgage, LLC;3030;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3030;rocket.com/mortgage, www.rocketmortgage.com, www.ThatsMyMortgage.com;TariaMorris@rocketmortgage.com;313-373-4564;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_mexico/87015/COMPANY/COMPANY_3030.html;processed
87013;company;cuba credit union;803633;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/803633;N/A;rjacquez@cubacreditunion.org;575-289-3763;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_mexico/87013/COMPANY/COMPANY_803633.html;processed
87002;company;BELEN RAILWAY EMPLOYEES CREDIT UNION;798355;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/798355;N/A;info@recu.org;505-864-4740;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_mexico/87002/COMPANY/COMPANY_798355.html;processed
87002;company;MyTime Mortgage Services, LLC;2166955;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2166955;www.mytimemortgage.com;lisaortega@mytimemortgage.com;505-363-0897;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_mexico/87002/COMPANY/COMPANY_2166955.html;processed
87002;company;LGI Mortgage Solutions, LLC;2152984;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2152984;lgimortgagesolutions.com;licensing@loanDepot.com;949-465-8323;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_mexico/87002/COMPANY/COMPANY_2152984.html;processed
87022;company;Tiwa Lending Services;2402244;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2402244;Not provided;sheila@tiwalending.org;505-916-0556;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_mexico/87022/COMPANY/COMPANY_2402244.html;processed
87025;company;Jemez Valley Credit Union;402470;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/402470;N/A;jvcuemployees@jvcu.org;575-829-3366;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_mexico/87025/COMPANY/COMPANY_402470.html;processed
87034;company;Golden Financial Solutions, LLC;2323970;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2323970;Not provided;david@goldenfinsolutions.com;215-888-4172;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_mexico/87034/COMPANY/COMPANY_2323970.html;processed
87039;company;CMG Mortgage, Inc.;1820;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1820;www.aioloan.com, www.cmgfi.com, www.cmghomeloans.com, www.homefundit.com;licensing@cmgfi.com;925-983-3000;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_mexico/87039/COMPANY/COMPANY_1820.html;processed
87026;company;Dash Funding Source LLC;2338188;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2338188;https://dashfundingsource.com/;info@dashfundingsource.com;818-455-6507;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_mexico/87026/COMPANY/COMPANY_2338188.html;processed
87026;company;Native Community Capital;1950947;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1950947;https://nativecap.org/;dave@nativecap.org;505-916-1511;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_mexico/87026/COMPANY/COMPANY_1950947.html;processed
87035;company;1 True Mortgage LLC;2455871;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2455871;www.1truemortgage.weebly.com;cclv400@aol.com;505-400-0888;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_mexico/87035/COMPANY/COMPANY_2455871.html;processed
87037;company;Forward Home Lending, LLC;1374724;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1374724;www.sagemortgage.com;hello@sagemortgage.com;877-219-6115;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_mexico/87037/COMPANY/COMPANY_1374724.html;processed
87042;company;Cowboy Finance LLC;1937256;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1937256;rjautonm@gmail.com;rjjige@aol.com;505-869-9309;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_mexico/87042/COMPANY/COMPANY_1937256.html;processed
87042;company;NATIONS LENDING CORPORATION;32416;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/32416;https://smartloanadvocate.com/, nationsapp.com, NationsBranch.com, NationsLending.com, NationsLendingCorp.com, NLCLoans.com, www.easttexaslending.com;nlclicensemgt@nlcloans.com;440-809-8740;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_mexico/87042/COMPANY/COMPANY_32416.html;processed
87031;company;Cambio Express, LLC;2654495;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2654495;Not provided;bermudes_3@msn.com;505-550-1118;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_mexico/87031/COMPANY/COMPANY_2654495.html;processed
87031;company;Hope Processing LLC;2000845;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2000845;Not provided;cytory@msn.com;505-459-9733;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_mexico/87031/COMPANY/COMPANY_2000845.html;processed
87031;company;RPM Lending Solutions LLC;203333;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/203333;www.rpm-lending.com;victor@rpm-lending.com;505-363-5616;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_mexico/87031/COMPANY/COMPANY_203333.html;processed
87031;company;X Factor TT and R, LLC;2086440;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2086440;Not provided;xftrans@gmail.com;505-916-1306;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_mexico/87031/COMPANY/COMPANY_2086440.html;processed
87031;company;Waterstone Mortgage Corporation;186434;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/186434;www.waterstonemortgage.com;sziebell@waterstonemortgage.com;262-701-4994;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_mexico/87031/COMPANY/COMPANY_186434.html;processed
87031;company;CMG Mortgage, Inc.;1820;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1820;www.aioloan.com, www.cmgfi.com, www.cmghomeloans.com, www.homefundit.com;licensing@cmgfi.com;925-983-3000;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_mexico/87031/COMPANY/COMPANY_1820.html;processed
87031;company;Finance of America Mortgage LLC;1071;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1071;www.foahomeimprovement.com;licensing@financeofamerica.com;215-591-0222-1139;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_mexico/87031/COMPANY/COMPANY_1071.html;processed
87031;company;Primary Residential Mortgage, Inc.;3094;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3094;Bobbiedyer.com, bulldoghomeloans.com, dashhomeloans.com, Dyermortgagegroup.com, Dyermtg.com, ernieshomeloans.com, lowtility.com, mavenhomeloan.com, primeres.com, primeres.com/boise, primeres.com/emenchaca, primeres.com/meridian, primeres.com/rgresham, primeres.com/rich.johnson, primeres.com/wtischler, primeresnw.com, PRMI, prmihome.com, prmisolar.com, ralphgresham.com, www.primaryresidentialmortgage.com;csummers@primeres.com;800-255-2792x1000190;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_mexico/87031/COMPANY/COMPANY_3094.html;processed
87031;company;Regional Finance Company of New Mexico, LLC;1919227;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1919227;www.regionalfinance.com;licensing@regionalmanagement.com;864-448-7000;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_mexico/87031/COMPANY/COMPANY_1919227.html;processed
87048;company;Davis Mortgage Limited, LLC;1901080;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1901080;www.davismortgageltd.com;charles@trustdm.com;5059991010;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_mexico/87048/COMPANY/COMPANY_1901080.html;processed
87059;company;Paradise Mortgage & Investment, LLC;2036733;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2036733;paradisemortgagellc.com;kklea1969@yahoo.com;505-417-1804;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_mexico/87059/COMPANY/COMPANY_2036733.html;processed
87087;company;Amerisave Mortgage Corporation;1168;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1168;amerisave-approved.com, amsv.co, apply.amerisave.com, https://amerisave.homestory.co/, https://cali-mortgage.com/, https://california-mortgage-loan.com/, https://orangecounty-mortgage-loans.com/, https://va-loans-online.com/, mortgage.amerisave.com, va.amerisave.com, www.amc.lenderdocs.com, www.amerisave.com, www.amerisave.com/advantage, www.amerisave.com/lo/akimbrell, www.amerisave.com/lo/amaxwell, www.amerisave.com/lo/apollard, www.amerisave.com/lo/arhea, www.amerisave.com/lo/asgraham, www.amerisave.com/lo/atinsley, www.amerisave.com/lo/avance, www.amerisave.com/lo/awilliams, www.amerisave.com/lo/balexander, www.amerisave.com/lo/bcollinson, www.amerisave.com/lo/bdavis, www.amerisave.com/lo/bdbaker, www.amerisave.com/lo/befox, www.amerisave.com/lo/belbathy, www.amerisave.com/lo/bfahrenholtz, www.amerisave.com/lo/bfox, www.amerisave.com/lo/bholmes, www.amerisave.com/lo/bjeffries, www.amerisave.com/lo/bkwarren, www.amerisave.com/lo/bodle, www.amerisave.com/lo/bthomas, www.amerisave.com/lo/bthomson, www.amerisave.com/lo/callen, www.amerisave.com/lo/calthompson, www.amerisave.com/lo/ccrosby, www.amerisave.com/lo/cfanning, www.amerisave.com/lo/cfindlay, www.amerisave.com/lo/chaines, www.amerisave.com/lo/chaines, www.amerisave.com/lo/chaughton, www.amerisave.com/lo/chbryan, www.amerisave.com/lo/chobbs, www.amerisave.com/lo/choyt, www.amerisave.com/lo/clantz, www.amerisave.com/lo/cly, www.amerisave.com/lo/cmcewen, www.amerisave.com/lo/cnchilds, www.amerisave.com/lo/cplepel, www.amerisave.com/lo/csokolovic, www.amerisave.com/lo/daharris, www.amerisave.com/lo/dajenkins, www.amerisave.com/lo/damedina, www.amerisave.com/lo/dbenlice, www.amerisave.com/lo/dblack, www.amerisave.com/lo/dcastillo, www.amerisave.com/lo/dclancy, www.amerisave.com/lo/dcohen, www.amerisave.com/lo/dcrandall, www.amerisave.com/lo/dgrill, www.amerisave.com/lo/dhooper, www.amerisave.com/lo/dkadir, www.amerisave.com/lo/dlash, www.amerisave.com/lo/dlocklear, www.amerisave.com/lo/dmcandrews, www.amerisave.com/lo/dogray, www.amerisave.com/lo/dolejniczak, www.amerisave.com/lo/drichards, www.amerisave.com/lo/dssmith, www.amerisave.com/lo/dvillanueva, www.amerisave.com/lo/dwatson, www.amerisave.com/lo/dzuver, www.amerisave.com/lo/ecaudill, www.amerisave.com/lo/echase, www.amerisave.com/lo/eroby, www.amerisave.com/lo/ewines, www.amerisave.com/lo/fben, www.amerisave.com/lo/fbrown, www.amerisave.com/lo/fwhitehouse, www.amerisave.com/lo/gbaczkowski, www.amerisave.com/lo/gbosmans, www.amerisave.com/lo/ggardner, www.amerisave.com/lo/ghamzaj, www.amerisave.com/lo/glindsey, www.amerisave.com/lo/gmassey, www.amerisave.com/lo/gverre, www.amerisave.com/lo/hbaer, www.amerisave.com/lo/hlewman, www.amerisave.com/lo/hporter, www.amerisave.com/lo/hquinney, www.amerisave.com/lo/hsokolovic, www.amerisave.com/lo/hwindsor, www.amerisave.com/lo/ianaya, www.amerisave.com/lo/izarran, www.amerisave.com/lo/jallen, www.amerisave.com/lo/jamcmillan, www.amerisave.com/lo/jasgraham, www.amerisave.com/lo/jblevins, www.amerisave.com/lo/jcatherman, www.amerisave.com/lo/jcurtis, www.amerisave.com/lo/jdieudonne, www.amerisave.com/lo/jearredondo, www.amerisave.com/lo/jejordan, www.amerisave.com/lo/jesmith, www.amerisave.com/lo/jgiffin, www.amerisave.com/lo/jhart, www.amerisave.com/lo/jkollman, www.amerisave.com/lo/jmisere, www.amerisave.com/lo/jmurad, www.amerisave.com/lo/jojackson, www.amerisave.com/lo/joruzicka, www.amerisave.com/lo/jroeder, www.amerisave.com/lo/jschroerucke, www.amerisave.com/lo/jsnyder, www.amerisave.com/lo/jsoto, www.amerisave.com/lo/jsrodriguez, www.amerisave.com/lo/jstewart, www.amerisave.com/lo/jthies, www.amerisave.com/lo/jwegener, www.amerisave.com/lo/jwerner, www.amerisave.com/lo/kbolin, www.amerisave.com/lo/kguthard, www.amerisave.com/lo/kjester, www.amerisave.com/lo/kkline, www.amerisave.com/lo/klancaster, www.amerisave.com/lo/klangham, www.amerisave.com/lo/kleone, www.amerisave.com/lo/kporch, www.amerisave.com/lo/ksturgeon, www.amerisave.com/lo/lbennett;compliance@amerisave.com;404-424-0632;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_mexico/87087/COMPANY/COMPANY_1168.html;processed
87084;company;Lendgo, Inc.;1693075;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1693075;www.fetcharate.com, www.lendgo.com;licensing@lendgo.com;(323) 325-5524;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_mexico/87084/COMPANY/COMPANY_1693075.html;processed
87103;company;U.S. EAGLE FEDERAL CREDIT UNION;463291;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/463291;N/A;plindley@useaglefcu.org;505-342-8844;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_mexico/87103/COMPANY/COMPANY_463291.html;processed
87104;company;DreamSpring;2295008;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2295008;http://dreamspring.org/, https://dock.dreamspring.org/, https://flare.dreamspring.org/, https://peak.dreamspring.org/;dscompliance@dreamspring.org;800-508-7624;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_mexico/87104/COMPANY/COMPANY_2295008.html;processed
87104;company;One Residential Lending, LLC;907613;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/907613;www.onelends.com;thomas@onelends.com;505-369-6636;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_mexico/87104/COMPANY/COMPANY_907613.html;processed
87104;company;SOUTHWEST CAPITAL BANK;458652;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/458652;N/A;mneel@southwestcapital.com;505-247-7922;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_mexico/87104/COMPANY/COMPANY_458652.html;processed
87104;company;Envoy Mortgage Ltd;6666;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/6666;www.Envoymortgage.com;licensing@envoymortgage.com;713-977-8005;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/new_mexico/87104/COMPANY/COMPANY_6666.html;processed
