zipCode;type;name;nmls;url;website;email;phone;extractFile;status
27012;company;Fairway Independent Mortgage Corporation;2289;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2289;62PLUSHOMEBUYER.COM, home.com, http://aaronvang.com/, http://applywithmichele.com/, http://beckystritt.com/, http://halvorsenhomeloans.com/, http://lorijasicki.com/, http://teamthaxton.net/, http://www.chicagolandmortgage.net/, http://www.danthelendingman.com/, http://www.fairwaylending.com/, http://www.homeloansatfairway.com/, http://www.indyfairway.com/, http://www.jackjonesloans.com/, http://www.jasonstone-loans.com/, http://www.joansergenian.com/, http://www.loansbyjason.com/, http://www.loansbyscott.com/, http://www.loansbytimray.com/, http://www.michaeljfacchini.com/, http://www.mikezillihomeloans.com/, http://www.teamthaxton.com/, http://www.yourwaymortgage.com/, https://www.fairwayfastmortgage.com/, www.bobfairway.com, www.donwatfairway.com, www.EastIdahoHomeLoans.com, www.fairway.com, www.fairwayeric.com, www.fairwayindependentmc.com, www.fairwaymadison.com, www.fairwaymc.com, www.fairwaymortgagecorp.com, www.fairwaynext.com, www.fairwaypoynette.com, www.fairwayreverse.com, www.homefinity.com, www.joanloans.com, www.kevinapproves.com, www.loansbyheather.com, www.loansbymarkk.com, www.loansbymikelenz.com, www.mariejonesteam.com, www.mattbrua.com, www.pullenfairwayhomeloans.com, www.sandylends.com, www.trevorboothfairway.com;licensingcompliance@fairwaymc.com;866-912-4800;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/north_carolina/27012/COMPANY/COMPANY_2289.html;processed
27012;company;Lower, LLC;1124061;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1124061;www.Lower.com;licensing@lower.com;443-741-8154;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/north_carolina/27012/COMPANY/COMPANY_1124061.html;processed
27012;company;Hamilton Home Loans, Inc.;200719;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/200719;www.hamiltonhomeloans.com;tammy.scott@hamiltonhomeloans.com;954-241-2804;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/north_carolina/27012/COMPANY/COMPANY_200719.html;processed
27025;company;Turnkey Mortgage Services, Inc.;69453;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/69453;turnkeymortgageloans.com;ken@turnkeymortgageloans.com;336-337-2589;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/north_carolina/27025/COMPANY/COMPANY_69453.html;processed
27028;company;Monkey Works Inc.;2377424;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2377424;Not provided;monicamybroker@gmail.com;336-660-0057;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/north_carolina/27028/COMPANY/COMPANY_2377424.html;processed
27030;company;Homeland Mortgage, LLC;75789;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/75789;Not provided;skrichards64@gmail.com;336-786-7900;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/north_carolina/27030/COMPANY/COMPANY_75789.html;processed
27030;company;NorthSide Mortgage Group LLC;68411;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/68411;Not provided;carmen@northsidemortgagegroup.com;336-783-9100;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/north_carolina/27030/COMPANY/COMPANY_68411.html;processed
27030;company;Surrey Bank & Trust;477154;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/477154;;tbutcher@surreybank.com;336-783-3900;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/north_carolina/27030/COMPANY/COMPANY_477154.html;processed
27030;company;Atlantic Bay Mortgage Group, L.L.C.;72043;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/72043;www.atlanticbay.com, www.mullinixmortgage.com;amandatucker@atlanticbay.com;757-213-1660;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/north_carolina/27030/COMPANY/COMPANY_72043.html;processed
27044;company;Downs Financial, Inc.;3041;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3041;www.downsinc.com;shiloe@downsinc.com;303-370-7300;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/north_carolina/27044/COMPANY/COMPANY_3041.html;processed
