zipCode;type;name;nmls;url;website;email;phone;extractFile;status
56715;company;Deephaven Mortgage LLC;958425;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/958425;www.deephavenmortgage.com;staterelations@deephavenmortgage.com;704-628-4100;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/north_dakota/56715/COMPANY/COMPANY_958425.html;processed
56714;company;OGFS, LLC;1487914;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1487914;Not provided;johngaribyan@gmail.com;818-797-5555;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/north_dakota/56714/COMPANY/COMPANY_1487914.html;processed
56714;company;Northwest Community Action Incorporated;1338172;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1338172;Not provided;kfrigaard@nwcaa.org;218-528-3258 ext. 110;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/north_dakota/56714/COMPANY/COMPANY_1338172.html;processed
56718;company;R & C Solutions LLC;1622132;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1622132;renglemann@echolschiefdeputy.com;renglemann@echolschiefdeputy.com;229-560-6590;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/north_dakota/56718/COMPANY/COMPANY_1622132.html;processed
56721;company;OneMain Financial Group, LLC;1339418;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1339418;www.brightway.onemainfinancial.com, WWW.OMF.COM, www.onemainfinancial.com;terri.baer@omf.com;410-537-9168;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/north_dakota/56721/COMPANY/COMPANY_1339418.html;processed
56721;company;OneMain Financial of Minnesota, Inc.;399820;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/399820;WWW.OMF.COM, www.onemainfinancial.com;terri.baer@onemainfinancial.com;410-537-9168;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/north_dakota/56721/COMPANY/COMPANY_399820.html;processed
56701;company;Keefe Commissary Network, L.L.C.;936775;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/936775;www.accesscorrections.com, www.keefecommissary.net;contactkcn@keefegroup.com;314-919-4123;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/north_dakota/56701/COMPANY/COMPANY_936775.html;processed
56701;company;Northern State Bank of Thief River Falls;653514;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/653514;;jon.bushy@nsbtrf.com;218-681-4020;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/north_dakota/56701/COMPANY/COMPANY_653514.html;processed
56701;company;Rocket Mortgage, LLC;3030;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3030;rocket.com/mortgage, www.rocketmortgage.com, www.ThatsMyMortgage.com;TariaMorris@rocketmortgage.com;313-373-4564;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/north_dakota/56701/COMPANY/COMPANY_3030.html;processed
56701;company;CASH DEPOT, LTD.;1545075;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1545075;cdlatm.com;rhondab@srlcd.com;920-432-5777;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/north_dakota/56701/COMPANY/COMPANY_1545075.html;processed
56701;company;Edge Home Finance Corporation;891464;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/891464;www.edgehomefinance.com;Licensing@EDGEHOMEFINANCE.COM;763-219-8484;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/north_dakota/56701/COMPANY/COMPANY_891464.html;processed
56701;company;New American Funding, LLC;6606;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/6606;newamericanfundingheloc.com, www.newamericanfunding.com;NAFHelp.Licensing@nafinc.com;800-450-2010;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/north_dakota/56701/COMPANY/COMPANY_6606.html;processed
56701;company;Walmart Inc.;1239954;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1239954;www.wal-mart.com;complic@wal-mart.com;479-204-6148;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/north_dakota/56701/COMPANY/COMPANY_1239954.html;processed
56726;company;Border Bank;446301;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/446301;;angie.truscinski@borderstatebank.com;218-782-2151;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/north_dakota/56726/COMPANY/COMPANY_446301.html;processed
56716;company;PrimeLending, A PlainsCapital Company;13649;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/13649;www.loanplicity.com, www.primelending.com, www.primelendinglo.com;sgarza@primelending.com;972-248-7866;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/north_dakota/56716/COMPANY/COMPANY_13649.html;processed
