zipCode;type;name;nmls;url;website;email;phone;extractFile;status
43006;company;The Loan Store, Inc.;1121650;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1121650;www.theloanstore.com;compliance@theloanstore.com;888-350-1003;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/ohio/43006/COMPANY/COMPANY_1121650.html;processed
43007;company;AscendantFX Capital USA, Inc.;916300;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/916300;www.ascendant.world;bernard.beck@ascendant.world;250-412-5306;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/ohio/43007/COMPANY/COMPANY_916300.html;processed
43010;company;United Fidelity Funding Corp.;34381;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/34381;www.homeloanagents.com, www.uff.loans, www.uff.pro, www.uffcexpress.com, www.uffcmortgage.com, www.UFFCMTG.com, www.uffexpress.com, www.uffhomeloans.com, www.uffloans.com, www.uffwest.com, www.uffwholesale.com;kmarks@uffmortgage.com;816-457-6300;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/ohio/43010/COMPANY/COMPANY_34381.html;processed
43011;company;FIRST FEDERAL SAVINGS & LOAN ASSOCIATION OF CENTERBURG;404931;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/404931;;firstfederal@midohio.twcbc.com;740-625-5392;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/ohio/43011/COMPANY/COMPANY_404931.html;processed
43008;company;CrossCountry Mortgage, LLC;3029;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3029;www.ccm.com, www.crosscountrymortgage.com, www.myccmortgage.com, www.myccmortgage.com;Ashley.Cook@ccm.com;440-845-3700;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/ohio/43008/COMPANY/COMPANY_3029.html;processed
43008;company;New American Funding, LLC;6606;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/6606;newamericanfundingheloc.com, www.newamericanfunding.com;NAFHelp.Licensing@nafinc.com;800-450-2010;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/ohio/43008/COMPANY/COMPANY_6606.html;processed
43013;company;RoundPoint Mortgage Servicing LLC;18188;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/18188;http://www.roundpointmortgage.com;RPMSCompliance@roundpointmortgage.com;(877) 426-8805;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/ohio/43013/COMPANY/COMPANY_18188.html;processed
43019;company;U. S. Equity & Financial Enterprises, Inc.;246632;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/246632;Not provided;usequity@icloud.com;740-392-3963;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/ohio/43019/COMPANY/COMPANY_246632.html;processed
43004;company;A1 Lending Team LLC;2522722;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2522722;Not provided;aonelendingteam@gmail.com;614-626-0353;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/ohio/43004/COMPANY/COMPANY_2522722.html;processed
43004;company;Intra-National Mortgage INC.;2620605;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2620605;www.intramortgage.com;jheister@intramortgage.com;513-300-9683;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/ohio/43004/COMPANY/COMPANY_2620605.html;processed
