zipCode;type;name;nmls;url;website;email;phone;fax;extractFile;status
73004;company;Intercap Lending Inc.;190465;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/190465;www.intercaplending.com;maryashley@intercaplending.com;385-800-8300;;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oklahoma/73004/COMPANY/COMPANY_190465.html;processed
73007;company;C2 Financial Corporation;135622;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/135622;https://reversebrian.com/, https://www.yourhomeloanguide.com/, www.C2financial.com, www.c2fincorp.com/;help@c2financialcorp.com;858-312-4900;;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oklahoma/73007/COMPANY/COMPANY_135622.html;processed
67950;company;Century Long Term Value Fund, LLC;2323713;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2323713;Not provided;bku@century.org;310-642-2003;;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oklahoma/67950/COMPANY/COMPANY_2323713.html;processed
67950;company;Heartland Tri-State Bank;784035;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/784035;;jalvidrez@heartlandtristate.bank;620-697-2777;;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oklahoma/67950/COMPANY/COMPANY_784035.html;processed
67950;company;Rocket Mortgage, LLC;3030;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3030;rocket.com/mortgage, www.rocketmortgage.com, www.ThatsMyMortgage.com;TariaMorris@rocketmortgage.com;313-373-4564;;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oklahoma/67950/COMPANY/COMPANY_3030.html;processed
73008;company;MORTGAGE PROCESSING GROUP LLC;2583432;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2583432;Not provided;west@mortgageprocessgroup.com;405-819-6787;;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oklahoma/73008/COMPANY/COMPANY_2583432.html;processed
73008;company;Silver Linings Mortgage, Inc.;2359184;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2359184;silverliningsmtg.com;kyle@silverliningsmtg.com;405-245-0569;;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oklahoma/73008/COMPANY/COMPANY_2359184.html;processed
73008;company;First Bethany Bank & Trust;420277;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/420277;;pholman@firstbethany.com;405-789-1110x228;;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oklahoma/73008/COMPANY/COMPANY_420277.html;processed
73005;company;Wells Fargo Clearing Services, LLC;2234;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2234;www.wellsfargoadvisors.com;chris.ragsdale@wellsfargoadvisors.com;314-875-3294;;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oklahoma/73005/COMPANY/COMPANY_2234.html;processed
73005;company;FIRST STATE BANK;794462;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/794462;;kerrif@fsbanadarko.com;405-247-2471;;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oklahoma/73005/COMPANY/COMPANY_794462.html;processed
73014;company;AllNations Bank;969292;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/969292;;cmoberly@anbok.com;405-893-2240;;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oklahoma/73014/COMPANY/COMPANY_969292.html;processed
