zipCode;type;name;nmls;url;website;email;phone;extractFile;status
97009;company;Directors Mortgage, Inc.;3240;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3240;banker4life.com, banker4life.net, www.directorsmortgage.com, www.directorsmortgage.net, www.mortgagemonkey.com, www.usadirectfunding.com, www.usadirectfunding.net;nmls@directorsmortgage.net;503-636-6000;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97009/COMPANY/COMPANY_3240.html;processed
97002;company;Rocket Mortgage, LLC;3030;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3030;rocket.com/mortgage, www.rocketmortgage.com, www.ThatsMyMortgage.com;TariaMorris@rocketmortgage.com;313-373-4564;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97002/COMPANY/COMPANY_3030.html;processed
97003;company;LEVERAGE CAPITAL NETWORK LLC;2250420;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2250420;https://leveragecapitalnetwork.com/;jordan@leveragemail.com;305-413-0798;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97003/COMPANY/COMPANY_2250420.html;processed
97003;company;Celebrity Home Loans, LLC;227765;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/227765;http://davidrobnett.com, https://myhome.celebrityhomeloans.com, https://www.celebrityhomeloans.com/, https://www.eclicklending.com/, https://www.midwestequity.com/;licensing@celebrityhomeloans.com;(630) 908-5400;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97003/COMPANY/COMPANY_227765.html;processed
97003;company;Elev8 Mortgage, LLC;1819034;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1819034;www.elev8mortgage.com;dan@elev8mortgage.com;541-668-3053;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97003/COMPANY/COMPANY_1819034.html;processed
97003;company;Geneva Financial, LLC;42056;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/42056;www.genevaFI.com;telle@genevafi.com;888-889-0009;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97003/COMPANY/COMPANY_42056.html;processed
97014;company;Northwest Processing LLC;2562707;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2562707;Not provided;Not provided;Not provided;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97014/COMPANY/COMPANY_2562707.html;processed
97014;company;VINA INVESTMENTS, LLC;287832;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/287832;Not provided;THANHHUYN@AOL.COM;503-772-0100;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97014/COMPANY/COMPANY_287832.html;processed
97007;company;Magsden Corp;120808;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/120808;www.HabitatFinancial.com, www.HabitatLoans.com;dennisoneel@comcast.net;503-970-0808;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97007/COMPANY/COMPANY_120808.html;processed
97007;company;Northwest Mortgage Processing, LLC;1966327;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1966327;Not provided;team@northwestmortgageprocessing.com;(971) 235-5655;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97007/COMPANY/COMPANY_1966327.html;processed
97007;company;Hill Valley Financial Services Inc.;247958;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/247958;www.hillvalleyfinancial.com;icanloanit2u@yahoo.com;503-631-3311;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97007/COMPANY/COMPANY_247958.html;processed
97007;company;Homeward Mortgage LLC;1911059;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1911059;www.homewardmortgage.com;tim@homeward.com;512-956-5087;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97007/COMPANY/COMPANY_1911059.html;processed
97007;company;Stashin Mortgage Services, LLC;1575285;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1575285;www.stashinmortgageservices.com;timsms@integra.net;503-530-8462;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97007/COMPANY/COMPANY_1575285.html;processed
97007;company;Wells Fargo Clearing Services, LLC;2234;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2234;www.wellsfargoadvisors.com;chris.ragsdale@wellsfargoadvisors.com;314-875-3294;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97007/COMPANY/COMPANY_2234.html;processed
97007;company;Axia Financial, LLC;27830;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/27830;www.axiahomeloans.com;licensing@axiahomeloans.com;425-274-9559;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97007/COMPANY/COMPANY_27830.html;processed
97017;company;Stover, Jaime;204994;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/204994;Not provided;jaime@willamettefallsfinancial.com;503-419-8197;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97017/COMPANY/COMPANY_204994.html;processed
97016;company;Wauna Federal Credit Union;421867;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/421867;;ian.wiggins@waunafcu.org;503-338-1844;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97016/COMPANY/COMPANY_421867.html;processed
97016;company;Churchill Mortgage Corporation;1591;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1591;5hiddentraps.com, 6hiddentraps.com, 6traps.com, askexpertdon.com, churchillanderson.info, churchillbrentwood.biz, churchillbrentwood.info, churchillbrentwood.me, churchillbrentwood.mobi, churchillbrentwood.net, churchillbrentwood.org, churchillbrentwood.us, churchillbrentwood.ws, churchillcolorado.com, churchillguide.com, churchillheroes.com, churchillhouston.com, churchillmortgage.me, churchillmortgagefoundation.com, churchillmortgageomaha.com, churchillnebraska.com, cmcfreereport.com, cmlife.com, darrenmccroskeyhomeloan.com, davesbabysteps.com, edwardnorthcmc.com, heroesfirst.com, heroesfirsthomeloans.com, http://vimeo.com/churchillmortgage, http://www.brownteamlending.com, http://www.churchillbrentwood.com, joinchurchill.com, mortgageappsonline.com, nocreditscorehomeloan.com, nocreditscoremortgage.com, northwestlendingteam.com, noscorehomeloan.com, nwlendingteam.com, paradeofhomesgiveaway.com, phillipsteamchurchill.com, sandigreenloanteam.com, starpointegiveaway.com, www.churchillgeorgia.com, www.churchillmortgage.com, www.mychurchill.com;LICENSING@churchillmortgage.com;615-370-8888-158;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97016/COMPANY/COMPANY_1591.html;processed
97016;company;Mann Mortgage, LLC;2550;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2550;www.mannmortgage.com;jason.mann@mannmortgage.com;406-890-6066;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97016/COMPANY/COMPANY_2550.html;processed
97013;company;Advantage Mortgage, Inc.;1770599;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1770599;www.findtheadvantage.com, www.pnwlending.com, www.teamklebaum.com;derek@findtheadvantage.com;503-266-5800;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97013/COMPANY/COMPANY_1770599.html;processed
97013;company;Fairway Independent Mortgage Corporation;2289;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2289;62PLUSHOMEBUYER.COM, home.com, http://aaronvang.com/, http://applywithmichele.com/, http://beckystritt.com/, http://halvorsenhomeloans.com/, http://lorijasicki.com/, http://teamthaxton.net/, http://www.chicagolandmortgage.net/, http://www.danthelendingman.com/, http://www.fairwaylending.com/, http://www.homeloansatfairway.com/, http://www.indyfairway.com/, http://www.jackjonesloans.com/, http://www.jasonstone-loans.com/, http://www.joansergenian.com/, http://www.loansbyjason.com/, http://www.loansbyscott.com/, http://www.loansbytimray.com/, http://www.michaeljfacchini.com/, http://www.mikezillihomeloans.com/, http://www.teamthaxton.com/, http://www.yourwaymortgage.com/, https://www.fairwayfastmortgage.com/, www.bobfairway.com, www.donwatfairway.com, www.EastIdahoHomeLoans.com, www.fairway.com, www.fairwayeric.com, www.fairwayindependentmc.com, www.fairwaymadison.com, www.fairwaymc.com, www.fairwaymortgagecorp.com, www.fairwaynext.com, www.fairwaypoynette.com, www.fairwayreverse.com, www.homefinity.com, www.joanloans.com, www.kevinapproves.com, www.loansbyheather.com, www.loansbymarkk.com, www.loansbymikelenz.com, www.mariejonesteam.com, www.mattbrua.com, www.pullenfairwayhomeloans.com, www.sandylends.com, www.trevorboothfairway.com;licensingcompliance@fairwaymc.com;866-912-4800;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97013/COMPANY/COMPANY_2289.html;processed
97013;company;Academy Mortgage Corporation;3113;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3113;www.academymortgage.com;notice@academymortgage.com;801-233-3700;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97013/COMPANY/COMPANY_3113.html;processed
97013;company;Columbia Resources, Inc;42991;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/42991;www-home-lenders.com;jcastner@home-lenders.com;503-717-0704;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97013/COMPANY/COMPANY_42991.html;processed
97013;company;Harvest Capital Company, LLC;2237848;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2237848;harvcap.com;snichols@farmersbusinessnetwork.com;612-232-7890;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97013/COMPANY/COMPANY_2237848.html;processed
97023;company;Central Source Mortgage Banking Inc.;119101;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/119101;Not provided;csmbinc@yahoo.com;503-667-1101;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97023/COMPANY/COMPANY_119101.html;processed
97024;company;Agape Negotiations LLC;1674932;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1674932;Not provided;alina.negotiate@gmail.com;503-875-5678;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97024/COMPANY/COMPANY_1674932.html;processed
97024;company;Talon Recovery LLC;1812278;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1812278;www.talonrecoveryllc.com;Talonrepo@outlook.com;503-459-3016;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97024/COMPANY/COMPANY_1812278.html;processed
97027;company;Turn Key Mortgage Inc;1401167;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1401167;www.turnkeymtg.com;operations@turnkeymtg.com;503-655-2700;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97027/COMPANY/COMPANY_1401167.html;processed
97027;company;Scouters Mortgage LLC;1308052;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1308052;www.chuckgrant.com, www.chuckgrant.net, www.scoutersmortgage.com, www.scoutersmortgage.net;chuckdgrant@gmail.com;503-729-5029;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97027/COMPANY/COMPANY_1308052.html;processed
97027;company;Mortgage Solutions FCS Inc.;1065732;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1065732;www.clientdirectmtg.com, www.educatemortgage.com, www.mtdiablolending.com, www.refieligible.com;ramon@mtdiablolending.com;925-951-0078;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97027/COMPANY/COMPANY_1065732.html;processed
97027;company;Adcom Group Inc;1761573;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1761573;www.adcomgrp.com, www.greystonehomelending.com, www.homefinancialohio.com, www.hometrustidaho.com, www.hometrustloans.com, www.peakmtg.com;info@adcomgrp.com;833-395-5626;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97027/COMPANY/COMPANY_1761573.html;processed
97008;company;Prestige Residential Loans LLC;1847429;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1847429;www.prestigeresidentialloans.com;vcastillo@prestigeresidentialloans.com;503-380-5665;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97008/COMPANY/COMPANY_1847429.html;processed
97008;company;Goldendale Capital LLC;1899253;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1899253;www.goldendalecapital.com;christopher@goldendalecapital.com;503-512-5007;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97008/COMPANY/COMPANY_1899253.html;processed
97008;company;Kovo Credit Inc.;2299753;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2299753;kovocredit.com/offers;compliance@kovocredit.com;855-965-5686;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97008/COMPANY/COMPANY_2299753.html;processed
97008;company;Kovo Inc.;2006784;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2006784;kovocredit.com;compliance@kovocredit.com;855-965-5686;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97008/COMPANY/COMPANY_2006784.html;processed
97008;company;Liberty Home Mortgage Co.;1422905;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1422905;Not provided;Not provided;Not provided;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97008/COMPANY/COMPANY_1422905.html;processed
97008;company;RIVERMARK COMMUNITY CREDIT UNION;405464;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/405464;;Not provided;503-626-6600;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97008/COMPANY/COMPANY_405464.html;processed
97008;company;The Aligned Company;2341556;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2341556;www.extra.app;compliance@extra.app;(310) 923-0693;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97008/COMPANY/COMPANY_2341556.html;processed
97008;company;Westcliff Technologies, Inc.;2457730;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2457730;https://www.clearblock.co/, https://www.nationalbitcoinatm.com/;atia@westclifftech.com;858-382-9124;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97008/COMPANY/COMPANY_2457730.html;processed
97008;company;Canopy Mortgage, LLC;1359687;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1359687;www.boxhomeloans.com, www.canopymortgage.com, www.goldmortgage.net, www.idahofirstmortgage.com, www.mypineapplemortgage.com, www.velocityhl.com;licensing@canopymortgage.com;877-426-5500;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97008/COMPANY/COMPANY_1359687.html;processed
97008;company;State Farm International Services, Inc;110089;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/110089;Not provided;roger.bainbridge.lvei@statefarm.com;309-766-9810;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97008/COMPANY/COMPANY_110089.html;processed
97008;company;UMortgage LLC;1457759;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1457759;https://jhhomeloans.com/, www.kahrenoxner.com, www.premierprocessing.net, www.umortgage.com;compliance@umortgage.com;215-454-6098;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/oregon/97008/COMPANY/COMPANY_1457759.html;processed
