zipCode;type;name;nmls;url;website;email;phone;extractFile;status
15002;company;TJC Mortgage, Inc.;2239;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2239;mortgageright.com, www.tjcmortgage.com;jorge@mortgageright.com;205-582-4065;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/pennsylvania/15002/COMPANY/COMPANY_2239.html;processed
15015;company;Ace One Mortgage, LLC;141133;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/141133;aceonemortage.com;pem@consolidated.net;724-933-9070;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/pennsylvania/15015/COMPANY/COMPANY_141133.html;processed
15001;company;JD Doggy Inc.;1370006;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1370006;Not provided;George.McGrady@gianteagle.com;412-973-2192;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/pennsylvania/15001/COMPANY/COMPANY_1370006.html;processed
15001;company;A & S Federal Credit Union;663195;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/663195;;gina@asfederal.org;724-375-0248;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/pennsylvania/15001/COMPANY/COMPANY_663195.html;processed
15001;company;Friendly Federal Credit Union;789426;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/789426;;FFCU@timesnet.net;724-375-0488;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/pennsylvania/15001/COMPANY/COMPANY_789426.html;processed
15001;company;WestCoast Mortgage Group and Realty Company;5084;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/5084;www.wcmtg.com;robertv@wcmtg.com;916-453-7533;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/pennsylvania/15001/COMPANY/COMPANY_5084.html;processed
15003;company;New Alliance Federal Credit Union;807347;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/807347;;kelly@newalliancefcu.com;724-266-7675;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/pennsylvania/15003/COMPANY/COMPANY_807347.html;processed
15019;company;Obsidian Financial Services, Inc.;1425046;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1425046;www.obsidianfinancialservices.com;d.griffiths@obsidianmortgage.com;3213086139;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/pennsylvania/15019/COMPANY/COMPANY_1425046.html;processed
15005;company;Ambridge Area Federal Credit Union;785073;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/785073;N/A;sandykowal@ambridgeareafcu.com;724-869-3342;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/pennsylvania/15005/COMPANY/COMPANY_785073.html;processed
15005;company;Wal-Mart Stores East Limited Partnership;903778;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/903778;www.walmart.com;complic@wal-mart.com;479-204-6148;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/pennsylvania/15005/COMPANY/COMPANY_903778.html;processed
15024;company;Rocket Mortgage, LLC;3030;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3030;rocket.com/mortgage, www.rocketmortgage.com, www.ThatsMyMortgage.com;TariaMorris@rocketmortgage.com;313-373-4564;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/pennsylvania/15024/COMPANY/COMPANY_3030.html;processed
15027;company;State Farm Bank, F.S.B.;139716;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/139716;statefarm.com;roger.bainbridge.lvei@statefarm.com;309-766-9810;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/pennsylvania/15027/COMPANY/COMPANY_139716.html;processed
15030;company;MMS Mortgage Services, Ltd.;131062;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/131062;https://mymortgage-online.com, www.membermortgage.com;sam.lopiccolo@membermortgage.com;248-788-0800;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/pennsylvania/15030/COMPANY/COMPANY_131062.html;processed
15030;company;PPG & Associates Federal Credit Union;483552;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/483552;;mcogley@ppgfcu.org;724-224-1777;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/pennsylvania/15030/COMPANY/COMPANY_483552.html;processed
15022;company;Valley Cigarette Service,Inc.;1988751;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1988751;Not provided;pansinojoe@yahoo.com;7244831516;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/pennsylvania/15022/COMPANY/COMPANY_1988751.html;processed
15022;company;CFSBank;673368;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/673368;;abarnes@cfsbank.com;724-483-3566;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/pennsylvania/15022/COMPANY/COMPANY_673368.html;processed
