zipCode;type;name;nmls;url;website;email;phone;extractFile;status
29002;company;FOOD LION, LLC;1987099;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1987099;www.foodlion.com;carla.kimrey@retailbusinessservices.com;704-310-2369;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/south_carolina/29002/COMPANY/COMPANY_1987099.html;processed
29018;company;Pilot Travel Centers LLC;1039155;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1039155;www.pilotflyingj.com;kevin.crawford@pilottravelcenters.com;865-588-7488;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/south_carolina/29018/COMPANY/COMPANY_1039155.html;processed
29022;company;World Finance Company of Georgia, LLC;2032867;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2032867;www.loansbyworld.com;kristen.theo@worldacceptance.com;864-298-9800;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/south_carolina/29022/COMPANY/COMPANY_2032867.html;processed
29006;company;PRAGAT SWARUP LLC;2662486;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2662486;Not provided;HGCCLLC@GMAIL.COM;(803)543-6300;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/south_carolina/29006/COMPANY/COMPANY_2662486.html;processed
29006;company;Legacy Financial Services Inc;1932854;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1932854;Not provided;melissa@bandbloans.com;803-604-6927;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/south_carolina/29006/COMPANY/COMPANY_1932854.html;processed
29006;company;NEELKANTH ENTERPRISE LLC;1988735;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1988735;Not provided;YOGIPATEL182@YAHOO.COM;8035322956;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/south_carolina/29006/COMPANY/COMPANY_1988735.html;processed
29006;company;kwik karry llc;1964331;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1964331;Not provided;sdwylie@msn.com;803-532-4219;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/south_carolina/29006/COMPANY/COMPANY_1964331.html;processed
29006;company;Advance America, Cash Advance Centers of South Carolina, Inc.;1978966;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1978966;https://www.advanceamerica.net;advanceamerica@cscglobal.com;888-314-4238;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/south_carolina/29006/COMPANY/COMPANY_1978966.html;processed
29006;company;BILO, LLC;1230980;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1230980;WWW.WINN-DIXIE.COM;LICENSEANDPERMITS@SEGROCERS.COM;904-370-5681;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/south_carolina/29006/COMPANY/COMPANY_1230980.html;processed
29006;company;Samco Financial Services Corp;1681155;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1681155;samcodirect.com;chuck@samcodirect.com;440-252-5019;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/south_carolina/29006/COMPANY/COMPANY_1681155.html;processed
