zipCode,type,name,nmls,url,website,email,phone,fax,extractFile,status
29004,,,,,,,,,,no results
29005,,,,,,,,,,no results
29007,,,,,,,,,,no results
29008,,,,,,,,,,no results
29009,,,,,,,,,,no results
29001,,,,,,,,,,no results
29011,,,,,,,,,,no results
29002,company,"FOOD LION, LLC",1987099,,www.foodlion.com,carla.kimrey@retailbusinessservices.com,704-310-2369,,file:///Users/alexandrelazerat/Desktop/scraper.emile/data/south_carolina/29002/COMPANY/COMPANY_1987099.html,processed
29012,,,,,,,,,,no results
29013,,,,,,,,,,no results
29014,,,,,,,,,,no results
29015,,,,,,,,,,no results
29017,,,,,,,,,,no results
29019,,,,,,,,,,no results
29018,company,Pilot Travel Centers LLC,1039155,,www.pilotflyingj.com,kevin.crawford@pilottravelcenters.com,865-588-7488,,file:///Users/alexandrelazerat/Desktop/scraper.emile/data/south_carolina/29018/COMPANY/COMPANY_1039155.html,processed
29021,,,,,,,,,,no results
29022,company,"World Finance Company of Georgia, LLC",2032867,,www.loansbyworld.com,kristen.theo@worldacceptance.com,864-298-9800,,file:///Users/alexandrelazerat/Desktop/scraper.emile/data/south_carolina/29022/COMPANY/COMPANY_2032867.html,processed
29006,company,PRAGAT SWARUP LLC,2662486,,Not provided,HGCCLLC@GMAIL.COM,(803)543-6300,,file:///Users/alexandrelazerat/Desktop/scraper.emile/data/south_carolina/29006/COMPANY/COMPANY_2662486.html,processed
29006,company,Legacy Financial Services Inc,1932854,,Not provided,melissa@bandbloans.com,803-604-6927,,file:///Users/alexandrelazerat/Desktop/scraper.emile/data/south_carolina/29006/COMPANY/COMPANY_1932854.html,processed
29006,company,NEELKANTH ENTERPRISE LLC,1988735,,Not provided,YOGIPATEL182@YAHOO.COM,8035322956,,file:///Users/alexandrelazerat/Desktop/scraper.emile/data/south_carolina/29006/COMPANY/COMPANY_1988735.html,processed
29006,company,kwik karry llc,1964331,,Not provided,sdwylie@msn.com,803-532-4219,,file:///Users/alexandrelazerat/Desktop/scraper.emile/data/south_carolina/29006/COMPANY/COMPANY_1964331.html,processed
