zipCode;type;name;nmls;url;website;email;phone;extractFile;status
57001;company;Automotive Finance Corporation;57001;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/57001;www.autofinance.com;fross@autofinance.com;317-843-4802;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/south_dakota/57001/COMPANY/COMPANY_57001.html;processed
56164;company;First State Bank Southwest;474546;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/474546;;kolson@firststatebanksw.com;507-376-9747-1452;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/south_dakota/56164/COMPANY/COMPANY_474546.html;processed
56164;company;Mobilemoney, Inc;1548441;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1548441;www.mobilemoney.net;cheryl@mobilemoney.net;949-498-0059x211;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/south_dakota/56164/COMPANY/COMPANY_1548441.html;processed
56164;company;Coborn's, Incorporated;1137305;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1137305;http://www.cashwise.com/, http://www.coborns.com/, http://www.cobornsinc.com, http://www.marketplacefoodswi.com, http://www.shoptadychs.com;joyce.schmidt@cobornsinc.com;320-252-4222;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/south_dakota/56164/COMPANY/COMPANY_1137305.html;processed
57004;company;Lakeview Community Capital, LLC;1612582;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1612582;www.lakeviewcommunitycapital.com;vickyrinaldi@lakeviewloanservicing.com;844-886-4825;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/south_dakota/57004/COMPANY/COMPANY_1612582.html;processed
57004;company;First Savings Bank, FSB;501160;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/501160;;Molly.DeHaan@FirstSavingsBanks.com;605-763-9840;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/south_dakota/57004/COMPANY/COMPANY_501160.html;processed
57005;company;AIS BUSINESS INC;1634670;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1634670;Not provided;consultaftab@gmail.com;770-739-7331;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/south_dakota/57005/COMPANY/COMPANY_1634670.html;processed
57005;company;FBN Finance, LLC;1631119;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1631119;https://www.fbn.com/financing;legal@farmersbusinessnetwork.com;954-464-3781;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/south_dakota/57005/COMPANY/COMPANY_1631119.html;processed
57013;company;FARMERS STATE BANK OF CANTON;769885;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/769885;;fsbtji@iw.net;605-987-2671;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/south_dakota/57013/COMPANY/COMPANY_769885.html;processed
57013;company;SECURITY SAVINGS BANK;541149;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/541149;;jenny@bankwithssb.com;712-477-2496;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/south_dakota/57013/COMPANY/COMPANY_541149.html;processed
57014;company;ONE AMERICAN BANK;421860;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/421860;;customerservice@ONEAMERICANBANK.COM;605-563-2207;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/south_dakota/57014/COMPANY/COMPANY_421860.html;processed
