zipCode;type;name;nmls;url;website;email;phone;extractFile;status
37016;company;INSTACASH OF SMITHVILLE, LLC;951839;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/951839;Not provided;ad1211@dtccom.net;615-215-2274;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/tennessee/37016/COMPANY/COMPANY_951839.html;processed
37008;company;Mason McDuffie Mortgage Corporation;1141;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1141;www.masonmac.com, www.masonmcduffiemortgage.com;amiller@masonmac.com;925-242-4400;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/tennessee/37008/COMPANY/COMPANY_1141.html;processed
37008;company;Top Flite Financial, Inc.;4181;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/4181;www.tfflpp.com, www.topflitefinancial.com;licensing@tffinc.net;517-655-2140;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/tennessee/37008/COMPANY/COMPANY_4181.html;processed
37012;company;EFFI Finance, Inc.;2342642;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2342642;www.effifinance.com;jonathan.hibma@effifinance.com;323-977-8280;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/tennessee/37012/COMPANY/COMPANY_2342642.html;processed
37014;company;Access Lending Solutions Inc.;245688;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/245688;http://www.ALS-Mtg.com;dputt@als-mtg.com;714-854-0091;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/tennessee/37014/COMPANY/COMPANY_245688.html;processed
37014;company;UMortgage LLC;1457759;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1457759;https://jhhomeloans.com/, www.kahrenoxner.com, www.premierprocessing.net, www.umortgage.com;compliance@umortgage.com;215-454-6098;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/tennessee/37014/COMPANY/COMPANY_1457759.html;processed
37022;company;Tri-Star Financial Group;2006221;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2006221;www.tristarfg.com;alex@tristarfg.com;615-879-2279;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/tennessee/37022/COMPANY/COMPANY_2006221.html;processed
37024;company;Professional Account Services, Inc.;987265;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/987265;mypasiaccount.com;Karen_Rutledge@chs.net;615-465-7000;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/tennessee/37024/COMPANY/COMPANY_987265.html;processed
37024;company;Harpeth Financial Services, LLC;925022;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/925022;www.af247.com;skeith@af247.com;615-341-5900;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/tennessee/37024/COMPANY/COMPANY_925022.html;processed
37032;company;Dennards Inc.;1245844;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1245844;facebook.com/dennarddrugs;dennarddrugs@yahoo.com;912-529-4545;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/tennessee/37032/COMPANY/COMPANY_1245844.html;processed
37031;company;IOWA MORTGAGE SOLUTIONS INC;37031;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/37031;IOWAMORTGAGESOLUTIONS.COM, WWW.IOWAMORTGAGESOLUTIONS.COM, www.iowamortgagesolutions.com;msteger@iowamortgagesolutions.com;319-377-1988;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/tennessee/37031/COMPANY/COMPANY_37031.html;processed
37031;company;Full Beaker, Inc.;1019791;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1019791;www.fullbeaker.com, www.MilitaryVALoan.com, www.MyMortgageInsider.com, www.TheMortgageReports.com;regulatory@fullbeaker.com;425-458-2905;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/tennessee/37031/COMPANY/COMPANY_1019791.html;processed
