zipCode;type;name;nmls;url;website;email;phone;extractFile;status
84005;company;Loan Docs LLC;2594700;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2594700;Not provided;jelairec@gmail.com;801-707-6343;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/utah/84005/COMPANY/COMPANY_2594700.html;processed
84005;company;Peak Home Loans, LLC;2491328;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2491328;Not provided;trevor@mypeakhomeloan.com;801-822-8842;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/utah/84005/COMPANY/COMPANY_2491328.html;processed
84005;company;Ultimate Home Lending, LLC;2259749;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/2259749;https://simplyhomemortgage.com/, https://www.ultimatehomelending.com/, https://yourmortgageguy.org/;jacinda@Ultimatehomelending.com;801-847-5810;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/utah/84005/COMPANY/COMPANY_2259749.html;processed
84005;company;Empire Mortgage and Investment, L.C.;236271;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/236271;empiremortgageutah.com;Not provided;801-916-3233;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/utah/84005/COMPANY/COMPANY_236271.html;processed
84005;company;Northstar Judgment Recovery, LLC;1717774;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1717774;northstarjr.com;admin@northstarjr.com;801-763-0014;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/utah/84005/COMPANY/COMPANY_1717774.html;processed
84011;company;Western Morgage Services Corporation;301369;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/301369;www.WMSutah.com;richard@WMSutah.com;801-635-6545;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/utah/84011/COMPANY/COMPANY_301369.html;processed
84004;company;Home Front Mortgage, Inc.;308825;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/308825;https://homefrontmortgageinc.com/;jimgillman@msn.com;801-756-5998;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/utah/84004/COMPANY/COMPANY_308825.html;processed
84004;company;Kings Peak Mortgage, Inc.;1970546;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1970546;kingspeakmortgage.com;dalepalsson@gmail.com;801-623-7080;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/utah/84004/COMPANY/COMPANY_1970546.html;processed
84004;company;Private Capital Group;1434254;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1434254;www.privatecapitalgroup.com;lorraine@privatecapitalgroup.com;801-216-8850;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/utah/84004/COMPANY/COMPANY_1434254.html;processed
84004;company;Solamere Mortgage LLC;1453774;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1453774;www.SolamereMortgage.com;Solamereoriginations@gmail.com;385-261-1242;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/utah/84004/COMPANY/COMPANY_1453774.html;processed
84004;company;SourceOne Financial, Inc.;320102;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/320102;www.softhardmoney.com, www.source1.com;bnash@source1.com;801-318-4282;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/utah/84004/COMPANY/COMPANY_320102.html;processed
84004;company;West Ridge Financial Corp;267440;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/267440;www.westridgefinancial.com;mike@westridgefinancial.com;801-971-3956;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/utah/84004/COMPANY/COMPANY_267440.html;processed
84004;company;Firefighters Credit Union;843776;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/843776;;thomas@firefighterscu.com;801-487-3219;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/utah/84004/COMPANY/COMPANY_843776.html;processed
84004;company;Reef-PCG LLC;1587859;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1587859;Not provided;lorraine@privatecapitalgroup.com;801-216-8850;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/utah/84004/COMPANY/COMPANY_1587859.html;processed
84004;company;Super Cash Loan Center, LLC;1413996;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1413996;http://www.supercashloancenter.com/;heatherpeper@msn.com;801-787-1047;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/utah/84004/COMPANY/COMPANY_1413996.html;processed
