zipCode;type;name;nmls;url;website;email;phone;extractFile;status
24701;company;NATIONAL EMPLOYEES FEDERAL CREDIT UNION;1577582;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1577582;;charlesblankenship@frontier.com;304-325-9753;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/west_virginia/24701/COMPANY/COMPANY_1577582.html;processed
24701;company;Community Action of South Eastern West Virginia, Inc.;716425;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/716425;casewv.org;mdalton@casewv.org;681-282-5553;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/west_virginia/24701/COMPANY/COMPANY_716425.html;processed
24701;company;Rocket Mortgage, LLC;3030;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/3030;rocket.com/mortgage, www.rocketmortgage.com, www.ThatsMyMortgage.com;TariaMorris@rocketmortgage.com;313-373-4564;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/west_virginia/24701/COMPANY/COMPANY_3030.html;processed
24720;company;Advisors Mortgage Group, L.L.C.;33041;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/33041;fix-itmortgage.com, www.advisorsmortgage.com;nmls@advisorsmortgage.com;732-292-3133;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/west_virginia/24720/COMPANY/COMPANY_33041.html;processed
24715;company;Moneytree, Inc.;147915;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/147915;www.moneytreeinc.com;mindy.thieschafer@moneytreeinc.com;206-246-3500;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/west_virginia/24715/COMPANY/COMPANY_147915.html;processed
24728;company;UNIVERSAL EXPRESS INC;1230900;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1230900;Not provided;MNRAZA@AOL.COM;770-451-4346;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/west_virginia/24728/COMPANY/COMPANY_1230900.html;processed
24727;company;Ace One Mortgage, LLC;141133;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/141133;aceonemortage.com;pem@consolidated.net;724-933-9070;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/west_virginia/24727/COMPANY/COMPANY_141133.html;processed
24740;company;PrimeLending, A PlainsCapital Company;13649;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/13649;www.loanplicity.com, www.primelending.com, www.primelendinglo.com;sgarza@primelending.com;972-248-7866;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/west_virginia/24740/COMPANY/COMPANY_13649.html;processed
24754;company;VANVATI MATA INC;1241585;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1241585;Not provided;nick_dude81@hotmail.com;912-856-2495;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/west_virginia/24754/COMPANY/COMPANY_1241585.html;processed
24772;company;MGC Mortgage, Inc.;204988;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/204988;www.mgcmortgage.com;mconner@mgcmortgage.com;469-229-8756;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/west_virginia/24772/COMPANY/COMPANY_204988.html;processed
