zipCode;type;name;nmls;url;website;email;phone;extractFile;status
57717;company;Mid-Island Mortgage Corp.;1259;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1259;www.mortgagecorp.com;licensing@mortgagecorp.com;516-683-0800;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/wyoming/57717/COMPANY/COMPANY_1259.html;processed
57717;company;Fortune Financial Solutions, LLC;1527315;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1527315;www.fortuneagfinance.com;tamara@fortuneagfinance.com;605-645-8582;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/wyoming/57717/COMPANY/COMPANY_1527315.html;processed
57717;company;Pioneer Bank & Trust;631404;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/631404;;Not provided;605-717-2265;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/wyoming/57717/COMPANY/COMPANY_631404.html;processed
82005;company;McCartin, Joyce Annette;1158844;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1158844;metromortgageprocessing.com;joymccartin@gmail.com;301-605-0172;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/wyoming/82005/COMPANY/COMPANY_1158844.html;processed
82003;company;Cheyenne State Bank;408870;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/408870;;ksmith@cheyennestatebank.com;307-634-8844;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/wyoming/82003/COMPANY/COMPANY_408870.html;processed
82003;company;Westland Holdings, Inc.;130910;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/130910;payless@aol.com;payless@aol.com;307-634-7234;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/wyoming/82003/COMPANY/COMPANY_130910.html;processed
82003;company;Attitude Collections, LLC;1793901;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1793901;Not provided;wyomingattitude@gmail.com;307-632-2889;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/wyoming/82003/COMPANY/COMPANY_1793901.html;processed
82003;company;First Education Federal Credit Union;412552;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/412552;;loans@firstedfcu.com;307-432-7400;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/wyoming/82003/COMPANY/COMPANY_412552.html;processed
82003;company;Meridian Trust Federal Credit Union;412716;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/412716;;lswidecki@mymeridiantrust.com;307-635-7878 x 7728;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/wyoming/82003/COMPANY/COMPANY_412716.html;processed
82003;company;Professional Collection Service, Inc;1805015;https://www.nmlsconsumeraccess.org/EntityDetails.aspx/COMPANY/1805015;Not provided;arlobooks@lonetree.com;307-635-4271;file:///Users/alexandrelazerat/Desktop/scraper.emile/data/wyoming/82003/COMPANY/COMPANY_1805015.html;processed
